business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shivam Agro Industries,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Agrochemicals Supplier, Chemical Engineer, Chemical Exporter, Chemical plant, Supplier, Exporter, Manufacturer",382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 98254 65361,https://www.shivamagroind.com/,4.4,10.0,"G.I.D, Plot. No. ,134, 135, 136, 146 & 147, Gandhinagar - Vijapur Rd, Ranasan, Vijapur, Gujarat 384570",382810,23.5129858,72.7479728,ChIJL25uePDKXTkRu7ba51BwkQY,https://www.google.com/maps/place/?q=place_id:ChIJL25uePDKXTkRu7ba51BwkQY,part_103,2026-09-20 16:45:21
Shrey Industries,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 99252 71554,http://www.gujaratchemicals.com/,4.9,9.0,"Plot No. 130, Gozaria, G.I.D.C, Dist: Gozaria-382 825, Gujarat 384470",382810,23.479190799999998,72.5648889,ChIJk____6o3XDkRWZoczL2a-e8,https://www.google.com/maps/place/?q=place_id:ChIJk____6o3XDkRWZoczL2a-e8,part_103,2026-09-20 16:45:21
Rimpro India,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Agrochemicals Supplier, Chemical Exporter, Chemical plant, Exporter, Manufacturer",382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 98790 04559,https://www.rimpro-india.com/,4.9,9.0,"Plot No. 87, 88, 98, 99 & 100, G.I.D.C., Gojaria, Ta. & Dist. Mehsana,, North Gujarat, Mehsana, Gujarat 384470",382810,23.495448099999997,72.5763,ChIJSwAAQIorXDkRTX5WY_0s4kQ,https://www.google.com/maps/place/?q=place_id:ChIJSwAAQIorXDkRTX5WY_0s4kQ,part_103,2026-09-20 16:45:21
Pharcos Speciality Ltd. (Unit 1),Chemical Wholesalers,Manufacturer,"Manufacturer, Chemical Exporter, Chemical Manufacturer, Chemical plant, Chemical wholesaler, Supplier, Exporter, Industrial chemicals wholesaler",382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 98751 43812,https://pharcos.co.in/,,,"Plot No. 248 to 250, 279 to 281, Tal, GIDC, Ranasan, Vijapur, Gujarat 382870",GIDC,23.5088638,72.7494566,ChIJdVQkuT_LXTkRKYhO6CcnPCk,https://www.google.com/maps/place/?q=place_id:ChIJdVQkuT_LXTkRKYhO6CcnPCk,part_103,2026-09-20 16:45:21
Gujchem Surfactants Pvt Ltd.,Chemical Wholesalers,Manufacturer,Manufacturer,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",N/A,N/A,3.9,16.0,"Plot No. 248 to 250. GIDC Ranasan. Nr. Mahudi Cross Road, Ta, Dist, Ranasan GIDC, Vijapur, Gujarat 384570",Dist,23.508776299999997,72.749077,ChIJUcqsd_rKXTkRopTtDhDzuBY,https://www.google.com/maps/place/?q=place_id:ChIJUcqsd_rKXTkRopTtDhDzuBY,part_103,2026-09-20 16:45:21
UMA PHARMA CHEM,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 95377 66067,http://www.umapharmachem.in/,5.0,3.0,"Plot NO 111, GIDC, Gozaria, Gujarat 382825",GIDC,23.494155799999998,72.5730438,ChIJGxKr5vg3XDkReXMM-_1qhCE,https://www.google.com/maps/place/?q=place_id:ChIJGxKr5vg3XDkReXMM-_1qhCE,part_103,2026-09-20 16:45:21
RAJ AGRO,Chemical Wholesalers,Agrochemicals Supplier,Agrochemicals Supplier,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 94270 58844,http://www.rajagro.co.in/,4.6,20.0,"FHXG+7X5, GIDC Rd, Gujarat 384470",382810,23.498140799999998,72.57747499999999,ChIJq6qqOkk2XDkR5PPV4_PyIfo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqOkk2XDkR5PPV4_PyIfo,part_103,2026-09-20 16:45:21
UMA CHEMICALS,Chemical Wholesalers,Cleaning products supplier,Cleaning products supplier,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 78619 09192,N/A,5.0,3.0,"34, GUJANAND BUSINESS PARK, MEAR MEU THREE CROSS VISNAGAR, HIGHWAY, GANDHINAGAR, Gozaria, Gujarat 384470",382810,23.4865229,72.5649507,ChIJlcBX5PY3XDkR7U9u4hgAHwo,https://www.google.com/maps/place/?q=place_id:ChIJlcBX5PY3XDkR7U9u4hgAHwo,part_103,2026-09-20 16:45:21
VENDOREE ENTERPRISE,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",N/A,N/A,5.0,29.0,"NO:-B6, SHIVAM SHOPPING CENTER, New vegetable market, highwayroad, Vijapur, Gujarat 384570",highwayroad,23.5539705,72.7399338,ChIJD8CUWrS1XTkRFNkOu2X_iaE,https://www.google.com/maps/place/?q=place_id:ChIJD8CUWrS1XTkRFNkOu2X_iaE,part_103,2026-09-20 16:45:21
RAAMTAC CHEMICALS,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO",+91 99248 46124,http://raamtacchemicals.co.in/,4.2,,"Shiv Prerna Industrial Park, Plot No. 76, Satpanth Mandir Pirana Rd, Paldi Kankaj, Ahmedabad, Gujarat 382427",382810,22.907241,72.5423106,ChIJRZ_OqDCDXjkRYWaYapBJTI4,https://www.google.com/maps/place/?q=place_id:ChIJRZ_OqDCDXjkRYWaYapBJTI4,part_103,2026-09-20 16:45:22
