business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AKSHARAM MOTORS DRIVING SCHOOL,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 89059 57779,N/A,4.9,63.0,"Hadiyol Rd, Sahakari Jin, Industrial Area, Himatnagar, Gujarat 383002","Sahakari Jin, Industrial Area",23.5790489,72.9731925,ChIJ3y8bN5-5XTkRCSqGztIWm6Q,https://www.google.com/maps/place/?q=place_id:ChIJ3y8bN5-5XTkRCSqGztIWm6Q,part_103,2026-09-20 16:48:05
Shree dutt motor driving school,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 96620 14444,N/A,4.8,14.0,"2nd floor, of motabhai market complex, Purnima dairy street, near JC mobile, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5956556,72.9694281,ChIJnZMQP5C5XTkRTTh4sRK52NA,https://www.google.com/maps/place/?q=place_id:ChIJnZMQP5C5XTkRTTh4sRK52NA,part_103,2026-09-20 16:48:05
Balaji mlMotor Driving School,Driving School,Government office,Government office,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 91065 49697,N/A,5.0,2.0,"Shop No. 4,5, Sunrise Plaza, Gayatri Mandir Rd, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5946403,72.9732786,ChIJr3Jq_cC4XTkRAAAA0MFGvx4,https://www.google.com/maps/place/?q=place_id:ChIJr3Jq_cC4XTkRAAAA0MFGvx4,part_103,2026-09-20 16:48:05
Shiv Shakti Motor Driving School & Auto Advisor,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 94265 49889,N/A,3.7,3.0,"Om Complex, Cross Road, near Purnima Dairy, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5957036,72.96901629999999,ChIJgTPO4-W5XTkR1naE6IG-Uhg,https://www.google.com/maps/place/?q=place_id:ChIJgTPO4-W5XTkR1naE6IG-Uhg,part_103,2026-09-20 16:48:05
Shammikant Bachubhai Modiya,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 95372 61960,N/A,,,"38, Berana Rd, Krishnapark Society, Mahavirnagar, Balvantpura, Gujarat 383001","Krishnapark Society, Mahavirnagar",23.600336499999997,72.9802421,ChIJmRNMm2O5XTkRXVMyGMCZ1xU,https://www.google.com/maps/place/?q=place_id:ChIJmRNMm2O5XTkRXVMyGMCZ1xU,part_103,2026-09-20 16:48:05
DEVANGI MOTOR DRIVING SCHOOL,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 84012 49247,https://g.page/devangi-motor-driving-school,4.9,98.0,"113, Laxmi Complex, Sahakari jin Rd, near Jay bhavani vadapav, Nautan Vihar Society, Himatnagar, Gujarat 383001",Nautan Vihar Society,23.581743799999998,72.9714101,ChIJRRdiTI25XTkRfP0mjsfvXXw,https://www.google.com/maps/place/?q=place_id:ChIJRRdiTI25XTkRfP0mjsfvXXw,part_103,2026-09-20 16:48:05
Shiv Shakti Motor Driving School and Auto Advisior,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 99798 81263,N/A,,,"Royal Complex, 8, opp. RTO, Bypass Road, Himatnagar, Gujarat 383002",Zahirabad,23.614817799999997,72.9421988,ChIJP3qkV9O1XTkRi4Yh5qRjhBA,https://www.google.com/maps/place/?q=place_id:ChIJP3qkV9O1XTkRi4Yh5qRjhBA,part_103,2026-09-20 16:48:05
"I.T.I, Himmatnagar",Driving School,Driving school,"Driving school, College",383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 95104 99293,N/A,4.0,154.0,"Tulsi Complex, JXR3+XWX, 66, K.V. G.E.B. Substation, Bypass Road, Hansalpur, Motipura, Himatnagar, Gujarat 383002",Motipura,23.643370299999997,72.9537866,ChIJc_mzFnG5XTkRbYNd7IP7LuM,https://www.google.com/maps/place/?q=place_id:ChIJc_mzFnG5XTkRbYNd7IP7LuM,part_103,2026-09-20 16:48:05
Shree Balaji Motor Driving School - RTO Advisor & Insurance Services,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",N/A,N/A,5.0,1.0,"Shop No. 10, Sunrise Plaza Complex, Gayatri Mandir Rd, opp. Panna Park Society, nr. L.G. Showroom, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5942196,72.9777098,ChIJuWGdvKi5XTkRdh0HWUIj_Qw,https://www.google.com/maps/place/?q=place_id:ChIJuWGdvKi5XTkRdh0HWUIj_Qw,part_103,2026-09-20 16:48:06
Panchal Motor Driving School,Driving School,Driving school,Driving school,383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO",+91 94264 05677,N/A,5.0,,"Khed Tasiya Rd, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5988245,72.970557,ChIJNT7TSui5XTkRC49N1RrNxRc,https://www.google.com/maps/place/?q=place_id:ChIJNT7TSui5XTkRC49N1RrNxRc,part_103,2026-09-20 16:48:06
