business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Umiya Enterprises,Furniture Showroom,Furniture wholesaler,Furniture wholesaler,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 70694 56240,N/A,4.6,47.0,"Shop No -52, Ground Floor, Gopinath Complex, opp. LIC office, Prantij, Gujarat 383205",383120,23.436521499999998,72.8576813,ChIJx4_Bd77PXTkR7Al630mPI1Y,https://www.google.com/maps/place/?q=place_id:ChIJx4_Bd77PXTkR7Al630mPI1Y,part_103,2026-09-20 16:51:01
The Chair Home Furniture,Furniture Showroom,Furniture maker,"Furniture maker, Bar restaurant furniture store, Furniture repair shop, Furniture store, Furniture wholesaler, Hotel, Office furniture store, Sofa store, Upholstery shop",383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 81155 16727,N/A,5.0,9.0,"nayra petrol pump, Hadiyol Rd, near Himmatnagar, Gadhoda, Gujarat 383001",383120,23.563145499999997,72.9864752,ChIJy7DZnaXHXTkR2OZzE4WDtNg,https://www.google.com/maps/place/?q=place_id:ChIJy7DZnaXHXTkR2OZzE4WDtNg,part_103,2026-09-20 16:51:01
Patel furniture,Furniture Showroom,Furniture Manufacturer,"Furniture Manufacturer, Bedroom furniture store, Furniture maker, Sofa store",383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 87803 44129,N/A,5.0,1.0,"Himatnagar, Gujarat 383001",383120,23.5631536,72.98670589999999,ChIJ84PS0q-5XTkR97guARF_Z20,https://www.google.com/maps/place/?q=place_id:ChIJ84PS0q-5XTkR97guARF_Z20,part_103,2026-09-20 16:51:01
Ekta Furniture Mall,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 63543 48992,N/A,4.9,8.0,"Motipura By Bass Road, near Mhk Mall, Gujarat 383001",Zahirabad,23.606064,72.9440139,ChIJxyIIOKe5XTkRp0EHu8FKh_Q,https://www.google.com/maps/place/?q=place_id:ChIJxyIIOKe5XTkRp0EHu8FKh_Q,part_103,2026-09-20 16:51:01
S.B. Furniture,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",N/A,N/A,,,"CVM4+C2H, Cinema Rd, Prantij, Gujarat 383205",383120,23.433566199999998,72.855104,ChIJW3paMBzPXTkRTmuSVew0vMU,https://www.google.com/maps/place/?q=place_id:ChIJW3paMBzPXTkRTmuSVew0vMU,part_103,2026-09-20 16:51:01
જય માં વાકલ ફર્નીચર,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",N/A,N/A,5.0,1.0,"Salal, Gujarat 383210",383120,23.4863756,72.8974984,ChIJ-z7UuKDIXTkRFaaVeQwhAWQ,https://www.google.com/maps/place/?q=place_id:ChIJ-z7UuKDIXTkRFaaVeQwhAWQ,part_103,2026-09-20 16:51:01
રાજસ્થાન ફર્નિચર,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 95493 51182,N/A,,,"CVP4+2FV, Cinema Rd, Prantij, Gujarat 383205",383120,23.435106299999998,72.85616449999999,ChIJ24yqox7PXTkRloZhyZG0Rpw,https://www.google.com/maps/place/?q=place_id:ChIJ24yqox7PXTkRloZhyZG0Rpw,part_103,2026-09-20 16:51:01
Galaxy decors,Furniture Showroom,Furniture wholesaler,Furniture wholesaler,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 84606 89599,https://galaxysdecor.in/,5.0,60.0,"Galaxy Decors, Bypass Road, near Divine India, opp. Mhk Mall, Zahirabad, Himatnagar, Savgadh, Gujarat 383001",Zahirabad,23.6080681,72.9430871,ChIJTR1nMjq5XTkR6amCsqEHtyw,https://www.google.com/maps/place/?q=place_id:ChIJTR1nMjq5XTkR6amCsqEHtyw,part_103,2026-09-20 16:51:01
Vijay Electronic and furniture,Furniture Showroom,Furniture store,"Furniture store, Print shop",383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 85114 48591,N/A,,,"Oppp.. Bus Stand, Cinema Rd, Nr.. Darghag, Prantij, Gujarat 383205",Nr.. Darghag,23.4349425,72.8558631,ChIJyYoFM97PXTkRdGzQ7wdETIQ,https://www.google.com/maps/place/?q=place_id:ChIJyYoFM97PXTkRdGzQ7wdETIQ,part_103,2026-09-20 16:51:01
Pramukh Plywood And Hardware,Furniture Showroom,Furniture wholesaler,Furniture wholesaler,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 99989 27987,N/A,5.0,4.0,"Chamunda Complex, 5, Approach Rd, near H R Honda showroom, Prantij, Gujarat 383205",383120,23.4430195,72.8579124,ChIJH6ixT5PPXTkRaw7v1bQ3zec,https://www.google.com/maps/place/?q=place_id:ChIJH6ixT5PPXTkRaw7v1bQ3zec,part_103,2026-09-20 16:51:01
SANJAYKUMAR JAYANTILAL SHAH,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 97149 24566,N/A,,,"Main Bajar, nr. Swaminarayan Mandir, Prantij, Gujarat 383205",383120,23.4359415,72.8531378,ChIJcR2K0dbPXTkRi_iPFXmalUM,https://www.google.com/maps/place/?q=place_id:ChIJcR2K0dbPXTkRi_iPFXmalUM,part_103,2026-09-20 16:51:01
ન્યૂ અલૂમીનિયમ સેકશન,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",N/A,N/A,,,"Salal, Gujarat 383210",383120,23.490286899999997,72.9038422,ChIJn2pvOB_GXTkRsmrh3_Xqc3M,https://www.google.com/maps/place/?q=place_id:ChIJn2pvOB_GXTkRsmrh3_Xqc3M,part_103,2026-09-20 16:51:01
Royal pvc furniture,Furniture Showroom,Furniture store,Furniture store,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 93137 94620,https://www.instagram.com/royalpvcfurniture_dholka?igsh=MWtia2thOHc3cW56Zw==,4.8,,"15, Devam complex, pulen, kalikund road, Dholka, Gujarat 382225",383120,22.7214575,72.4613079,ChIJm78UrRTtXjkRnO_9zlmEz0o,https://www.google.com/maps/place/?q=place_id:ChIJm78UrRTtXjkRnO_9zlmEz0o,part_103,2026-09-20 16:51:02
