business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sawariya Fruit & Vegetable,Fruit and Vegetable Wholesaler,Produce market,Produce market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 79762 24597,N/A,5.0,,"Simalwara, Rajasthan 314403",383350,23.5650224,73.7420022,ChIJef3HQg1DZzkR7svH5rhmmNM,https://www.google.com/maps/place/?q=place_id:ChIJef3HQg1DZzkR7svH5rhmmNM,part_104,2026-09-20 16:39:58,115
मामा देव किराना स्टोर मेघरज,Fruit and Vegetable Wholesaler,Produce market,Produce market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 82786 23378,N/A,4.2,,"अजंता कॉम्प्लेक्स, रामगढ़ी रोड, Meghraj, Gujarat 383350",383350,23.4941727,73.51847529999999,ChIJ0YNjsUpZZzkRp6Qienl-X8s,https://www.google.com/maps/place/?q=place_id:ChIJ0YNjsUpZZzkRp6Qienl-X8s,part_104,2026-09-20 16:39:58,116
"Sardar Patel Market Yard, Meghraj",Fruit and Vegetable Wholesaler,Market,Market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,3.8,,"FGV4+G2X Gujarat State Highway 146, 10, GJ SH 146, Meghraj, Gujarat 383350",383350,23.4948668,73.50525739999999,ChIJ89KH3_tYZzkROxh0jEckX_s,https://www.google.com/maps/place/?q=place_id:ChIJ89KH3_tYZzkROxh0jEckX_s,part_104,2026-09-20 16:39:58,117
Modasa Sabzi Mandi,Fruit and Vegetable Wholesaler,Supermarket,Supermarket,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.1,,"APMC New Market Yard, Modasa - Aniyor Rd, Lakshmi Society, Modasa, Gujarat 383315",Lakshmi Society,23.458449599999998,73.2973423,ChIJyUYGXkbxXTkRozo7Y4BVnro,https://www.google.com/maps/place/?q=place_id:ChIJyUYGXkbxXTkRozo7Y4BVnro,part_104,2026-09-20 16:39:58,118
APMC NEW MARKET,Fruit and Vegetable Wholesaler,Market,"Market, Supermarket",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.1,,"F8X2+6J4, Gajan, Gujarat 383315",383350,23.4980181,73.30157419999999,ChIJ21dzIpPxXTkRH8e0H3ELUV8,https://www.google.com/maps/place/?q=place_id:ChIJ21dzIpPxXTkRH8e0H3ELUV8,part_104,2026-09-20 16:39:58,119
Lucky Fruit Center,Fruit and Vegetable Wholesaler,Store,Store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99985 42373,N/A,4.0,,"near Bus Station, behind Apsara Theater, Indira Nagar, Modasa, Gujarat 383315",Indira Nagar,23.4612047,73.29533459999999,ChIJ9_vjFjTwXTkRFV7OJeAwfpo,https://www.google.com/maps/place/?q=place_id:ChIJ9_vjFjTwXTkRFV7OJeAwfpo,part_104,2026-09-20 16:39:58,120
JAMADAR VEGETABLE (MOIN),Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 81607 67208,N/A,4.2,,"apmc, new Shak market, C/1, Makhdum chokdi, Lakshmi Society, Modasa, Gujarat 383315",Lakshmi Society,23.4586996,73.297241,ChIJcexhWvjxXTkRNMQ7UanWpUo,https://www.google.com/maps/place/?q=place_id:ChIJcexhWvjxXTkRNMQ7UanWpUo,part_104,2026-09-20 16:39:58,121
શ્રી રામ શાકભાજી ઘર,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"FGW7+23J, opposite Pcn high school, Meghraj, Gujarat 383350",383350,23.495104299999998,73.512689,ChIJx5xr8ytZZzkRWvvqZEOLWg0,https://www.google.com/maps/place/?q=place_id:ChIJx5xr8ytZZzkRWvvqZEOLWg0,part_104,2026-09-20 16:39:58,122
CFC FRUIT CENTRE 🥭🍍🍌🥝 🍎,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"F855+M5P, Kartikeya Society, Gitanjali Society, Modasa, Gujarat 383315","Kartikeya Society, Gitanjali Society",23.45922,73.3079417,ChIJwQwjJwDxXTkRAeV_i8mTENg,https://www.google.com/maps/place/?q=place_id:ChIJwQwjJwDxXTkRAeV_i8mTENg,part_104,2026-09-20 16:39:58,123
Mahesana fruit market,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,Fruit and vegetable wholesaler,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.4,12.0,"Plot 29, Retail Shak Market, Bhagyoday Co Op Housing Society, Mehsana, Gujarat 384001",Bhagyoday Co Op Housing Society,23.596242999999998,72.391618,ChIJeVlMOBxDXDkRmqwWGvMi5cA,https://www.google.com/maps/place/?q=place_id:ChIJeVlMOBxDXDkRmqwWGvMi5cA,part_104,2026-09-20 16:39:59,124
APMC New Market Yard,Fruit and Vegetable Wholesaler,Market,Market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.5,22.0,"F75W+9G2, Modasa - Aniyor Rd, Lakshmi Society, Modasa, Gujarat 383315",Lakshmi Society,23.458382699999998,73.2962537,ChIJVVVV7jbwXTkRysda5kZcqoY,https://www.google.com/maps/place/?q=place_id:ChIJVVVV7jbwXTkRysda5kZcqoY,part_104,2026-09-20 16:39:59,125
Modasa Market Yard,Fruit and Vegetable Wholesaler,Market,Market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.0,558.0,"A2, 3, Old Market yard, Near modasa bus staion, near bus Station, Modasa, Gujarat 383315","Indira Nagar, Lakshmi Society",23.460126499999998,73.29568569999999,ChIJ8-lPaZ3xXTkRSg2cSm69h2M,https://www.google.com/maps/place/?q=place_id:ChIJ8-lPaZ3xXTkRSg2cSm69h2M,part_104,2026-09-20 16:39:59,126
Shifa global ventures,Fruit and Vegetable Wholesaler,Import export company,"Import export company, Agricultural Product Wholesaler, Exporter, Food products supplier, Spices Exporter, Spices Wholesaler",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 93168 78991,https://shifaglobalventures.com/,5.0,6.0,"Dhansura Rd, opp. College Campus, Modasa, Gujarat 383315",383350,23.455144999999998,73.2897775,ChIJrf0U7OvxXTkRkLDRREh4BB0,https://www.google.com/maps/place/?q=place_id:ChIJrf0U7OvxXTkRkLDRREh4BB0,part_104,2026-09-20 16:39:59,127
Umiya Vegetable,Fruit and Vegetable Wholesaler,Produce market,Produce market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 79908 81556,http://www.umiya-vegetable.com/,5.0,5.0,"Unnamed Road, Bhandval, Asai, Gujarat 383235",383350,23.8993655,72.9997549,ChIJUSo9bQGhXTkR4r7jJ4DmVhM,https://www.google.com/maps/place/?q=place_id:ChIJUSo9bQGhXTkR4r7jJ4DmVhM,part_104,2026-09-20 16:39:59,128
Red Yellow Exotic Vegetables,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 84602 24804,N/A,4.8,20.0,"B/s, Indian Oil Petrolpum, Shop-1, Asharfi Complex, Jamalpur Cross Road, Ahmedabad, Gujarat 380001","Calico Mills, Behrampura",23.009809,72.5798487,ChIJl0g-20SFXjkRw1uPhszpFtE,https://www.google.com/maps/place/?q=place_id:ChIJl0g-20SFXjkRw1uPhszpFtE,part_104,2026-09-20 16:39:59,129
Sector 24 vegetables & Fruits Market,Fruit and Vegetable Wholesaler,Market,Market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.2,1765.0,"6JRW+WJC, Sector 24, Gandhinagar, Gujarat 382016",Sector 24,23.2423125,72.64650929999999,ChIJD0yog10rXDkRhbSs_lBkvI0,https://www.google.com/maps/place/?q=place_id:ChIJD0yog10rXDkRhbSs_lBkvI0,part_104,2026-09-20 16:39:59,130
Dharahar vegetables and fruits market,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,Fruit and vegetable wholesaler,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.8,16.0,"Sant Kabir Main Rd, Kanaknagar, Arya Nagar, Rajkot, Gujarat 360003","Kanaknagar, Arya Nagar",22.299495699999998,70.8281155,ChIJ_6NYDeS1WTkRkg4HRJYFhd4,https://www.google.com/maps/place/?q=place_id:ChIJ_6NYDeS1WTkRkg4HRJYFhd4,part_104,2026-09-20 16:39:59,131
Vadipara Vegetables market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.2,15.0,"PJHJ+946, Yogi Nagar, Surendranagar, Gujarat 363001",Yogi Nagar,22.728405,71.6302773,ChIJ19B7QgNBWTkRge4juemkHYc,https://www.google.com/maps/place/?q=place_id:ChIJ19B7QgNBWTkRge4juemkHYc,part_104,2026-09-20 16:39:59,132
Laljibhai Patel ( MAMA ) Market Yard,Fruit and Vegetable Wholesaler,Farmers' market,Farmers' market,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.2,144.0,"3FGQ+359, Vadgam, Gujarat 385410",383350,24.0751529,72.487973,ChIJAQ5kA9vvXDkRYg-dEnB5ri0,https://www.google.com/maps/place/?q=place_id:ChIJAQ5kA9vvXDkRYg-dEnB5ri0,part_104,2026-09-20 16:39:59,133
Sardar Patel Vegetables Market,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Supermarket",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.2,1064.0,"Sardar Patel market, Vadodara, Gujarat 391440",383350,22.250982,73.0728029,ChIJqfFYBn24XzkRYXqwgpEugCQ,https://www.google.com/maps/place/?q=place_id:ChIJqfFYBn24XzkRYXqwgpEugCQ,part_104,2026-09-20 16:39:59,134
Uttam Vegetable & Fruit Centre,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98984 12062,N/A,4.0,72.0,"S18, Sanjay tower, Nr Shyamal 3B, 100ft. Ring Road, Satellite, Ahmedabad, Gujarat 380015",Shyamal,23.0136175,72.52707459999999,ChIJC7bbrSubXjkREV_rkYA_50Y,https://www.google.com/maps/place/?q=place_id:ChIJC7bbrSubXjkREV_rkYA_50Y,part_104,2026-09-20 16:39:59,135
Chitra Vegetable Market Yard,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Vegetable wholesale market",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 75729 98951,N/A,4.1,1725.0,"opp. SWAMINARAYAN MANDIR MARKETING YARD, Chitra, Bhavnagar, Gujarat 364004",Chitra,21.754220399999998,72.08953319999999,ChIJjVnZJwNRXzkR8198u_JnS4M,https://www.google.com/maps/place/?q=place_id:ChIJjVnZJwNRXzkR8198u_JnS4M,part_104,2026-09-20 16:39:59,136
