business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nerolac Dealer - Geeta Paints And Hardware,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98255 91121,https://www.nerolac.com/store-locator/gujarat/malpur/geeta-paints-and-hardware?utm_source=google_maps&utm_medium=organic,,,"Malpur, Gujarat 383345",383350,23.3635746,73.46645099999999,ChIJBW3iwh1XZzkRVNKoXzI2yvU,https://www.google.com/maps/place/?q=place_id:ChIJBW3iwh1XZzkRVNKoXzI2yvU,part_104,2026-09-20 16:40:12,2752
Nerolac Dealer - P.K.Hardware And Sanitary,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98254 95356,https://www.nerolac.com/store-locator/gujarat/sayra/p-k-hardware-and-sanitary?utm_source=google_maps&utm_medium=organic,,,"41944, Gitanjali Society, Modasa, Sayara, Gujarat 383315",Gitanjali Society,23.4685412,73.3088649,ChIJsyxZG0vxXTkRcG2MTmzwUHs,https://www.google.com/maps/place/?q=place_id:ChIJsyxZG0vxXTkRcG2MTmzwUHs,part_104,2026-09-20 16:40:12,2753
Nerolac Dealer - Colour Plus,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99250 73169,https://www.nerolac.com/store-locator/gujarat/khalikpur-modasa/colour-plus?utm_source=google_maps&utm_medium=organic,,,"Khalikpur, Modasa, Gujarat 383315",383350,23.451175499999998,73.3187957,ChIJUb1DQfDxXTkRs9KWIVHHazM,https://www.google.com/maps/place/?q=place_id:ChIJUb1DQfDxXTkRs9KWIVHHazM,part_104,2026-09-20 16:40:12,2754
Nerolac Dealer - Mahavir Sales,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99780 13626,https://www.nerolac.com/store-locator/gujarat/modasa/mahavir-sales?utm_source=google_maps&utm_medium=organic,,,"Farms Area, Om Nagar Society, Modasa, Gujarat 383315","Farms Area, Om Nagar Society",23.4518763,73.3160145,ChIJwSIDKqHxXTkRmSl5GyB-SUk,https://www.google.com/maps/place/?q=place_id:ChIJwSIDKqHxXTkRmSl5GyB-SUk,part_104,2026-09-20 16:40:12,2755
Raaj Colour World,Paint and Putty Dealer,Painter,Painter,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99742 77437,N/A,5.0,,"Chenava Vas, Balochpura, Idar, Kesharpura, Gujarat 383230",Balochpura,23.7777908,72.8858549,ChIJowCV6iyvXTkRtE-_mvEFRm4,https://www.google.com/maps/place/?q=place_id:ChIJowCV6iyvXTkRtE-_mvEFRm4,part_104,2026-09-20 16:40:12,2756
SREE PAINTS & HARDWARES,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"Kothapalle, Andhra Pradesh 517167",383350,13.294706099999999,79.2557775,ChIJKbjVgjdWrTsRRfj1g_X00js,https://www.google.com/maps/place/?q=place_id:ChIJKbjVgjdWrTsRRfj1g_X00js,part_104,2026-09-20 16:40:12,2757
NARANDAS & SONS,Paint and Putty Dealer,Building materials store,Building materials store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98986 13300,http://www.narandasandsons.com/,5.0,,"Gendi Gate Rd, near JUMMA MASJID, Chokshi Bazar, Vadodara, Gujarat 390017",Chokshi Bazar,22.297790199999998,73.2106496,ChIJWxnZGwDFXzkRTNjYTMUAr9M,https://www.google.com/maps/place/?q=place_id:ChIJWxnZGwDFXzkRTNjYTMUAr9M,part_104,2026-09-20 16:40:12,2758
Ambar Traders,Paint and Putty Dealer,Paint store,Paint store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.4,,"road, Aniyor, Dhansura, Gujarat 383345",383350,23.332452699999997,73.34254059999999,ChIJQcxH-NP9XTkR8AiYTUVuh20,https://www.google.com/maps/place/?q=place_id:ChIJQcxH-NP9XTkR8AiYTUVuh20,part_104,2026-09-20 16:40:13,2759
Jay Ambe Hardware & Paint Mart,Paint and Putty Dealer,Hardware store,Hardware store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 79 2750 8473,N/A,4.4,,"C-1, Gokul Society, IOC Rd, Shubh Sonal Society, Padam Prabhu Nagar, D-Cabin, Chandkheda, Ahmedabad, Gujarat 382424","Shubh Sonal Society, Padam Prabhu Nagar, D-Cabin, Chandkheda",23.1101973,72.5680553,ChIJG2tIBVWCXjkRUyHYss8s_Ek,https://www.google.com/maps/place/?q=place_id:ChIJG2tIBVWCXjkRUyHYss8s_Ek,part_104,2026-09-20 16:40:13,2760
Umiya Hardware Mart,Paint and Putty Dealer,Building materials supplier,"Building materials supplier, Bathroom supply store, Building materials store, Hardware store, Paint store",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 94083 44688,N/A,3.9,,"Ajwa Rd, near Navjivan Bus Stop, Panchavati Society, Bapod, Waghodia, Vadodara, Gujarat 390019","Panchavati Society, Bapod, Waghodia",22.306931,73.2325498,ChIJy4mLRYXPXzkRjjqgjAMeBaA,https://www.google.com/maps/place/?q=place_id:ChIJy4mLRYXPXzkRjjqgjAMeBaA,part_104,2026-09-20 16:40:13,2761
