business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
South Masala Restaurant,South Indian Restaurant,South Indian restaurant,South Indian restaurant,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 78748 61589,https://south-masala-restaurant.grexa.site/,4.5,142.0,"ground floor shop no:- 58 & 59, pramukh yard complex,apollo cricle, Kheda - Bagodara Rd, Kheda, Dholka, Gujarat 382225",383350,22.7179231,72.46123089999999,ChIJl67v2uztXjkRtbW0WnL1N8o,https://www.google.com/maps/place/?q=place_id:ChIJl67v2uztXjkRtbW0WnL1N8o,part_104,2026-09-20 16:40:01,661
Uttam The Taste Of South,South Indian Restaurant,Food court,"Food court, South Indian restaurant",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99044 13307,N/A,4.7,129.0,"nr. Railway Station, Raykanagar, Barelimill, Himatnagar, Gujarat 383001","Raykanagar, Barelimill",23.5903162,72.9603234,ChIJETCopPG5XTkRlm5wxJYnkbQ,https://www.google.com/maps/place/?q=place_id:ChIJETCopPG5XTkRlm5wxJYnkbQ,part_104,2026-09-20 16:40:01,662
MR. DOSA G,South Indian Restaurant,Indian restaurant,Indian restaurant,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 82000 96462,N/A,4.4,49.0,"Shop No ¾, Floret Square Complex, Meghraj Rd, Gitanjali Society, Modasa, Gujarat 383315",Gitanjali Society,23.4678362,73.31239219999999,ChIJN9hre4rxXTkRrfV_Gi8YOA0,https://www.google.com/maps/place/?q=place_id:ChIJN9hre4rxXTkRrfV_Gi8YOA0,part_104,2026-09-20 16:40:01,663
Shree Marutinandan Kathiyawadi & Dalbati Restaurant - Shamlaji,South Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Chinese restaurant, Gujarati restaurant, Punjabi restaurant",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 73838 86538,https://shreemarutinandanrestaurant.com/,3.8,791.0,"at-asal, Post Napsa, TA-Bhiloda, Shamalpur, Gujarat 383250",383350,23.651142099999998,73.31285849999999,ChIJ6YXWTZuNXTkRZwiruu01jSE,https://www.google.com/maps/place/?q=place_id:ChIJ6YXWTZuNXTkRZwiruu01jSE,part_104,2026-09-20 16:40:01,664
Diporam chula dosa,South Indian Restaurant,Restaurant,Restaurant,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99980 59544,N/A,3.7,22.0,"Syam icon, syam chokdi bypass road, Modasa, Gujarat 383315",383350,23.4548086,73.3157367,ChIJQx-23TPxXTkRaCCDt9UXSyU,https://www.google.com/maps/place/?q=place_id:ChIJQx-23TPxXTkRaCCDt9UXSyU,part_104,2026-09-20 16:40:01,665
Hotel Sarvottam,South Indian Restaurant,Indian restaurant,"Indian restaurant, Chinese restaurant, Restaurant, Punjabi restaurant, South Indian restaurant",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 82389 34401,N/A,4.1,3786.0,"Gajan Toll Road, Shamlaji Highway, Taluka, Modasa, Gujarat 383315",Taluka,23.4997391,73.30368969999999,ChIJ9wTUrlHwXTkRk8b-brNJc5E,https://www.google.com/maps/place/?q=place_id:ChIJ9wTUrlHwXTkRk8b-brNJc5E,part_104,2026-09-20 16:40:01,666
Sankalp,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Vegetarian restaurant",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 88496 30306,N/A,4.6,546.0,"Himmatnagar Bypass Rd, near New Jilla panchayat, Himatnagar, Parabada, Gujarat 383002",383350,23.5892847,72.9463578,ChIJhxo7cfy5XTkRk6FFDwbvh94,https://www.google.com/maps/place/?q=place_id:ChIJhxo7cfy5XTkRk6FFDwbvh94,part_104,2026-09-20 16:40:01,667
Honest Restaurant Shamlaji,South Indian Restaurant,Indian restaurant,"Indian restaurant, Breakfast restaurant, Fast food restaurant, South Indian restaurant, Tea house, Vegetarian restaurant",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 63511 35246,http://www.honestrestaurant.com/index.php?option=com_content&view=article&id=2&Itemid=5,3.5,6902.0,"NH8 Ahmedabad, Udaipur - Banswara Highway, nr. RTO Check Post, Samalaji, Gujarat 383355",383350,23.7206516,73.398353,ChIJS7Q8jGiJXTkRbFvs7z7MNGc,https://www.google.com/maps/place/?q=place_id:ChIJS7Q8jGiJXTkRbFvs7z7MNGc,part_104,2026-09-20 16:40:01,668
Khodiyar South Indian,South Indian Restaurant,Fast food restaurant,Fast food restaurant,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99504 90798,N/A,,,"Malpur Road, near Mamlatdar Kacheri, Meghraj, Gujarat 383350",383350,23.491157599999998,73.50364379999999,ChIJp2ZH_otZZzkR_bEGjR9sAak,https://www.google.com/maps/place/?q=place_id:ChIJp2ZH_otZZzkR_bEGjR9sAak,part_104,2026-09-20 16:40:01,669
રાજુ ઢોંસાવાલા,South Indian Restaurant,Hotel,Hotel,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 93637 59454,N/A,4.5,12.0,"F883+MMJ, Alankar Society, Modasa, Gujarat 383315",Alankar Society,23.466703799999998,73.30414429999999,ChIJtz00qRPxXTkRmSt1uLztQWg,https://www.google.com/maps/place/?q=place_id:ChIJtz00qRPxXTkRmSt1uLztQWg,part_104,2026-09-20 16:40:01,670
