business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TAD FASHION,Boutiques,Clothing Accessories Store,Clothing Accessories Store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 79907 98799,N/A,4.7,,"CITY CENTER, Prantij, Gujarat 383205",383350,23.4344243,72.8568931,ChIJsbTXtV7PXTkRwhdBPgkPiao,https://www.google.com/maps/place/?q=place_id:ChIJsbTXtV7PXTkRwhdBPgkPiao,part_104,2026-09-20 16:40:05
Sargam Novelty & bangles store,Boutiques,Cosmetics store,Cosmetics store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"FGW7+4JP, Meghraj, Gujarat 383350",383350,23.495437199999998,73.5137936,ChIJYTyBYABZZzkR9BH8fhZpja0,https://www.google.com/maps/place/?q=place_id:ChIJYTyBYABZZzkR9BH8fhZpja0,part_104,2026-09-20 16:40:05
UMIYA GIFT SHOP,Boutiques,Gift shop,Gift shop,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 79904 21985,N/A,4.8,,"CITY CENTER, opp. SETH P AND R HIGHSCHOOL, Oran, Prantij, Gujarat 383205",383350,23.4345875,72.85699559999999,ChIJAxLWqR7PXTkRAAAA0FwQYAs,https://www.google.com/maps/place/?q=place_id:ChIJAxLWqR7PXTkRAAAA0FwQYAs,part_104,2026-09-20 16:40:05
ARBUDA BOOK STORE,Boutiques,Book store,Book store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"FGV6+XCG GJ SH 146, Meghraj, Gujarat 383350",383350,23.4949163,73.5111727,ChIJfTqxJQBZZzkRA0jPAWc65pg,https://www.google.com/maps/place/?q=place_id:ChIJfTqxJQBZZzkRA0jPAWc65pg,part_104,2026-09-20 16:40:05
ANJANA LADIES TAILOR,Boutiques,Store,Store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"Meghraj, Relyo, Gujarat 383350",383350,23.5153125,73.53594129999999,ChIJ7e0zolVZZzkRh3M7S-tL8gU,https://www.google.com/maps/place/?q=place_id:ChIJ7e0zolVZZzkRh3M7S-tL8gU,part_104,2026-09-20 16:40:05
"Shop No 35, Golden Plaza",Boutiques,Boutiques,Boutiques,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"Golden Plaza, 36, near Bus Stand, Meghraj, Relyo, Gujarat 383350",383350,23.5153124,73.5359412,ChIJgfOhqmpZZzkRhroXYTgWmoU,https://www.google.com/maps/place/?q=place_id:ChIJgfOhqmpZZzkRhroXYTgWmoU,part_104,2026-09-20 16:40:05
Gurukrupa creation,Boutiques,Women's clothing store,Women's clothing store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99040 57918,N/A,4.8,,"B-5, Jayshree super Market, 1, opp. taluka panchayat, Mehsana, Gujarat 384001",Pilaji Ganj,23.607135,72.3934275,ChIJKUHK_dJDXDkRxCSFuNp1764,https://www.google.com/maps/place/?q=place_id:ChIJKUHK_dJDXDkRxCSFuNp1764,part_104,2026-09-20 16:40:05
Omkar Auto Garage,Boutiques,Motorcycle shop,Motorcycle shop,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 74360 00871,N/A,5.0,,"06 Undva, Rod, Meghraj, Gujarat 383350",383350,23.4949741,73.5175319,ChIJ45Fq6PBZZzkR6cYzErfJF4g,https://www.google.com/maps/place/?q=place_id:ChIJ45Fq6PBZZzkR6cYzErfJF4g,part_104,2026-09-20 16:40:05
Meghreji Cutlery Store,Boutiques,Cutlery store,Cutlery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"Meghraj, Gujarat 383350",383350,23.4950236,73.51188789999999,ChIJHWb_A_5YZzkR1-vEJ24m8Uo,https://www.google.com/maps/place/?q=place_id:ChIJHWb_A_5YZzkR1-vEJ24m8Uo,part_104,2026-09-20 16:40:05
College Book Store,Boutiques,Store,Store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 96622 91322,N/A,5.0,,"10, GJ SH 146, Meghraj, Gujarat 383350",383350,23.4947043,73.5118981,ChIJuW78MSZZZzkRlAoO1OFnIw4,https://www.google.com/maps/place/?q=place_id:ChIJuW78MSZZZzkRlAoO1OFnIw4,part_104,2026-09-20 16:40:05
H K Pan Parlour,Boutiques,General store,General store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 81608 14715,N/A,5.0,,"Ajanta Complex, Ramgadhi Road, opp. Hotel Raj Palace, Meghraj, Gujarat 383350",383350,23.4945353,73.5178226,ChIJaft1OxJZZzkRitX2batqN_g,https://www.google.com/maps/place/?q=place_id:ChIJaft1OxJZZzkRitX2batqN_g,part_104,2026-09-20 16:40:05
THE STYLE ADDA,Boutiques,Clothing store,Clothing store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 86198 78204,N/A,4.5,12.0,"Complex, Pandarwada, Gujarat 389232",Complex,23.3666415,73.6285764,ChIJaeICIABRZzkRQ6YXi09uOZw,https://www.google.com/maps/place/?q=place_id:ChIJaeICIABRZzkRQ6YXi09uOZw,part_104,2026-09-20 16:40:06
DEV NARAYAN FASHION,Boutiques,Clothing store,Clothing store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 70148 89265,N/A,5.0,2.0,"Main Bazar, opp. Bus Stand, Meghraj, Gujarat 383350",383350,23.494017799999998,73.507719,ChIJw_UQODZZZzkReaTwB7_-rGY,https://www.google.com/maps/place/?q=place_id:ChIJw_UQODZZZzkReaTwB7_-rGY,part_104,2026-09-20 16:40:06
Saanjaa – Women’s Designer Fashion Store,Boutiques,Designer Clothing Store,"Designer Clothing Store, Fashion designer",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 96647 08085,https://saanjaa.com/,4.6,103.0,"Saanja, Besides Agrawal Vidhya Vihar School, Vesu Canal Rd, Vesu, Surat, Gujarat 395007",Vesu,21.1368555,72.7793348,ChIJTy1gXW1S4DsRfcXITLJ-QbE,https://www.google.com/maps/place/?q=place_id:ChIJTy1gXW1S4DsRfcXITLJ-QbE,part_104,2026-09-20 16:40:06
DC STORE,Boutiques,Clothing store,Clothing store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,3.0,,"near Bus stand, opp. goldan plaza, Meghraj, Gujarat 383350",383350,23.493816,73.50643,ChIJH0qt3FdZZzkRzw5No21_dYg,https://www.google.com/maps/place/?q=place_id:ChIJH0qt3FdZZzkRzw5No21_dYg,part_104,2026-09-20 16:40:06
HONEY KIRANAna store,Boutiques,Store,Store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"GHW6+C33 NAVIVANk ROAD TOUCH, Navivank, Vank, Gujarat 383350",383350,23.5460119,73.560172,ChIJ58HpRd5dZzkR9KlQZh4K-XA,https://www.google.com/maps/place/?q=place_id:ChIJ58HpRd5dZzkR9KlQZh4K-XA,part_104,2026-09-20 16:40:06
NEW JOHAR FAMILY SHOP,Boutiques,Men's clothing store,Men's clothing store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 93286 17677,N/A,,,"Mahadev Complex, Main Bazar Road, opp. Golden Plaza, Meghraj, Gujarat 383350",383350,23.494401699999997,73.5067045,ChIJn_-eUZJZZzkRYKJ-5wRJ8x0,https://www.google.com/maps/place/?q=place_id:ChIJn_-eUZJZZzkRYKJ-5wRJ8x0,part_104,2026-09-20 16:40:06
GOPAL STORE,Boutiques,Tailor,Tailor,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99092 32638,N/A,5.0,,"Bus Stand, Goda Shopping Centre New, Meghraj, Gujarat 383350",383350,23.4944012,73.5067064,ChIJWwp5reJZZzkRDMiGCiqkYiY,https://www.google.com/maps/place/?q=place_id:ChIJWwp5reJZZzkRDMiGCiqkYiY,part_104,2026-09-20 16:40:06
