business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RK ENTERPRISE,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electrical equipment supplier, Electrical supply store, Industrial equipment supplier, Industrial Spares & Products Wholesaler",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 98250 21342,N/A,4.5,6.0,"Tirupati Complex, Radhanpur Cir, Manglaytan Society, Mehsana, Gujarat 384002",Manglaytan Society,23.6065696,72.3803138,ChIJZVocVJRDXDkR6yq8LzqzqiU,https://www.google.com/maps/place/?q=place_id:ChIJZVocVJRDXDkR6yq8LzqzqiU,part_104,2026-09-20 16:40:47
Lighting & Art Gallery,Electrical Goods and Lighting Store,Lighting store,Lighting store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 99240 26935,N/A,4.9,30.0,"SF NO. 201,202, Silver Cube, Radhanpur Rd, Bansari Twp, Mehsana, Gujarat 384005",Bansari Township,23.6163329,72.3522232,ChIJFx90t11DXDkRrR2bz9iyut0,https://www.google.com/maps/place/?q=place_id:ChIJFx90t11DXDkRrR2bz9iyut0,part_104,2026-09-20 16:40:47
7 Star Electric,Electrical Goods and Lighting Store,Electronics store,Electronics store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 90540 62080,N/A,5.0,3.0,"Shop No 1,majid Ni Baju Ma, Dharisana, Gujarat 382315",383355,23.2581305,72.8532547,ChIJKxhUGQDXXTkRV5po3usXH9w,https://www.google.com/maps/place/?q=place_id:ChIJKxhUGQDXXTkRV5po3usXH9w,part_104,2026-09-20 16:40:47
Chaitali Enterprise,Electrical Goods and Lighting Store,Electronics store,Electronics store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 97730 72271,N/A,4.7,99.0,"6, Green Taress, TGB to D-MART road, Adajan, Surat, Gujarat 395009","TGB, Adajan Gam, Adajan",21.1941809,72.7881361,ChIJy8mL5AdN4DsRrIsemKLfvPo,https://www.google.com/maps/place/?q=place_id:ChIJy8mL5AdN4DsRrIsemKLfvPo,part_104,2026-09-20 16:40:47
Asiad Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 2742 241 888,N/A,4.4,32.0,"Opp Gram Panchyat, Kanodar, Gujarat 385520",383355,24.088902299999997,72.3909733,ChIJXY8kpLrtXDkRTiJKa0u19RY,https://www.google.com/maps/place/?q=place_id:ChIJXY8kpLrtXDkRTiJKa0u19RY,part_104,2026-09-20 16:40:47
J K Lights,Electrical Goods and Lighting Store,Lighting store,Lighting store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 63548 35023,N/A,4.2,232.0,"ground floor shop no 4, Shilp 3, Sindhubhavan Rd, opp. ICICI bank, off Sarkhej - Gandhinagar Highway, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059","PRL Colony, Bodakdev",23.0406734,72.50476019999999,ChIJ66XKC_CEXjkRtB7dHi9Inwg,https://www.google.com/maps/place/?q=place_id:ChIJ66XKC_CEXjkRtB7dHi9Inwg,part_104,2026-09-20 16:40:48
Kumar Electrical Lighting house,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical repair shop, Electrical products wholesaler",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",N/A,N/A,5.0,14.0,"near Govt Sen sec. School, Rehan, Raur, Himachal Pradesh 176022",383355,32.1600052,75.9069212,ChIJyelzwd1lGzkR2IKgdaC0y80,https://www.google.com/maps/place/?q=place_id:ChIJyelzwd1lGzkR2IKgdaC0y80,part_104,2026-09-20 16:40:48
ELECTRICAL HUB - Electrical Wholesaler & Authorized Havells Dealer in Patna,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Air conditioning store, Chimney services, Electrical appliance wholesaler, Electrical repair shop, Electrical products wholesaler, Electronics Accessories Wholesaler, Television repair service, Wire and cable supplier",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",N/A,N/A,4.9,75.0,"Electrical Hub, Gola Rd, near Union Bank Of India, near sonu market, Vastu Ganga Colony, Vivek Vihar Colony, Danapur, Patna, Bihar 801503","Vastu Ganga Colony, Vivek Vihar Colony",25.618699499999998,85.0561353,ChIJMV5m1eFX7TkR8VaorWliPtM,https://www.google.com/maps/place/?q=place_id:ChIJMV5m1eFX7TkR8VaorWliPtM,part_104,2026-09-20 16:40:48
Philips led Sai Krishna Enterprises,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical appliance wholesaler, Electrical products wholesaler, Electronics wholesaler, Light bulb supplier, Lighting consultant, Lighting products wholesaler",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 72860 60485,https://youtube.com/@neerajgupta404?si=In-9i5ir0nQr1699,4.9,458.0,"S.No. 87, 88, E : Block, Jamuna Arcade, Syed Jung Ln, Troop Bazaar, Koti, Hyderabad, Telangana 500001","Troop Bazaar, Koti",17.3841476,78.47890629999999,ChIJG4Lch82ZyzsRQ9CQlm8tZUo,https://www.google.com/maps/place/?q=place_id:ChIJG4Lch82ZyzsRQ9CQlm8tZUo,part_104,2026-09-20 16:40:48
The Perfect Lights,Electrical Goods and Lighting Store,Lighting store,Lighting store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 98982 34368,N/A,4.1,94.0,"FF, Riya Plex, Plot No. 80, Urmi Society, BPC ROad, Vadodara, Gujarat 390007",BPC ROad,22.3053305,73.1733071,ChIJr8SEH6_IXzkRt_uSN3GgVqs,https://www.google.com/maps/place/?q=place_id:ChIJr8SEH6_IXzkRt_uSN3GgVqs,part_104,2026-09-20 16:40:48
Goel Lightings,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 83930 18111,N/A,4.9,418.0,"Munsif Rd, opp. Jyoti sweet, Shakti Nagar, Chandausi, Uttar Pradesh 244412",Shakti Nagar,28.4566248,78.77605299999999,ChIJwfyo4bvbCjkRFcssaur6ono,https://www.google.com/maps/place/?q=place_id:ChIJwfyo4bvbCjkRFcssaur6ono,part_104,2026-09-20 16:40:48
Aanjana light house,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Electrical products wholesaler",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 97246 05421,N/A,,,"shop no.3 parvati complex nr DR.lal bhai hospital, Dairy Rd, Mehsana, Gujarat 384002","Sukhapura, Manglaytan Society",23.603769099999997,72.38425819999999,ChIJ-WzYJM5DXDkR-1y8ie3cO-Q,https://www.google.com/maps/place/?q=place_id:ChIJ-WzYJM5DXDkR-1y8ie3cO-Q,part_104,2026-09-20 16:40:48
Ananta Electricals,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electronics store",383355,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Shamlaji SO, Devnimori BO, Dhambolia BO",+91 98256 77500,https://www.anantaelectrical.com/,4.5,,"14, Lambe Hanuman Rd, Matavadi, Bhagunagar Society, Varachha, Surat, Gujarat 395006","Matavadi, Bhagunagar Society, Varachha",21.2088331,72.8537631,ChIJbVB-OgJP4DsRXQg0F9mf9Qc,https://www.google.com/maps/place/?q=place_id:ChIJbVB-OgJP4DsRXQg0F9mf9Qc,part_104,2026-09-20 16:40:48
