business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Umiya cosmetic agency,Cosmetics Wholesaler,Wholesaler,"Wholesaler, Supplier, Cosmetics",383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 76004 60507,N/A,4.8,,"Ambika Chember , Damodar Complex area, 164, Tower Rd, Idar, Gujarat 383430",383410,23.838472499999998,72.9994463,ChIJnX8fIfqjXTkRdL2vRtgA-A0,https://www.google.com/maps/place/?q=place_id:ChIJnX8fIfqjXTkRdL2vRtgA-A0,part_104,2026-09-20 16:41:24
ACTICON LIFE SCIENCES,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Beauty product supplier, Beauty Products Wholesaler, Cosmetics industry, Cosmetic Products Manufacturer, Exporter",383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 76004 43515,https://www.acticonlifesciences.com/,4.9,,"B1+B2+B3, 14, GIDC, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016","GIDC Electronic Estate, Sector 25",23.246992,72.6277715,ChIJ040QrvArXDkRcSq7pCzLRaE,https://www.google.com/maps/place/?q=place_id:ChIJ040QrvArXDkRcSq7pCzLRaE,part_104,2026-09-20 16:41:24
No,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",N/A,N/A,,,"gayatri nagar, Vadali, Gujarat 383235",gayatri nagar,23.936938599999998,73.0417684,ChIJg-vMyo-hXTkRWFbQZEFGvm8,https://www.google.com/maps/place/?q=place_id:ChIJg-vMyo-hXTkRWFbQZEFGvm8,part_104,2026-09-20 16:41:24
Bajrang trading co.,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",N/A,N/A,2.0,,"Vadali, Gujarat 383235",383410,23.9419802,73.03757379999999,ChIJrYMi-fuhXTkRGbu7iXM_rZ0,https://www.google.com/maps/place/?q=place_id:ChIJrYMi-fuhXTkRGbu7iXM_rZ0,part_104,2026-09-20 16:41:24
Eproxe,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Cosmetic Products Manufacturer, Cosmetics industry",383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 99096 99718,N/A,4.9,,"gopal chowk, Nava Naroda, Ahmedabad, Gujarat 380049",Nava Naroda,23.046477799999998,72.6571744,ChIJuQtT9RSHXjkRxGkEEusaSa4,https://www.google.com/maps/place/?q=place_id:ChIJuQtT9RSHXjkRxGkEEusaSa4,part_104,2026-09-20 16:41:25
Beyond Cosmetics,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Beauty Products Wholesaler, Beauty supply store",383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 99784 70107,N/A,4.9,,"Shree Residence, shop no. 2, opp. alap heritage, saty Sain road, Rajkot, Gujarat 360005","New Maruti Park Society, Chandra Park",22.2765651,70.77118879999999,ChIJudYwHTbKWTkRtiIx-B24iho,https://www.google.com/maps/place/?q=place_id:ChIJudYwHTbKWTkRtiIx-B24iho,part_104,2026-09-20 16:41:25
Rushi Cosmetics,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 281 244 8330,N/A,4.7,,"Shop No. 7-8-9, First, Sadguru Tirthdham, Raiya Rd, Raja Nagar, Rajkot, Gujarat 360007",Raja Nagar,22.299759299999998,70.7796765,ChIJvbhO9CfKWTkR0tKOkflJdNE,https://www.google.com/maps/place/?q=place_id:ChIJvbhO9CfKWTkR0tKOkflJdNE,part_104,2026-09-20 16:41:25
Krupa Marketing,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",N/A,N/A,5.0,,"28/116, Shreenagar, Ambaji, Chock, Sector 24, Gandhinagar, Gujarat 382016",Sector 24,23.2435744,72.647418,ChIJvZn-c38rXDkRiZ8aRJEn8-o,https://www.google.com/maps/place/?q=place_id:ChIJvZn-c38rXDkRiZ8aRJEn8-o,part_104,2026-09-20 16:41:25
Raj beauty collection,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Beautician, Beauty product supplier, Beauty supply store, Beauty Products Wholesaler, Cosmetics wholesaler, Health and beauty shop",383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 82386 70552,http://www.rajbeautycollection.com/,4.6,,"Sudama Chowk, near Akhil Gift, near police line, Sudama Puri, Bhatia Bazar Old, Porbandar, Gujarat 360575","Sudama Puri, Bhatia Bazar Old",21.641651,69.6050262,ChIJv1xbzmg1VjkRcO7j8UcuTRk,https://www.google.com/maps/place/?q=place_id:ChIJv1xbzmg1VjkRcO7j8UcuTRk,part_104,2026-09-20 16:41:25
Jimi Novelty,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,383410,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Badoli SO, Ankala BO, Bhanpur BO",+91 97246 86812,N/A,5.0,,"JIMI novelty, rushbh complex, opposite bus stand, Idar, Gujarat 383430",383410,23.839514299999998,73.0006118,ChIJV2anz7qjXTkRB1YiW194xwE,https://www.google.com/maps/place/?q=place_id:ChIJV2anz7qjXTkRB1YiW194xwE,part_104,2026-09-20 16:41:25
