business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tech Digi X | Marketing Freelancer,Growth Marketing,Marketing agency,"Marketing agency, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 81604 67856,http://techdigix.com/,4.9,,"Tech Digi X | Marketing Freelancer, 383462, India",383462,21.0680074,82.7525294,ChIJHXDDxQw8PwwRczyyh92JM2o,https://www.google.com/maps/place/?q=place_id:ChIJHXDDxQw8PwwRczyyh92JM2o,part_104,2026-09-20 16:46:06
Brand Height,Growth Marketing,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Marketing agency, Marketing consultant",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 90992 30090,http://www.brandheight.com/,4.9,,"Prahladnagar Trade Center, Time of India, D-1102, Press Road, Vejalpur, Ahmedabad, Gujarat 380051",Vejalpur,23.0093817,72.52315949999999,ChIJI3aEVLyDXjkR_5yTWT-HBU0,https://www.google.com/maps/place/?q=place_id:ChIJI3aEVLyDXjkR_5yTWT-HBU0,part_104,2026-09-20 16:46:06
Gautam Mali - Digital marketing Expert,Growth Marketing,Internet marketing service,"Internet marketing service, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 89256 07016,https://gautammalidigital.com/,5.0,,"Gautam Mali - Digital marketing Expert, 383462, India",383462,21.1592002,72.8222859,ChIJHatb3Qq44iQRdX-mBNOvLZE,https://www.google.com/maps/place/?q=place_id:ChIJHatb3Qq44iQRdX-mBNOvLZE,part_104,2026-09-20 16:46:06
theCreative Media Best Digital Marketing in Surendranagar,Growth Marketing,Advertising agency,"Advertising agency, Service establishment, Graphic designer, Website designer",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 93130 26528,https://digital-rushali-portfolio.webflow.io/,,,"theCreative Media Best Digital Marketing in Surendranagar, 383462, India",383462,22.9179724,72.15270989999999,ChIJIWmmQZ8RqycRS8fO91CV6To,https://www.google.com/maps/place/?q=place_id:ChIJIWmmQZ8RqycRS8fO91CV6To,part_104,2026-09-20 16:46:06
GrowthXD-Digital Marketing Agency,Growth Marketing,Internet marketing service,"Internet marketing service, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,N/A,,,"GrowthXD-Digital Marketing Agency, 383462, India",383462,24.813460799999998,73.788611,ChIJ4YY6nz-53SwRBHbOpuZxjzg,https://www.google.com/maps/place/?q=place_id:ChIJ4YY6nz-53SwRBHbOpuZxjzg,part_104,2026-09-20 16:46:06
grow more together digital marketing agency,Growth Marketing,Advertising agency,"Advertising agency, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,https://growmoretogether.in/,,,"grow more together digital marketing agency, 383462, India",383462,21.0680074,82.7525294,ChIJpQcMPiXgcEoRsQ4YtDpXbeM,https://www.google.com/maps/place/?q=place_id:ChIJpQcMPiXgcEoRsQ4YtDpXbeM,part_104,2026-09-20 16:46:06
Digimate Marketing- Digital marketing service,Growth Marketing,Internet marketing service,"Internet marketing service, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,https://digimatemarketing.com/,5.0,,"Digimate Marketing- Digital marketing service, 383462, India",383462,24.0342445,74.3212759,ChIJvbcHTDWuQW8Rl2WOR9qjm_A,https://www.google.com/maps/place/?q=place_id:ChIJvbcHTDWuQW8Rl2WOR9qjm_A,part_104,2026-09-20 16:46:06
Growth Wizards - Your Marketing Partner,Growth Marketing,Internet marketing service,"Internet marketing service, Design agency, E-commerce service, Marketing agency, Marketing consultant, Web hosting company, Website designer",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 93529 69413,https://growthwizards.co.in/,5.0,,"FF02, Commercial Complex, Ratnakar Resicom, near Shivay Hospital Collebera, Chandramauleshwar Nagar, Gotri, Vadodara, Gujarat 390021","Chandramauleshwar Nagar, Gotri",22.3120951,73.1276285,ChIJn8BxgpnHXzkRk1HQQK5ILh4,https://www.google.com/maps/place/?q=place_id:ChIJn8BxgpnHXzkRk1HQQK5ILh4,part_104,2026-09-20 16:46:06
"Firms Marketing - Website, Software & Branding",Growth Marketing,Marketing agency,"Marketing agency, Design agency, Graphic designer, Software company, Web hosting company, Website designer",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 88666 82459,https://firmsmarketing.in/,4.9,,"2nd Floor, Shreeji Sahaj Business Hub, 217, near Narmada College, Bharuch, Gujarat 392011",Zanor,21.7274314,73.0427182,ChIJ158LQyoh4DsRs2ewq6amGJs,https://www.google.com/maps/place/?q=place_id:ChIJ158LQyoh4DsRs2ewq6amGJs,part_104,2026-09-20 16:46:06
Digital marketing,Growth Marketing,Party planner,"Party planner, Service establishment",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,https://instagram.com/divyesh_dhadhal?igshid=YmMyMTA2M2Y=,,,"Digital marketing, 383462, India",383462,22.4158825,71.32697209999999,ChIJPTbdTXCGYq8RvLgKRMDHn6Q,https://www.google.com/maps/place/?q=place_id:ChIJPTbdTXCGYq8RvLgKRMDHn6Q,part_104,2026-09-20 16:46:06
