business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jay Bhavani Auto Bike Repair Shop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 96872 80059,N/A,4.1,,"jaybhavani auto bike repair shop, Ratabher Rd, Kadiyana, Ratabher, Gujarat 363330",383462,22.8489051,70.9951403,ChIJl4CgwGaPWTkRcVjG5E-14hU,https://www.google.com/maps/place/?q=place_id:ChIJl4CgwGaPWTkRcVjG5E-14hU,part_104,2026-09-20 16:45:44
Bike care auto,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 94297 32168,N/A,5.0,,"panchayat, Taluka, rod, near Shakti guest house, Limbdi, Gujarat 363421",Limbdi,22.5678439,71.8073398,ChIJUdDwSdoxWTkR313zBP6wv6M,https://www.google.com/maps/place/?q=place_id:ChIJUdDwSdoxWTkR313zBP6wv6M,part_104,2026-09-20 16:45:44
Dhara Bike Workshop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,N/A,4.5,,"Kesariya lake, near matiyapir temple, Bhatiya, Gujarat 361315",383462,22.091018,69.268913,ChIJD99BfFmLVjkRrijCT8kOQmo,https://www.google.com/maps/place/?q=place_id:ChIJD99BfFmLVjkRrijCT8kOQmo,part_104,2026-09-20 16:45:44
Maa bike care,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 81410 12201,N/A,4.7,,"DER PATIYA, Balisana, Gujarat 384110",DER PATIYA,23.8221915,72.2568951,ChIJSe9ow6hhXDkRcj0bsAZ2ho4,https://www.google.com/maps/place/?q=place_id:ChIJSe9ow6hhXDkRcj0bsAZ2ho4,part_104,2026-09-20 16:45:44
Valvoline Bike Xpert - Prince Auto Service Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Oil change service",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 81540 03193,https://www.valvolineglobal.com/en-in/,,,"Polo Form Market, Ambaji NH, nearby Ganj Bazar, Danta, Gujarat 385120",383462,24.1833349,72.7557599,ChIJYyjpOl8dXTkRaZGQLh6b-0Y,https://www.google.com/maps/place/?q=place_id:ChIJYyjpOl8dXTkRaZGQLh6b-0Y,part_104,2026-09-20 16:45:44
Valvoline Bike Xpert - Maa Arbuda Auto Parts & Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Oil change service",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 81281 69735,https://www.valvolineglobal.com/en-in/,,,"Main Road, nearby Police Station, Dhanera, Gujarat 385310",383462,24.5143411,72.0165334,ChIJS4mmBDyrXDkRU8V_PSXo7yY,https://www.google.com/maps/place/?q=place_id:ChIJS4mmBDyrXDkRU8V_PSXo7yY,part_104,2026-09-20 16:45:44
ARBUDA BIKE ZONE,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 99046 51811,N/A,3.9,,"s.c.w, Arbuda bike zone, to, hira bajar road, Deesa, Gujarat 385535",383462,24.253736699999997,72.1776502,ChIJS79Zyna9XDkRcknq4BP4Zvs,https://www.google.com/maps/place/?q=place_id:ChIJS79Zyna9XDkRcknq4BP4Zvs,part_104,2026-09-20 16:45:44
SHREE VERAI AUTO GEREJ & E-BIKE RIPERING,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Electric bicycle store",383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 97248 57231,N/A,5.0,,"ghasediya pir dargah, Porbandar Rd, Navapara, Khambhalia, Gujarat 361305",Navapara,22.2069938,69.64436119999999,ChIJjagItIT9VjkR0NIS6Zc0rlU,https://www.google.com/maps/place/?q=place_id:ChIJjagItIT9VjkR0NIS6Zc0rlU,part_104,2026-09-20 16:45:44
K V Auto,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",+91 99985 79805,N/A,4.3,,"498P+M6Q, Vyara, Gujarat 394650",383462,21.116703899999997,73.385615,ChIJvweD37J-4DsRQrKXhx2MgZ4,https://www.google.com/maps/place/?q=place_id:ChIJvweD37J-4DsRQrKXhx2MgZ4,part_104,2026-09-20 16:45:44
Bike mechanic,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,383462,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Kodiawada SO, Baleta BO, Biladia BO",N/A,N/A,5.0,,"234V+M7, Kedariya, Gujarat 363351",383462,23.0059294,71.09337649999999,ChIJu4cRoZ4pWjkRQnFvU5AeMfg,https://www.google.com/maps/place/?q=place_id:ChIJu4cRoZ4pWjkRQnFvU5AeMfg,part_104,2026-09-20 16:45:44
