business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shlok hospital.,Doctors,Doctor,"Doctor, Hospital",384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 96012 58201,http://www.shlokhospitalpatan.com/,4.6,92,"Sardar Complex, siddhapur cross Road, opposite Navjivan Hotel, Krishnanagar Society, Patan, Gujarat 384265",Krishnanagar Society,23.852154,72.1384965,ChIJW3EIy_GHXDkRvgkIF3LNg10,https://www.google.com/maps/place/?q=place_id:ChIJW3EIy_GHXDkRvgkIF3LNg10,part_104,2026-09-20 16:49:15
Dr. Ashvin Patel,Doctors,Doctor,Doctor,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 2766 232 232,N/A,4.8,5,"Sadbhav hospital, Deesa Rd, near tb tran rasta, Siddhem Nagar Society, Patan, Gujarat 384265",Siddhem Nagar Society,23.8593263,72.13833629999999,ChIJAVNAlu6HXDkRLagB5mZkaLg,https://www.google.com/maps/place/?q=place_id:ChIJAVNAlu6HXDkRLagB5mZkaLg,part_104,2026-09-20 16:49:15
SHIV CLINIC (દવાખાનું),Doctors,Hospital,"Hospital, Emergency care physician, Medical clinic",384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 97259 89541,N/A,5.0,3,"Chandravati, Chandalaj, Gujarat 384151",384110,23.864692599999998,72.31873329999999,ChIJNwu-oXiLXDkRvxmGysRZvZ0,https://www.google.com/maps/place/?q=place_id:ChIJNwu-oXiLXDkRvxmGysRZvZ0,part_104,2026-09-20 16:49:15
Mothercare Women's Hospital/Women's Hospital In Patan,Doctors,Obstetrician-gynecologist,Obstetrician-gynecologist,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 99743 28933,N/A,4.8,70,"3rd floor, B wing ,Rameshwer Iconic, Rajmahel Rd, behind V K Bhula school, Patan, Gujarat 384265",Subhadranagar,23.8537181,72.1293761,ChIJy6qLz7KHXDkR3syoS3RJ8fE,https://www.google.com/maps/place/?q=place_id:ChIJy6qLz7KHXDkR3syoS3RJ8fE,part_104,2026-09-20 16:49:15
Keshav Hospital,Doctors,Hospital,Hospital,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 91062 04848,N/A,4.9,32,"second floor, Manglam square, Deesa Rd, Siddhem Nagar Society, Patan, Matarvadi Part, Gujarat 384265",Siddhem Nagar Society,23.8613048,72.1379135,ChIJiSazxxCHXDkRSArznuCa8GA,https://www.google.com/maps/place/?q=place_id:ChIJiSazxxCHXDkRSArznuCa8GA,part_104,2026-09-20 16:49:15
Astha Kidney Hospital And Stone Clinic,Doctors,Hospital,Hospital,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",N/A,N/A,4.4,19,"kilachand shopping Center, VTC Patan, Patan, Gujarat 384265",VTC Patan,23.851834,72.1269884,ChIJq6qqy--HXDkRuAKAuXU96mo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqy--HXDkRuAKAuXU96mo,part_104,2026-09-20 16:49:15
Dr.Pulkit Modi - Samved Orthopaedic Joint Replacement Hospital,Doctors,Orthopedic surgeon,"Orthopedic surgeon, Hospital",384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",N/A,N/A,4.3,6,"Yash Plaza, University Rd, chamunda society, Patan, Gujarat 384265",chamunda society,23.855656099999997,72.12981479999999,ChIJNQj_GJmHXDkRuFNaqK8264k,https://www.google.com/maps/place/?q=place_id:ChIJNQj_GJmHXDkRuFNaqK8264k,part_104,2026-09-20 16:49:15
Niketa Children Hospital,Doctors,Children's hospital,Children's hospital,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 2766 225 101,N/A,4.3,35,"V44J+33V, chamunda society, Patan, Gujarat 384265",chamunda society,23.8552273,72.13016689999999,ChIJuWCojOWHXDkRuQsa6comdRM,https://www.google.com/maps/place/?q=place_id:ChIJuWCojOWHXDkRuQsa6comdRM,part_104,2026-09-20 16:49:15
Padmanabh Surgical Hospital,Doctors,Hospital,Hospital,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",N/A,N/A,5.0,10,"V44F+3MG, Shastrinagar, Patan, Gujarat 384265",Shastrinagar,23.8551881,72.12420949999999,ChIJqZHv-4KHXDkRpeTsgBeSHn4,https://www.google.com/maps/place/?q=place_id:ChIJqZHv-4KHXDkRpeTsgBeSHn4,part_104,2026-09-20 16:49:15
Shree Savaram Hospital & ICU,Doctors,Hospital department,Hospital department,384110,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Balisana SO, Der BO, Kani BO",+91 82000 65563,N/A,5.0,2,"near Palika bajar, chamunda society, Patan, Gujarat 384265",chamunda society,23.8549758,72.12992559999999,ChIJLXpyTbqHXDkR-E8Jm3vk1oY,https://www.google.com/maps/place/?q=place_id:ChIJLXpyTbqHXDkR-E8Jm3vk1oY,part_104,2026-09-20 16:49:15
