business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dipti Pipermint Store,Departmental Store,Grocery store,Grocery store,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",N/A,N/A,,,"Krishna Cinema, Moti-Bhatiyavad, Patan, Gungdipati Part, Gujarat 384265",Moti-Bhatiyavad,23.850223,72.1201969,ChIJw8v6JwCHXDkRZzLssdW0oNQ,https://www.google.com/maps/place/?q=place_id:ChIJw8v6JwCHXDkRZzLssdW0oNQ,part_104,2026-09-20 16:58:52
Modi Jethalal Kalidas Kirana Store,Departmental Store,General store,"General store, Indian grocery store",384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",+91 88496 37690,N/A,5.0,,"9/8/103, Hingadachachar, juna Ganj, Patan, Gujarat 384265","Hingadachachar, juna Ganj",23.8499841,72.121314,ChIJiRTyjBFDXDkR0LQSOozgo1A,https://www.google.com/maps/place/?q=place_id:ChIJiRTyjBFDXDkR0LQSOozgo1A,part_104,2026-09-20 16:58:52
Aai sree khodiyar provision stores,Departmental Store,Grocery store,Grocery store,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",N/A,N/A,,,"chachariya ni moti pole, Bhadra, Patan, Gungdipati Part, Gujarat 384265",Bhadra,23.8467701,72.11367709999999,ChIJv1d_PACHXDkRaWyTIsICFP4,https://www.google.com/maps/place/?q=place_id:ChIJv1d_PACHXDkRaWyTIsICFP4,part_104,2026-09-20 16:58:52
Shree bharmari palar and povigan shop,Departmental Store,Grocery store,"Grocery store, Food broker, Shop supermarket furniture store",384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",N/A,N/A,,,"Pancholi Pado, Patan, Gujarat 384265",Pancholi Pado,23.847411599999997,72.12073939999999,ChIJFTJlpB2HXDkR0n61OHoON8I,https://www.google.com/maps/place/?q=place_id:ChIJFTJlpB2HXDkR0n61OHoON8I,part_104,2026-09-20 16:58:52
GAYATRI ENTERPRISE,Departmental Store,Hypermarket,Hypermarket,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",+91 63540 94700,N/A,4.1,349.0,"Dave Complex, Near, Rajmahal Road, near Central Bank, near Santokbaa Hall, chamunda society, Patan, Gujarat 384265",chamunda society,23.8535798,72.1304624,ChIJ6dJseOWHXDkREYDLmopiEhc,https://www.google.com/maps/place/?q=place_id:ChIJ6dJseOWHXDkREYDLmopiEhc,part_104,2026-09-20 16:58:52
BHAIRAV MART,Departmental Store,Supermarket,Supermarket,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",+91 97126 92382,N/A,4.8,20.0,"50, SIDDHNANT NAGAR SOCIETY BHAIRAV ROAD, nr. PAREVA CIRCLE, Patan, Gujarat 384265",Siddhanath Nagar Society,23.8586284,72.1198546,ChIJf7SqqoN0XDkRAAAAsBx1Sic,https://www.google.com/maps/place/?q=place_id:ChIJf7SqqoN0XDkRAAAAsBx1Sic,part_104,2026-09-20 16:58:52
Icchanath super store,Departmental Store,Grocery store,Grocery store,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",+91 91730 22306,N/A,3.7,21.0,"Patan, Gudadi, Srinagar Society, Patan, Gujarat 384265","Gudadi, Srinagar Society",23.8478234,72.1277416,ChIJk1ebWPCHXDkRyVqa62Bd9WM,https://www.google.com/maps/place/?q=place_id:ChIJk1ebWPCHXDkRyVqa62Bd9WM,part_104,2026-09-20 16:58:52
Jalaram colddrinks & parlour,Departmental Store,Indian grocery store,Indian grocery store,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",+91 97252 60975,N/A,5.0,9.0,"Shop no 6, gg park, Gayatri, Jalaram Temple Rd, near mayanagar society, Pragati Nagar Society, Patan, Gujarat 384265",Pragati Nagar Society,23.8452222,72.1310252,ChIJQUn37G-HXDkRjVa84ZdVRXk,https://www.google.com/maps/place/?q=place_id:ChIJQUn37G-HXDkRjVa84ZdVRXk,part_104,2026-09-20 16:58:52
Heritage mall,Departmental Store,Supermarket,Supermarket,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",N/A,N/A,5.0,2.0,"V449+2FV, Egara, Patan, Gungdipati Part, Gujarat 384265",Egara,23.855114999999998,72.1186627,ChIJFbO9PnuHXDkRGswVIUodliY,https://www.google.com/maps/place/?q=place_id:ChIJFbO9PnuHXDkRGswVIUodliY,part_104,2026-09-20 16:58:52
GAJAB WAFERS AND PARLOUR,Departmental Store,Grocery store,Grocery store,384255,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Kungher SO, Adiya BO, Chandrumana BO",N/A,N/A,5.0,3.0,"V429+7G6, Egara, Patan, Gungdipati Part, Gujarat 384265",Egara,23.850670299999997,72.11875189999999,ChIJn5x3gy-HXDkRKpGDfsi7sBI,https://www.google.com/maps/place/?q=place_id:ChIJn5x3gy-HXDkRKpGDfsi7sBI,part_104,2026-09-20 16:58:52
