business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
BITTU PG & HOSTEL,Hostels,Student dormitory,Student dormitory,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 70462 18764,https://qr1.be/7XD3,4.9,27.0,"MAHALAXMI COM, nr. UMIYA AUTO GEREJ, opp. INDOSPINE HOSPITAL, CHOKDI, Manglaytan Society, Mehsana, Gujarat 384002","CHOKDI, Manglaytan Society",23.6067668,72.383166,ChIJ4QnvL0pDXDkR82DWxT1EfYE,https://www.google.com/maps/place/?q=place_id:ChIJ4QnvL0pDXDkR82DWxT1EfYE,part_105,2026-09-20 16:40:33,3521
Government Boys Hostel,Hostels,Student housing center,Student housing center,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2766 281 266,N/A,3.8,34.0,"H9F7+2R7, RTO, Palavasna, Mehsana, Palwasana (part), Gujarat 384003","RTO, Palavasna",23.572535,72.3645552,ChIJNay9IpdBXDkR9Na4yOx_10o,https://www.google.com/maps/place/?q=place_id:ChIJNay9IpdBXDkR9Na4yOx_10o,part_105,2026-09-20 16:40:33,3522
S. K. Patel Hostel,Hostels,Student dormitory,Student dormitory,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.0,20.0,"MGJX+57C, SPCE Campus, Visnagar, Gujarat 384315",SPCE Campus,23.6804041,72.5478543,ChIJy7dUFBpPXDkRFkZxAr5hr5E,https://www.google.com/maps/place/?q=place_id:ChIJy7dUFBpPXDkRFkZxAr5hr5E,part_105,2026-09-20 16:40:33,3523
Samarth Hostel,Hostels,Student dormitory,Student dormitory,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.7,95.0,"Abu highway, near Uday vidhyalaya, Palanpur, Gujarat 385001","Bihari Bag, Maheshwari Colony",24.1893335,72.4266111,ChIJ9cbzdHDpXDkRfJiPVtkKT9s,https://www.google.com/maps/place/?q=place_id:ChIJ9cbzdHDpXDkRfJiPVtkKT9s,part_105,2026-09-20 16:40:33,3524
Mayur Hostel,Hostels,Boys' hostel,Boys' hostel,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 81608 31164,N/A,4.2,56.0,"New gunj bajar, Banas Dairy Rd, Palanpur, Gujarat 385001",Modi Nagar,24.155271199999998,72.4386382,ChIJT_YZm03pXDkRny-L9BOno1w,https://www.google.com/maps/place/?q=place_id:ChIJT_YZm03pXDkRny-L9BOno1w,part_105,2026-09-20 16:40:33,3525
Vista Living - Hostel & PG,Hostels,Backpacker Hostel,"Backpacker Hostel, Boys' hostel, Girls' hostel, Guest house, Student dormitory, Working women's hostel, Youth Hostel",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 91732 31008,https://vistaliving.inddigmedia.in/Gandhinagar-Gujarat-Vista-Living-Hostel-PG-Behind-Sbi-Bank-Vavol.php,4.7,99.0,"B/h, sbi bank, Vista living one, North, opp. sahjanand sky, Vavol, Gandhinagar, Gujarat 382016",Vavol,23.233667999999998,72.6207684,ChIJZ8z0dnQrXDkRRA9nfE24tQc,https://www.google.com/maps/place/?q=place_id:ChIJZ8z0dnQrXDkRRA9nfE24tQc,part_105,2026-09-20 16:40:34,3526
Para Hostel,Hostels,Student dormitory,Student dormitory,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,3.0,"JC22+3F9, Patel Nagar Society, Manohar Park Society, Mehsana, Gujarat 384001","Patel Nagar Society, Manohar Park Society",23.6001618,72.4012451,ChIJy1fjTwBDXDkRkwogB6j16kA,https://www.google.com/maps/place/?q=place_id:ChIJy1fjTwBDXDkRkwogB6j16kA,part_105,2026-09-20 16:40:34,3527
Aradhana Hostel,Hostels,Educational institution,Educational institution,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 94264 14544,N/A,4.2,5.0,"1, Aradhana Hostel, Tirupati Vasant Vihar, Society, SPCE Campus, Bhalak, Visnagar, Gujarat 384315",SPCE Campus,23.686836099999997,72.5414436,ChIJP_X5QddPXDkRd3tSHCDuwSE,https://www.google.com/maps/place/?q=place_id:ChIJP_X5QddPXDkRd3tSHCDuwSE,part_105,2026-09-20 16:41:34,7679
Rabari hostel,Hostels,Student dormitory,Student dormitory,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,N/A,5.0,1.0,"PG2W+VJ3, Vijay Para, Visnagar, Gujarat 384315",Vijay Para,23.7021326,72.5465583,ChIJz6dBPQBPXDkR7QW9wvOfRac,https://www.google.com/maps/place/?q=place_id:ChIJz6dBPQBPXDkR7QW9wvOfRac,part_105,2026-09-20 16:41:34,7680
Shreedev Hostel,Hostels,Boys' hostel,Boys' hostel,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 90996 33643,N/A,4.3,12.0,"shreedev hostel, Bhagwatinagar, Patan, Gujarat 384265",Bhagwatinagar,23.853007299999998,72.12273019999999,ChIJ_VWnNOyHXDkRV-K7WK3b-GM,https://www.google.com/maps/place/?q=place_id:ChIJ_VWnNOyHXDkRV-K7WK3b-GM,part_105,2026-09-20 16:41:35,7681
