business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
The Wardrobe - Aesthetic Clothing Store,Luxury Clothing Shops,Men's clothing store,Men's clothing store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,,"Gunjan Complex, 1, Visnagar Rd, Nirnay Nagar Society, Mehsana, Gujarat 384001",Nirnay Nagar Society,23.6133614,72.4046781,ChIJSw68y7hDXDkRt2J8BYXHaVg,https://www.google.com/maps/place/?q=place_id:ChIJSw68y7hDXDkRt2J8BYXHaVg,part_105,2026-09-20 16:40:10,1221
LOVE KUSH FASHION,Luxury Clothing Shops,Men's clothing store,Men's clothing store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97237 07040,http://lovekushfashion.in/,5.0,,"A2, JOYOS HUBTOWN, G-143,BLOCK A1, St Workshop Rd, Mehsana, Gujarat 384002",Sukheshwar Society,23.5942223,72.3830108,ChIJvXqsjNVDXDkRAAAAMBBSqSY,https://www.google.com/maps/place/?q=place_id:ChIJvXqsjNVDXDkRAAAAMBBSqSY,part_105,2026-09-20 16:40:10,1222
Skull House Factory Outlet,Luxury Clothing Shops,Men's clothing store,Men's clothing store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,http://www.facebook.com/skullhouse31,5.0,,"F-18-19,Safal mall,opp new bus stand Near, Modhera Rd, ×, Mehsana, Gujarat 384002",×,23.593607,72.378185,ChIJtxLv3HpDXDkRoQvh5QJ16UM,https://www.google.com/maps/place/?q=place_id:ChIJtxLv3HpDXDkRoQvh5QJ16UM,part_105,2026-09-20 16:40:10,1223
Gateway,Luxury Clothing Shops,Clothing store,"Clothing store, Baby clothing store, Formal Clothing Store, Men's clothing store, Women's clothing store",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99250 26961,N/A,4.4,253.0,"GATE TOWER, BHAGYODAY COMPLEX, 3, near HDFC BANK, Visnagar, Gujarat 384315",Bharat Nagar,23.6987275,72.5478284,ChIJ9__PJ9xPXDkRdRT1RAx1bBY,https://www.google.com/maps/place/?q=place_id:ChIJ9__PJ9xPXDkRdRT1RAx1bBY,part_105,2026-09-20 16:40:11,1224
Dulha Dulhan Showroom,Luxury Clothing Shops,Clothing store,Clothing store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 82007 85065,https://chat.whatsapp.com/Htt4oLjxKjv41PA4QITAb4,5.0,,"Railway Station Rd, opp. v.k.bhoola school, VTC Patan, Patan, Gujarat 384265",VTC Patan,23.8528475,72.1299465,ChIJ1TrTeW6HXDkRfUtCd0P0O-8,https://www.google.com/maps/place/?q=place_id:ChIJ1TrTeW6HXDkRfUtCd0P0O-8,part_105,2026-09-20 16:40:12,1225
SOVEREIGN The men's style destination,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,N/A,4.2,11.0,"Nr.Classic Capital Prashant Cinema Road, Gujarat 384002",Sukheshwar Society,23.5939953,72.3836821,ChIJyT0qnFtDXDkRA7f56K8QE84,https://www.google.com/maps/place/?q=place_id:ChIJyT0qnFtDXDkRA7f56K8QE84,part_105,2026-09-20 16:41:10,6495
R.K Emporium,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 70160 92515,N/A,5.0,1.0,"1, Gyanda Girls High School Rd, opp. Municipal Office, Pilaji Ganj, Mehsana, Gujarat 384001",Pilaji Ganj,23.6028421,72.39178869999999,ChIJQw-yzgxDXDkRrwFq-R3gr5o,https://www.google.com/maps/place/?q=place_id:ChIJQw-yzgxDXDkRrwFq-R3gr5o,part_105,2026-09-20 16:41:10,6496
Indian Tery,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Fabric store, Men's clothing store",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 99090 07781,https://indiantery.blogspot.com/,4.6,13.0,"Aaradhya Mall, A-5, nr. Virnagar Society, opp. Joyos Hub Town B - Wing, Shraddhadip Society, Mehsana, Gujarat 384002",Shraddhadip Society,23.594590999999998,72.38176659999999,ChIJYTMjHjNDXDkR9s6hsGR-Krs,https://www.google.com/maps/place/?q=place_id:ChIJYTMjHjNDXDkR9s6hsGR-Krs,part_105,2026-09-20 16:41:10,6497
Ramadhani Fashion,Luxury Clothing Shops,Clothing store,Clothing store,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 85117 49859,N/A,4.5,17.0,"Irana Patiya Par Kadi Mane Roadb Bharat Petroleum Same Kadi, Road, Chhatral, Gujarat 382715",384345,23.284001399999998,72.3795773,ChIJw5ZCPgAjXDkR8MAs3dqOzhg,https://www.google.com/maps/place/?q=place_id:ChIJw5ZCPgAjXDkR8MAs3dqOzhg,part_105,2026-09-20 16:41:13,6498
Golden Ladies Collection & Designer,Luxury Clothing Shops,Women's clothing store,Women's clothing store,384355,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Vadnagar SO, Badarpur BO, Bamanva BO",N/A,N/A,5.0,2.0,"VJM9+WQM, Kheralu, Gujarat 384325",384355,23.884935499999997,72.61949179999999,ChIJ0-oeEQBVXDkRXyrmxaqoznQ,https://www.google.com/maps/place/?q=place_id:ChIJ0-oeEQBVXDkRXyrmxaqoznQ,part_105,2026-09-20 16:42:13,9605
