business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NAVDURGA BHAJIPAV,Pure Veg Restaurant,Restaurant,Restaurant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98795 42021,N/A,4.2,,"J975+68W, Radhanpur Rd, Kunal, Mehsana, Gujarat 384002",Kunal,23.6131214,72.35832479999999,ChIJWX5DhqdDXDkRDRh17fr03a0,https://www.google.com/maps/place/?q=place_id:ChIJWX5DhqdDXDkRDRh17fr03a0,part_105,2026-09-20 16:40:01,679
CHHAYDO RESTAURANT,Pure Veg Restaurant,Restaurant,Restaurant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99094 36331,N/A,4.7,,"ambaji Highway, opp. Nayara petrol pump, kheralu, Satlasana, Gujarat 384330",384340,24.025619799999998,72.7897279,ChIJUzk5fLofXTkRR-ubgxTutHU,https://www.google.com/maps/place/?q=place_id:ChIJUzk5fLofXTkRR-ubgxTutHU,part_105,2026-09-20 16:40:01,680
Darshan Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, North Indian restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99748 70110,N/A,4.1,,"RAMOSANA CROSSING,MEHSANA UNJAH, HIGHWAY, Mehsana, Gujarat 384002",Radhakrishna Township,23.6199662,72.38704059999999,ChIJe3-E4rZDXDkRenMteN4b9vM,https://www.google.com/maps/place/?q=place_id:ChIJe3-E4rZDXDkRenMteN4b9vM,part_105,2026-09-20 16:40:01,681
Keshav Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, South Indian restaurant, Punjabi restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94278 91084,N/A,4.0,,"Mehsana Byp, Near Iscon Circle, Mehsana, Gujarat 384005",384340,23.595471999999997,72.3288086,ChIJVf8fpv1pXDkR8jzHgAil3XY,https://www.google.com/maps/place/?q=place_id:ChIJVf8fpv1pXDkR8jzHgAil3XY,part_105,2026-09-20 16:40:01,682
navjivan dhaba veg non veg ‌નવજીવન વેજ&નોનવેજ ઢાબા કરનાલા,Pure Veg Restaurant,Dhaba,Dhaba,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99047 85727,N/A,4.8,,"lalbanglo, Karnala, vadgam, Gujarat 385421",lalbanglo,24.126183899999997,72.60391969999999,ChIJz1o6CRnlXDkRXOu9xYIPSHs,https://www.google.com/maps/place/?q=place_id:ChIJz1o6CRnlXDkRXOu9xYIPSHs,part_105,2026-09-20 16:40:01,683
Dhanpal Garden Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99785 11472,N/A,4.4,,"Dhanpal Restaurant, 10, near Dabhala, X, Mehsana, Gujarat 384565",X,23.553466,72.55745759999999,ChIJQ3kvZABJXDkR-9-t9FvcRTg,https://www.google.com/maps/place/?q=place_id:ChIJQ3kvZABJXDkR-9-t9FvcRTg,part_105,2026-09-20 16:40:01,684
"Maganlal Bhakhri Shak Wala, Gayatri Restaurant",Pure Veg Restaurant,Gujarati restaurant,"Gujarati restaurant, Indian restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99242 70900,N/A,4.2,,"sarvoday complex, 1/2, Ahmedabad - Palanpur Hwy, Manglaytan Society, Mehsana, Gujarat 384002",Manglaytan Society,23.5994936,72.3805142,ChIJ1cCrdc1DXDkRREsTZ99svRI,https://www.google.com/maps/place/?q=place_id:ChIJ1cCrdc1DXDkRREsTZ99svRI,part_105,2026-09-20 16:40:01,685
Navjivan Resturant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Punjabi restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94088 97530,N/A,4.3,,"1st, Amar complex, Gujarat State Highway 41, circle, Ramosna, Mehsana, Gujarat 384002",Ramosna,23.6169905,72.3846701,ChIJQfS5BrZDXDkRIl_fY4oHzs8,https://www.google.com/maps/place/?q=place_id:ChIJQfS5BrZDXDkRIl_fY4oHzs8,part_105,2026-09-20 16:40:01,686
Celebrations Chowk,Pure Veg Restaurant,Family restaurant,"Family restaurant, Banquet hall, Fast food restaurant, Food court, Guest house, Hotel, Restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98797 87788,N/A,4.7,,"Near Nirma Plant Mandali, Ahmedabad - Patan Highway Rd, Mehsana, Baliyasan, Gujarat 384455",384340,23.4459941,72.39384989999999,ChIJj-dxBJw_XDkR-nTl40xssW4,https://www.google.com/maps/place/?q=place_id:ChIJj-dxBJw_XDkR-nTl40xssW4,part_105,2026-09-20 16:40:01,687
Sankalp Restaurant & Sam's Pizza Quick Pick,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Family restaurant, Fast food restaurant, Indian restaurant, Pizza restaurant, South Indian restaurant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 90990 33055,http://www.sankalponline.com/,4.3,,"Opp. Nagalpur Bus Stand, Ahmedabad - Palanpur Hwy, near Tulsi Restaurant, Mehsana, Gujarat 384002",Suramya Park Society,23.584862899999997,72.37416069999999,ChIJkQfgvYNBXDkRW-jmFghuxY0,https://www.google.com/maps/place/?q=place_id:ChIJkQfgvYNBXDkRW-jmFghuxY0,part_105,2026-09-20 16:40:01,688
