business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gujarat Welding Works,Welding and Lathe Works,Welder,"Welder, Mechanic",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98989 22984,N/A,4.5,,"Shamlaji Rd, opp. national hotel, Ganeshpur, Modasa, Gujarat 383315",384340,23.4638346,73.2962077,ChIJC9WiRc_xXTkRxajEQN0FZFY,https://www.google.com/maps/place/?q=place_id:ChIJC9WiRc_xXTkRxajEQN0FZFY,part_105,2026-09-20 16:40:48,4924
Weld Tech Industries,Welding and Lathe Works,Manufacturer,Manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99250 98398,https://weldtechindustries.com/,4.7,,"Plot No. 92, GIDC Rd, Gozaria, Gujarat 384470",384340,23.4967024,72.5777231,ChIJh3z3PwM3XDkRATqKuimbTJM,https://www.google.com/maps/place/?q=place_id:ChIJh3z3PwM3XDkRATqKuimbTJM,part_105,2026-09-20 16:40:48,4925
Tecno Weldmesh,Welding and Lathe Works,Manufacturer,"Manufacturer, Metal supplier",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99789 39539,https://www.tecnoweldmesh.com/,3.7,,"356, GIDC, Phase-II, Dediysan, Modhera Road, Mahesana, Dediyasan, Mehsana,, Gujar, Mehsana, Gujarat 384002","Dediyasan GIDC, Dediyasan",23.585915999999997,72.351413,ChIJi2ygUPRBXDkRW2et0ZRwOHU,https://www.google.com/maps/place/?q=place_id:ChIJi2ygUPRBXDkRW2et0ZRwOHU,part_105,2026-09-20 16:40:48,4926
HONEST WELDING & AGRICULTURE TOOLS,Welding and Lathe Works,Manufacturer,Manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.5,,"6RCM+W4G, Malvan, Gujarat 389265",384340,23.222311899999998,73.8328221,ChIJ24oHbQC1YDkRQB_912HQ1gY,https://www.google.com/maps/place/?q=place_id:ChIJ24oHbQC1YDkRQB_912HQ1gY,part_105,2026-09-20 16:40:48,4927
Patel welding & Lathe workshop,Welding and Lathe Works,Manufacturer,Manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,,"J3HV+59P, GJ SH 181, Khergam, Gujarat 396040",384340,20.628001299999998,73.0936643,ChIJYzrFUT-V4DsR1zHJYm0Tsss,https://www.google.com/maps/place/?q=place_id:ChIJYzrFUT-V4DsR1zHJYm0Tsss,part_105,2026-09-20 16:40:48,4928
મહાદેવ એન્જીનીયરીંગ,Welding and Lathe Works,Welding supply store,Welding supply store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,,"5JVJ+RQX, GJ SH 21, Gujarat 364710",384340,22.1946075,71.6319804,ChIJ6_cDRkfdWDkRY_he6fINSVM,https://www.google.com/maps/place/?q=place_id:ChIJ6_cDRkfdWDkRY_he6fINSVM,part_105,2026-09-20 16:40:48,4929
H.J. ENGINEERING,Welding and Lathe Works,Laser Cutting Service Provider,"Laser Cutting Service Provider, Agricultural production, Electrical engineer, Fabrication Engineer, Metal fabricator, Metal industry suppliers, Metal workshop, Sheet metal contractor, Steel distributor, Steel fabricator",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 89800 34836,N/A,4.8,,"PLOT NO G-1920/A, GIDC, opp. MADHAV WAY BRIDGE, near ANGEL PUMP, Metoda, Vajdi, Gujarat 360021",Metoda,22.234070799999998,70.6795254,ChIJa2sTh2zNWTkRetCHd365Pqo,https://www.google.com/maps/place/?q=place_id:ChIJa2sTh2zNWTkRetCHd365Pqo,part_105,2026-09-20 16:40:48,4930
Lakshmi Welding Works,Welding and Lathe Works,Hardware store,Hardware store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 83209 74023,N/A,4.3,,"Mahwad Chokadi, Gujarat 391440",384340,22.234033099999998,73.0118339,ChIJ7d3lFaS5XzkRiLtUKn5jW0A,https://www.google.com/maps/place/?q=place_id:ChIJ7d3lFaS5XzkRiLtUKn5jW0A,part_105,2026-09-20 16:40:48,4931
A Bhartiy Welding & Fabrication,Welding and Lathe Works,Welder,Welder,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 76983 11616,N/A,5.0,,"rajpur, Deesa, Gujarat 385535",rajpur,24.2464153,72.1744167,ChIJ8eIELsy9XDkRWNmjwpESdsg,https://www.google.com/maps/place/?q=place_id:ChIJ8eIELsy9XDkRWNmjwpESdsg,part_105,2026-09-20 16:40:48,4932
Vishwakarma engineering works,Welding and Lathe Works,Welding supply store,Welding supply store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98248 43520,N/A,5.0,,"Rajmoti, Kodinar, Gujarat 362720",Rajmoti,20.7910064,70.7034615,ChIJzRg6o4fZ4jsR-gwhbkWpX08,https://www.google.com/maps/place/?q=place_id:ChIJzRg6o4fZ4jsR-gwhbkWpX08,part_105,2026-09-20 16:40:48,4933
MAHALAXMI ENGINEERING,Welding and Lathe Works,Laser Cutting Service Provider,"Laser Cutting Service Provider, Machine workshop, Metal fabricator, Metal processing company, Metal workshop, Steel fabricator, Steelwork design service",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94274 08401,https://mahalaxmi-engineering.netlify.app/,5.0,,"267/1, Gujarat Industrial Development Corporation, Chitra, Bhavnagar, Gujarat 364004","Gujarat Industrial Development Corporation, Chitra",21.7641135,72.1004183,ChIJyeHh6JlRXzkRHdb4L2ZGxH0,https://www.google.com/maps/place/?q=place_id:ChIJyeHh6JlRXzkRHdb4L2ZGxH0,part_105,2026-09-20 16:40:48,4934
Sarvoday Weldmesh,Welding and Lathe Works,Manufacturer,Manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 96381 30002,N/A,4.4,,"291, G.I.D.C-2 Deediyasan, Modhera Rd, Mehsana, Gujarat 384002","Dediyasan GIDC, Dediyasan",23.5857644,72.3552881,ChIJEY1N88FBXDkRJOkE5zf_300,https://www.google.com/maps/place/?q=place_id:ChIJEY1N88FBXDkRJOkE5zf_300,part_105,2026-09-20 16:40:48,4935
Udaipur Welding works,Welding and Lathe Works,Welding supply store,Welding supply store,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 89468 69368,http://wwwudaipurweldingworks.com/,4.9,,"Ec69, Sajjangarh Rd, A-Block, Malla Talai, Udaipur, Rajasthan 313004","A-Block, Malla Talai",24.584803599999997,73.66199139999999,ChIJTSou8ODlZzkRILRpvkj9xdg,https://www.google.com/maps/place/?q=place_id:ChIJTSou8ODlZzkRILRpvkj9xdg,part_105,2026-09-20 16:40:48,4936
Weldor CNC Machines Limited,Welding and Lathe Works,Machining manufacturer,"Machining manufacturer, Industrial equipment supplier, Machine construction",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 83061 84061,http://weldorcncmachines.com/,4.0,,"Survey No. 240, Rajkot - Gondal, National Highway, Shapar, Gujarat 360024",384340,22.1670975,70.7986489,ChIJzVLNlXc1WDkRzgn3tmpiynU,https://www.google.com/maps/place/?q=place_id:ChIJzVLNlXc1WDkRzgn3tmpiynU,part_105,2026-09-20 16:40:48,4937
Global CNC Private Limited,Welding and Lathe Works,Machining manufacturer,Machining manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 90167 24955,N/A,4.8,,"Survey No.1148, Village: Chibhda, Ta.Lodhika, Dist :, Gujarat 360035",384340,22.1816063,70.6758206,ChIJo8y-H_bMWTkRfTtNd7D1Eh4,https://www.google.com/maps/place/?q=place_id:ChIJo8y-H_bMWTkRfTtNd7D1Eh4,part_105,2026-09-20 16:40:48,4938
CNC turning job works,Welding and Lathe Works,Machinery parts manufacturer,Machinery parts manufacturer,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 72848 39878,N/A,5.0,,"162, Shreeharidarshan estate, Phase IV, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9702828,72.6476393,ChIJJ_wSedOJXjkR9tOKCcEEffc,https://www.google.com/maps/place/?q=place_id:ChIJJ_wSedOJXjkR9tOKCcEEffc,part_105,2026-09-20 16:40:48,4939
Super welding warks,Welding and Lathe Works,Tool repair shop,"Tool repair shop, Manufacturer",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97374 14460,N/A,,,"Sop no 8, hindwa gest Haus, Ranpur Rd, Dhandhuka, Gujarat 382460",384340,22.3800048,71.97254149999999,ChIJo5LBS3XVXjkRaQ7LfRh15pc,https://www.google.com/maps/place/?q=place_id:ChIJo5LBS3XVXjkRaQ7LfRh15pc,part_105,2026-09-20 16:40:48,4940
Shreeji welding works,Welding and Lathe Works,Machine workshop,"Machine workshop, Blacksmith",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94287 08082,N/A,5.0,1.0,"Main bazar, Tori, Gujarat 365480",384340,21.618761499999998,70.8806314,ChIJcUntYLZzWDkR6M6DQ5a41AQ,https://www.google.com/maps/place/?q=place_id:ChIJcUntYLZzWDkR6M6DQ5a41AQ,part_105,2026-09-20 16:40:49,4941
Star welding works JCB,Welding and Lathe Works,Machine workshop,Machine workshop,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,,,"Star welding works, bypass road, Zahirabad, Himatnagar, Savgadh, Gujarat 383001",Zahirabad,23.605045999999998,72.94483319999999,ChIJZ9C-4cO5XTkRx37yWIf8Eo0,https://www.google.com/maps/place/?q=place_id:ChIJZ9C-4cO5XTkRx37yWIf8Eo0,part_105,2026-09-20 16:40:49,4942
Bharat Fabrication & Electric Welding & Gas Welding,Welding and Lathe Works,Metal workshop,"Metal workshop, Metal fabricator",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99980 57914,N/A,5.0,4.0,"Upleta Rd, opposite national oil mill, Nariya colony, pase, Dhoraji, Gujarat 360410","Nariya colony, pase",21.7343187,70.43442089999999,ChIJDcRVxaMfWDkRyrz5LvsxlP4,https://www.google.com/maps/place/?q=place_id:ChIJDcRVxaMfWDkRyrz5LvsxlP4,part_105,2026-09-20 16:40:49,4943
