business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CA ZUBER MEMAN - MEMAN & COMPANY,Business and Audit Services,Chartered accountant,Chartered accountant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99047 20030,N/A,5.0,,"F/10, Dhanlaxmi Market, Visnagar Rd, opposite Decent Restaurant, Mehsana, Gujarat 384001",Ramdavnagar,23.6134229,72.4039275,ChIJkcTG_elDXDkRVK3pWkB0RCA,https://www.google.com/maps/place/?q=place_id:ChIJkcTG_elDXDkRVK3pWkB0RCA,part_105,2026-09-20 16:40:46
PATEL OZA & ASSOCIATES,Business and Audit Services,Certified public accountant,Certified public accountant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,,"FF/107, Radhanpur Rd, Bansari Twp, Mehsana, Gujarat 384002",Bansari Township,23.614397699999998,72.35626719999999,ChIJG5QE5PNDXDkRmYDVsU0j4NM,https://www.google.com/maps/place/?q=place_id:ChIJG5QE5PNDXDkRmYDVsU0j4NM,part_105,2026-09-20 16:40:46
A&A Associates,Business and Audit Services,Tax consultant,Tax consultant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99746 40201,N/A,5.0,,"Nr apollo enclave, 08, Modhera Rd, Chokdi, Mahesana GIDC, Mehsana, Gujarat 384002","Chokdi, Mahesana GIDC",23.5924779,72.37807289999999,ChIJj-zsdVNBXDkRBZXZOz77TMk,https://www.google.com/maps/place/?q=place_id:ChIJj-zsdVNBXDkRBZXZOz77TMk,part_105,2026-09-20 16:40:46
One Click Tax Filing LLP,Business and Audit Services,Accounting firm,"Accounting firm, Tax assessor",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 93770 30330,N/A,5.0,,"S/7 SAFAL COMPLEX OPP New Bus Terminal & Jain Derasar NEAR - Modhera Circle, 2, Mehsana, Gujarat 384002",Mahesana GIDC,23.5933583,72.37836039999999,ChIJg021GnxDXDkR5mF1OfRaYKQ,https://www.google.com/maps/place/?q=place_id:ChIJg021GnxDXDkR5mF1OfRaYKQ,part_105,2026-09-20 16:40:46
Mr. Accountant,Business and Audit Services,Accounting firm,Accounting firm,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,,"S-7, Astha complex, Malgodown, Mehsana, Gujarat 384002","Malgodown, Shraddhadip Society",23.596804499999998,72.3871212,ChIJh3khnZFDXDkR_Mffn3CztVc,https://www.google.com/maps/place/?q=place_id:ChIJh3khnZFDXDkR_Mffn3CztVc,part_105,2026-09-20 16:40:46
Genius Accountancy,Business and Audit Services,Accountant,"Accountant, Corporate office",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 90335 81598,http://www.geniusaccountancy.in/,4.9,69.0,"25, S.R. Complex, Nr. IOC Petrol Pump, below Rajavi Hotel, Mansa, Gujarat 382845",Shalin Society,23.4247209,72.6495801,ChIJl0wP-c4zXDkRAfRLPBv6980,https://www.google.com/maps/place/?q=place_id:ChIJl0wP-c4zXDkRAfRLPBv6980,part_105,2026-09-20 16:40:47
Khandhar Mehta and Shah,Business and Audit Services,Certified public accountant,"Certified public accountant, Auditor, Bookkeeping service, Business management consultant, Consultant, Tax preparation, Tax preparation service",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 79 2646 1526,http://www.kmsindia.in/,4.9,87.0,"7th Floor, Devpath Complex, Chimanlal Girdharlal Rd, behind Lal Bunglow, Navrangpura, Ahmedabad, Gujarat 380006","New Commercial Mills Staff Society, Navrangpura",23.0304604,72.55721249999999,ChIJg1ZyQfCEXjkRXXnXiV-fBlU,https://www.google.com/maps/place/?q=place_id:ChIJg1ZyQfCEXjkRXXnXiV-fBlU,part_105,2026-09-20 16:40:47
Shah Teelani & Associates,Business and Audit Services,Certified public accountant,Certified public accountant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99782 92929,http://www.shahteelani.com/,4.8,104.0,"302-303, SHUBH HOUSE, BH. JAIN DIARY, Chimanlal Girdharlal Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009","Swastik Society, Navrangpura",23.0383443,72.5600745,ChIJhRBOwMyFXjkR4W2rzd_Abd4,https://www.google.com/maps/place/?q=place_id:ChIJhRBOwMyFXjkR4W2rzd_Abd4,part_105,2026-09-20 16:40:47
Mp accounting and tax consultant,Business and Audit Services,Accounting firm,"Accounting firm, Accountant",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 70485 89492,https://masundha-private-limited.odoo.com/,5.0,2.0,"1st floor, Sai Darshit, shopping complex, deesa-patan highway, sarswati park, road, Deesa, Gujarat 385535","sarswati park, road",24.2450492,72.1854233,ChIJD38b84GWnk4Rsxe8DBnJ_EM,https://www.google.com/maps/place/?q=place_id:ChIJD38b84GWnk4Rsxe8DBnJ_EM,part_105,2026-09-20 16:40:47
Asiatic Energy,Business and Audit Services,Corporate office,Corporate office,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2762 252 010,http://asiaticenergy.com/,4.9,238.0,"THIRD FLOOR, SAKET BUSINESS HUB, T 79, Mehsana, Gujarat 384002",T 79,23.6030205,72.3666277,ChIJ_____y9CXDkRVNSURWvhDqI,https://www.google.com/maps/place/?q=place_id:ChIJ_____y9CXDkRVNSURWvhDqI,part_105,2026-09-20 16:40:47
Buildup Accounting,Business and Audit Services,Accounting firm,"Accounting firm, Service establishment",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 70168 43478,https://www.buildupaccounting.com/,5.0,2.0,"Buildup Accounting, 384340, India",384340,-9.8247514,126.280597,ChIJq4nfEzOdEmARSw6l_YVCixc,https://www.google.com/maps/place/?q=place_id:ChIJq4nfEzOdEmARSw6l_YVCixc,part_105,2026-09-20 16:40:47
