business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LawRato,Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm, Legal services, Real estate attorney",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 98103 26140,https://www.lawrato.com/,4.5,,"E-122, Police Station Colony, Amar Colony, Lajpat Nagar, New Delhi, Delhi 110016","Police Station Colony, Amar Colony, Lajpat Nagar",28.5475897,77.2076807,ChIJDcg2azfiDDkRJ20FMBvqbgg,https://www.google.com/maps/place/?q=place_id:ChIJDcg2azfiDDkRJ20FMBvqbgg,part_105,2026-09-20 16:41:43
Advocate Shivani Gupta,Advocate and Lawyer,Legal services,"Legal services, Service establishment",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 72759 84882,https://g.co/kgs/85YXrxh,5.0,,"Advocate Shivani Gupta, 384345, India",384345,25.744688,82.68052399999999,ChIJayK-0rfRbwgR8tnZHn36qdQ,https://www.google.com/maps/place/?q=place_id:ChIJayK-0rfRbwgR8tnZHn36qdQ,part_105,2026-09-20 16:41:43
ADVOCATE BOGGULA ARVIND,Advocate and Lawyer,Legal services,Legal services,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,https://law4u.in/advocate-boggula-arvind,4.9,,"6-292/F, Road No. 5, Venkateswara Nagar, Chinthal, Quthbullapur, Hyderabad, Telangana 500054","Venkateswara Nagar, Chinthal, Quthbullapur",17.4995428,78.4585218,ChIJ0_vnUrVqb0MRmI6XtLc2yo0,https://www.google.com/maps/place/?q=place_id:ChIJ0_vnUrVqb0MRmI6XtLc2yo0,part_105,2026-09-20 16:41:43
"Amicus Law firm - Family, Property, Insurance, Civil and Criminal matters lawyer",Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Criminal justice attorney, Service establishment, Law firm, Legal services",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,N/A,5.0,,"Amicus Law firm - Family, Property, Insurance, Civil and Criminal matters lawyer, 384345, India",384345,21.2288386,79.1631841,ChIJl8Ugk0DB1DsRr5NnXYoDbN8,https://www.google.com/maps/place/?q=place_id:ChIJl8Ugk0DB1DsRr5NnXYoDbN8,part_105,2026-09-20 16:41:43
Delhi Legal Experts advocate,Advocate and Lawyer,Lawyer,"Lawyer, Service establishment",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,https://www.delhilegalexperts.com/,5.0,,"Delhi Legal Experts advocate, 384345, India",384345,28.609473599999998,77.23513849999999,ChIJ87Q-ZPrOiI4RdYsr2KrvKEc,https://www.google.com/maps/place/?q=place_id:ChIJ87Q-ZPrOiI4RdYsr2KrvKEc,part_105,2026-09-20 16:41:43
Advocate Notary,Advocate and Lawyer,Notary public,Notary public,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,N/A,,,"H 204, SHUKAN SKY, Randesan, Gandhinagar, Gujarat 382421",Randesan,23.1729156,72.6389547,ChIJzxtdqCIrXDkRMGgcXO5cQqI,https://www.google.com/maps/place/?q=place_id:ChIJzxtdqCIrXDkRMGgcXO5cQqI,part_105,2026-09-20 16:41:44
Govind Dafada Law Office,Advocate and Lawyer,Legal services,"Legal services, Lawyer",384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 97260 98675,http://www.nyaypujak.com/,3.8,,"138-150, Municipal Complex, opp. Bus Station, Anjar, Gujarat 370110",Jai Hind Society,23.108852499999998,70.03343389999999,ChIJEz49fzbHUDkRxLV-q8Fr4yY,https://www.google.com/maps/place/?q=place_id:ChIJEz49fzbHUDkRxLV-q8Fr4yY,part_105,2026-09-20 16:41:44
Yograj Padiyar Advocate,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 99507 62873,N/A,5.0,2.0,"Indian petrol pump, Ramsingh Pura, Nayawas (Ramsinghpura), Rajasthan 303007",384345,26.8594518,75.549724,ChIJ40chWkNJbDkRV0MX6RMRCtI,https://www.google.com/maps/place/?q=place_id:ChIJ40chWkNJbDkRV0MX6RMRCtI,part_105,2026-09-20 16:41:44
NyayPujak,Advocate and Lawyer,Lawyers association,Lawyers association,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,+91 97260 98675,http://www.nyaypujak.com/,1.0,,"138, Municipal Complex, opp. Mamlatdar Office, Jai Hind Society, Anjar, Gujarat 370110",Jai Hind Society,23.108737599999998,70.0328687,ChIJsymmgKXHUDkRpo_uQdCRVSA,https://www.google.com/maps/place/?q=place_id:ChIJsymmgKXHUDkRpo_uQdCRVSA,part_105,2026-09-20 16:41:44
"LABOUR COURT,MEHSANA",Advocate and Lawyer,Labor court,Labor court,384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO,N/A,N/A,4.3,,"HCM7+VVX, Mehsana, Gujarat 384001",384345,23.5847433,72.414734,ChIJyTvZ709BXDkRYC6i8pKLAwo,https://www.google.com/maps/place/?q=place_id:ChIJyTvZ709BXDkRYC6i8pKLAwo,part_105,2026-09-20 16:41:44
