business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Edifice Consultants Pvt. Ltd,Architects,Architect,"Architect, Architecture firm, Interior designer",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 22 6155 1111,http://www.edifice.co.in/,4.6,220,"First Floor, Ujagar Infotech Park, Bus Depot, Plot #2A, opposite Deonar, MBPT Colony, Sunder Baug, Govandi East, Mumbai, Maharashtra 400088","MBPT Colony, Sunder Baug, Govandi East",19.047003099999998,72.9106048,ChIJuRykPg7G5zsRaIw5O5KinR0,https://www.google.com/maps/place/?q=place_id:ChIJuRykPg7G5zsRaIw5O5KinR0,part_105,2026-09-20 16:43:29
EssTeam Design Services LLP,Architects,Architect,Architect,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 99090 16610,http://www.essteam.in/,4.7,203,"4th, Samanvay, Gymkhana Rd, near Chandni Chowk, Piplod, Surat, Gujarat 395007",Piplod,21.165534599999997,72.7757388,ChIJWXwNCZRN4DsRPwzRPZ9Fkro,https://www.google.com/maps/place/?q=place_id:ChIJWXwNCZRN4DsRPwzRPZ9Fkro,part_105,2026-09-20 16:43:29
Muse Architects | Architecture & Interior Design Studio,Architects,Interior designer,"Interior designer, Architectural designer",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 95375 21393,N/A,4.9,13,"612- SNS Platina, near J H Ambani School, Vesu, Surat, Gujarat 395007","Someshwara Enclave, Vesu",21.149250499999997,72.776788,ChIJt8xGOcJN4DsRTUa3pQqYBjQ,https://www.google.com/maps/place/?q=place_id:ChIJt8xGOcJN4DsRTUa3pQqYBjQ,part_105,2026-09-20 16:43:29
Architects Evolution,Architects,Architecture firm,Architecture firm,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 83800 58495,http://architectsevolution.com/,4.5,30,"Income Tax Lane, 101, 1st floor, Panchsheel, 42/16, Prabhat Road Lane No 14 (Income Tax Lane), Erandwane, Pune - 411004 Prabhat Road, Lane No. 14, Erandwane, Pune, Maharashtra 411004",Erandwane,18.514208999999997,73.833342,ChIJ9U50vo2_wjsR_m-CvCTnrDI,https://www.google.com/maps/place/?q=place_id:ChIJ9U50vo2_wjsR_m-CvCTnrDI,part_105,2026-09-20 16:43:29
Finger6 Architects,Architects,Architect,"Architect, Interior designer",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 40 4856 5966,http://www.f6architects.com/,4.4,148,"#306, Road No. 2, Banjara Hills, Lumbini Mall, Hyderabad, Telangana 500034","Venkateshwara Nagar, Aurora Colony, Banjara Hills",17.425911799999998,78.4353989,ChIJkw-MMNOQyzsRam_uEjsIxus,https://www.google.com/maps/place/?q=place_id:ChIJkw-MMNOQyzsRam_uEjsIxus,part_105,2026-09-20 16:43:29
"- D'WELL Architects, Interior designers & Construction Managers",Architects,Interior designer,"Interior designer, Architectural designer",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 99792 24024,https://www.instagram.com/d_welldesign/,4.8,20,"beside Bharat Petrol pump, near De’Villa restaurant Pal, Bhatha, Surat, Gujarat 394510",Bhatha,21.1819561,72.7635951,ChIJ29fd2tVN4DsRa9xj1v0geig,https://www.google.com/maps/place/?q=place_id:ChIJ29fd2tVN4DsRa9xj1v0geig,part_105,2026-09-20 16:43:29
dimensions,Architects,Architect,Architect,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 80 2657 0215,http://dimensionsdesign.in/,4.7,30,"21/3, Church Rd, Kanakapura, Basavanagudi, Bengaluru, Karnataka 560004","Kanakapura, Basavanagudi",12.9434326,77.57774189999999,ChIJRfmRutoVrjsRnBK4yKTo7lo,https://www.google.com/maps/place/?q=place_id:ChIJRfmRutoVrjsRnBK4yKTo7lo,part_105,2026-09-20 16:43:29
KK & GL Partners,Architects,Architect,Architect,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",N/A,N/A,4.5,44,"#88, 1st Floor, 5th Cross Road, Aralu Mallige Parthasarathy Rd, Beside Desi Shop, Nagendra Block, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050","Nagendra Block, Banashankari 1st Stage, Banashankari",12.9388115,77.5493008,ChIJczSNbDo_rjsRy7qsqXcq0-M,https://www.google.com/maps/place/?q=place_id:ChIJczSNbDo_rjsRy7qsqXcq0-M,part_105,2026-09-20 16:43:29
Archiipedia,Architects,Architect,"Architect, Internet marketing service, Interior Decorator, Interior designer",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98867 36703,https://archiipedia.com/,4.8,14,"1103,Tower6, Lotus, Adarsh Palm Retreat Villas, Bellandur, Bengaluru, Karnataka 560103","Adarsh Palm Retreat Villas, Bellandur",12.9224195,77.6820311,ChIJ_5vN4vETrjsR2grUXKMAdVo,https://www.google.com/maps/place/?q=place_id:ChIJ_5vN4vETrjsR2grUXKMAdVo,part_105,2026-09-20 16:43:29
Sarjan Interior,Architects,Interior designer,Interior designer,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98245 01214,N/A,4.9,14,"Four Point, 327, VIP Rd, opposite CB Patel health club, Vesu, Surat, Gujarat 395007",Vesu,21.1406463,72.7799869,ChIJLe2HuUFT4DsR0Xxn2nCVzBY,https://www.google.com/maps/place/?q=place_id:ChIJLe2HuUFT4DsR0Xxn2nCVzBY,part_105,2026-09-20 16:43:29
