business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Daneshwari Book stores & Xerox centre,Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 96869 63613,N/A,4.9,,"Daneshwari Book Store, Kote road, opposite Mosque, Harohalli, Karnataka 562112",384360,12.679715199999999,77.4718714,ChIJbb3K2V5drjsR7cKl7t9ahAk,https://www.google.com/maps/place/?q=place_id:ChIJbb3K2V5drjsR7cKl7t9ahAk,part_105,2026-09-20 16:43:41
Sri Krishna Books & Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 95906 10303,N/A,4.2,,"32/2, K Narayanapura Main Rd, opposite AXIS BANK, Kothanur, Bengaluru, Karnataka 560077",Kothanur,13.064456499999999,77.6486877,ChIJP_dGlugZrjsRTPqD03prlU4,https://www.google.com/maps/place/?q=place_id:ChIJP_dGlugZrjsRTPqD03prlU4,part_105,2026-09-20 16:43:41
SAINIK BOOK DEPOT,Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 97588 20799,N/A,4.2,,"Post Office Rd, New Basti, Clement Town, Dehradun, Bharu Wala Grant, Uttarakhand 248002","New Basti, Clement Town",30.2662165,78.00019,ChIJz_cZ_eIrCTkR69lpquW4nDM,https://www.google.com/maps/place/?q=place_id:ChIJz_cZ_eIrCTkR69lpquW4nDM,part_105,2026-09-20 16:43:41
Popular Book Store,Bookstore and Stationery Shop,Book store,"Book store, Pen store, Wholesaler",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 89682 99490,N/A,3.9,,"SCO 5-6, CMC Rd, Sector 22D, Sector 22, Chandigarh, 160022","Sector 22D, Sector 22",30.734297899999998,76.770048,ChIJiXjV96XtDzkRR-BEm0iA7_4,https://www.google.com/maps/place/?q=place_id:ChIJiXjV96XtDzkRR-BEm0iA7_4,part_105,2026-09-20 16:43:41
R.K. MP Online & Stationery Mart,Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 79993 21134,N/A,4.9,,"B-75, J.K Town Rd, Shirdipuram, Kolar Rd, Bhopal, Madhya Pradesh 462042","Shirdipuram, Kolar Rd",23.1795401,77.4250497,ChIJSbJJirlDfDkRWgWtgL3hwgE,https://www.google.com/maps/place/?q=place_id:ChIJSbJJirlDfDkRWgWtgL3hwgE,part_105,2026-09-20 16:43:41
diamond stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Office supply store, Pen store, Book store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 93597 63348,N/A,4.0,,"Jwalapur Railway Station Rd, Jwalapur, Uttarakhand 249407",384360,29.9262484,78.11576079999999,ChIJt9ZRvSZGCTkR7QqUkUUCsu4,https://www.google.com/maps/place/?q=place_id:ChIJt9ZRvSZGCTkR7QqUkUUCsu4,part_105,2026-09-20 16:43:41
Office Superstore,Bookstore and Stationery Shop,Stationery store,"Stationery store, Toy store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 94111 14892,N/A,4.1,,"26/1, Rajpur Rd, Bhel Chowk, Hathibarkala Salwala, Dehradun, Uttarakhand 248001","Bhel Chowk, Hathibarkala Salwala",30.334040599999998,78.05289859999999,ChIJvQKpstopCTkRTi7yTyJflpE,https://www.google.com/maps/place/?q=place_id:ChIJvQKpstopCTkRTi7yTyJflpE,part_105,2026-09-20 16:43:41
Anand Stores (Stationery),Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 87703 02797,N/A,5.0,,"Dufferin Sarai Complex, 20-22, Market, Padav, Lashkar, Gwalior, Madhya Pradesh 474002","Padav, Lashkar",26.2123754,78.176358,ChIJ85AoeCDEdjkRQo23slMWCPk,https://www.google.com/maps/place/?q=place_id:ChIJ85AoeCDEdjkRQo23slMWCPk,part_105,2026-09-20 16:43:41
OfficePitara Stationery Supermart,Bookstore and Stationery Shop,Stationery store,"Stationery store, Art supply store, Craft store, Gift shop, Office supply store, Toy store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 96853 03030,N/A,4.8,,"64, Sahyog Vihar, Gulmohar, Nav Door Sanchar Nagar, Rohit Nagar, Bawadiya Kalan, Gulmohar Colony, Bhopal, Madhya Pradesh 462039","Nav Door Sanchar Nagar, Rohit Nagar, Bawadiya Kalan, Gulmohar Colony",23.1865979,77.43523569999999,ChIJr_EjIiRDfDkRG6PW779GBxM,https://www.google.com/maps/place/?q=place_id:ChIJr_EjIiRDfDkRG6PW779GBxM,part_105,2026-09-20 16:43:41
JINDAL BOOK STORE (MAIN),Bookstore and Stationery Shop,Book store,"Book store, Pen store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 94567 88888,N/A,4.1,,"43, Karanpur Rd, near to Karanpur, Karanpur, Dehradun, Uttarakhand 248001",Karanpur,30.327485,78.0558793,ChIJA_am38gpCTkR_iJyTnZpFjk,https://www.google.com/maps/place/?q=place_id:ChIJA_am38gpCTkR_iJyTnZpFjk,part_105,2026-09-20 16:43:41
S2O Stationeries and Books,Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 88613 67000,N/A,4.4,,"4, Sir M. Visvesvaraya Rd, Muthuraya Swamy Layout, Hanuman Nagar, Hulimavu, Bengaluru, Karnataka 560076","Muthuraya Swamy Layout, Hanuman Nagar, Hulimavu",12.8829671,77.60975909999999,ChIJn0clgHgVrjsRyeEYT6nOJVw,https://www.google.com/maps/place/?q=place_id:ChIJn0clgHgVrjsRyeEYT6nOJVw,part_105,2026-09-20 16:43:41
Super Stationery Mart,Bookstore and Stationery Shop,Stationery store,"Stationery store, Copy shop",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98262 60999,N/A,4.0,,"6525+MMM, Old High Ct Rd, near High Court, Maina Wali Gali, Dal Bazaar, Lashkar, Gwalior, Madhya Pradesh 474009","Maina Wali Gali, Dal Bazaar, Lashkar",26.201712,78.1591799,ChIJS5EOpkAybRQRACxUdMTXxvo,https://www.google.com/maps/place/?q=place_id:ChIJS5EOpkAybRQRACxUdMTXxvo,part_105,2026-09-20 16:43:41
Kolar stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Print shop",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 89826 00708,N/A,5.0,,"Shop no. G1, kalendra buisness center, Mandakini Society, Mandakini Colony, Kolar Rd, Bhopal, Madhya Pradesh 462042","Mandakini Society, Mandakini Colony, Kolar Rd",23.1843635,77.42119199999999,ChIJ57nFVwBDfDkRTaORPGpcOM8,https://www.google.com/maps/place/?q=place_id:ChIJ57nFVwBDfDkRTaORPGpcOM8,part_105,2026-09-20 16:43:41
Lakshmi Book Center,Bookstore and Stationery Shop,Stationery store,"Stationery store, Gift shop, Book store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98868 23415,N/A,4.4,,"43, Bhathyappa Complex, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Madhura Nagar, Vijayanagar, Bengaluru, Karnataka 560072","Huchappa Layout, Govindaraja Nagar Ward, Madhura Nagar, Vijayanagar",12.968917099999999,77.5246571,ChIJHX9c1tY9rjsR07fRYca9_fM,https://www.google.com/maps/place/?q=place_id:ChIJHX9c1tY9rjsR07fRYca9_fM,part_105,2026-09-20 16:43:41
Sanjay Stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Bookbinder, Bookkeeping service, Digital printing service, Office supply wholesaler, Stationery wholesaler",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 82184 52179,https://sanjaystationers.com/,4.9,,"35, Kanwali Rd, Tilak Nagar, Khurbura Mohalla, Dehradun, Uttarakhand 248001","Tilak Nagar, Khurbura Mohalla",30.320122599999998,78.0276768,ChIJr1fK0IwpCTkRpS4K6QnuqgM,https://www.google.com/maps/place/?q=place_id:ChIJr1fK0IwpCTkRpS4K6QnuqgM,part_105,2026-09-20 16:43:41
Ramdev Stationery World,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 88801 11020,N/A,4.1,,"13, MSR College Rd, Gokula 1st Stage, Mathikere, Bengaluru, Karnataka 560054","Gokula 1st Stage, Mathikere",13.0299719,77.5630078,ChIJnUn6cd8XrjsRc-PREJJup5M,https://www.google.com/maps/place/?q=place_id:ChIJnUn6cd8XrjsRc-PREJJup5M,part_105,2026-09-20 16:43:41
CEEJAY STATIONERY,Bookstore and Stationery Shop,Gift shop,Gift shop,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98461 49817,N/A,4.0,,"Ceejay Na, Na, Angamaly, Kerala 683572",384360,10.1921235,76.38696709999999,ChIJA4HeH14GCDsRWfEQkTr42SM,https://www.google.com/maps/place/?q=place_id:ChIJA4HeH14GCDsRWfEQkTr42SM,part_105,2026-09-20 16:43:41
Stationery Point | Office & School Stationery | Art & Craft | Party Products,Bookstore and Stationery Shop,Stationery store,Stationery store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 88488 38132,https://www.instagram.com/stationerypoint._?igsh=aHI3NDc4bWQzemk3,4.8,,"Ground Floor, Katti Tower, Jr Janatha Rd, Janatha Junction, Vyttila, Kochi, Ernakulam, Keralam 682019","Janatha Junction, Vyttila",9.9683647,76.3121209,ChIJaZSqJmZzCDsRks0e_BJRmzI,https://www.google.com/maps/place/?q=place_id:ChIJaZSqJmZzCDsRks0e_BJRmzI,part_105,2026-09-20 16:43:41
Sahitya WorldBook Store,Bookstore and Stationery Shop,Book store,Book store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 94120 19088,N/A,3.5,,"shopping complex, Kargi - Patel Nagar Bypass, Vidya Vihar, Brahmanwala, Dehradun, Uttarakhand 248001","Vidya Vihar, Brahmanwala",30.303770999999998,78.02803209999999,ChIJL5IHZYIpCTkRBED9uW8rSNE,https://www.google.com/maps/place/?q=place_id:ChIJL5IHZYIpCTkRBED9uW8rSNE,part_105,2026-09-20 16:43:41
Babus Stationery,Bookstore and Stationery Shop,Stationery wholesaler,"Stationery wholesaler, Cosmetics store, Gift shop, Plastic Wholesaler, Toy store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",N/A,N/A,4.5,,"Adjacent to EMJAY Tower, Railway Station Road, Opp to Surya Hotel, NH 544, Old, NH 47, Angamaly, Keralam 683572",384360,10.1839417,76.37993,ChIJr7VVQW8GCDsRxNonLru4zWk,https://www.google.com/maps/place/?q=place_id:ChIJr7VVQW8GCDsRxNonLru4zWk,part_105,2026-09-20 16:43:41
The English Book Shop,Bookstore and Stationery Shop,Book store,Book store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 97809 00136,N/A,4.4,3431.0,"SCO 31, Shopping Plaza, 17C, Sector 17-E, Chandigarh, 160017","Shopping Plaza, 17C, Sector 17-E",30.738363,76.78214,ChIJKdOqZ6DtDzkRAzkJL4QLitI,https://www.google.com/maps/place/?q=place_id:ChIJKdOqZ6DtDzkRAzkJL4QLitI,part_105,2026-09-20 16:43:43
Sushil Book Shop,Bookstore and Stationery Shop,Book store,Book store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 99157 86786,N/A,4.0,1573.0,"Shop No 103, Sector 11 Main Market, 101, Sector 11, Panchkula, Haryana 134112",Sector 11,30.6856233,76.8537095,ChIJGWT9cGGTDzkR5INOZ7Qaq74,https://www.google.com/maps/place/?q=place_id:ChIJGWT9cGGTDzkR5INOZ7Qaq74,part_105,2026-09-20 16:43:43
Books World,Bookstore and Stationery Shop,Book store,Book store,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 70567 07159,https://booksworldmohali.in/,4.3,737.0,"shop No. 8, Bay, Mohali Bypass, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062","Phase 10, Sector 64",30.6885545,76.7370208,ChIJI1Bckx7sDzkRG8oKUaEqpOM,https://www.google.com/maps/place/?q=place_id:ChIJI1Bckx7sDzkRG8oKUaEqpOM,part_105,2026-09-20 16:43:43
Jaswant Book Stall and stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Pen store",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 97111 16154,https://www.jainstationerymart.com/,4.3,2197.0,"1530, A-1, New Railway Rd, opp. Dronacgarya government college, Mahavir Pura, Sanjay colony, Sector 6, Gurugram, Haryana 122001","Mahavir Pura, Sanjay colony, Sector 6",28.4687722,77.02541459999999,ChIJw___yzIYDTkRQMvIyG7vTQo,https://www.google.com/maps/place/?q=place_id:ChIJw___yzIYDTkRQMvIyG7vTQo,part_105,2026-09-20 16:43:43
Suyog Stationers And Book Sellers,Bookstore and Stationery Shop,Book store,"Book store, Book publisher",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 95270 05005,N/A,4.1,807.0,"Shop no 6,7,8,9 Dhruvdarshan, 44, behind p.c.polytechnic, Nigdi, Pune, Maharashtra 411044","Sector No. 26, Pradhikaran, Nigdi",18.652302199999998,73.76072309999999,ChIJw____1u4wjsREmchH06DStk,https://www.google.com/maps/place/?q=place_id:ChIJw____1u4wjsREmchH06DStk,part_105,2026-09-20 16:43:43
