business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wellness Mahotsav,Wellness Center,Wellness center,"Wellness center, Naturopathic practitioner, Wellness program",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 99136 53000,https://www.wellnessmahotsav.com/,5.0,,"1418 Shilp Epitome Sindhubhavan Rd Rajpath Rangoli Road, Bh.Rajpath Club, near Infostech, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.035373099999997,72.50513839999999,ChIJVVVV2iabXjkR-ccKyky8ojM,https://www.google.com/maps/place/?q=place_id:ChIJVVVV2iabXjkR-ccKyky8ojM,part_105,2026-09-20 16:43:34
Health and wellness Center Sector 3,Wellness Center,Government hospital,Government hospital,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",N/A,N/A,3.5,,"HWC, Sector 3/C, Sector 3, Gandhinagar, Gujarat 382006","Sector 3/C, Sector 3",23.2064761,72.6299176,ChIJdU1Vvc8rXDkRxwsAiXah1gU,https://www.google.com/maps/place/?q=place_id:ChIJdU1Vvc8rXDkRxwsAiXah1gU,part_105,2026-09-20 16:43:34
POE The Health & Wellness Hub,Wellness Center,Massage spa,"Massage spa, Spa",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 72111 19203,N/A,4.9,,"2nd floor, Ame Complex, behind KP Infinity Complex, opposite Westside, Natubhai Circle, Vadiwadi, Vadodara, Gujarat 390021","Natubhai Circle, Vadiwadi",22.311882999999998,73.1585462,ChIJEXdx-63JXzkR7ZlhiQUQE04,https://www.google.com/maps/place/?q=place_id:ChIJEXdx-63JXzkR7ZlhiQUQE04,part_105,2026-09-20 16:43:34
PANKTI WELLNESS CENTRE,Wellness Center,Community health center,Community health center,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98246 36008,N/A,5.0,,"1ST FLOOR UVARSAD, Arizona Sky, 110, Vavol - Kolavada Rd, Vavol, Gandhinagar, Gujarat 382016",Vavol,23.226227599999998,72.6139215,ChIJISNVMRUpXDkRI2O7ZCiT-zs,https://www.google.com/maps/place/?q=place_id:ChIJISNVMRUpXDkRI2O7ZCiT-zs,part_105,2026-09-20 16:43:34
Pure Detox wellness,Wellness Center,Massage spa,"Massage spa, Aromatherapy service, Service establishment, Sports massage therapist, Massage therapist, Thai massage therapist",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 70119 36940,http://www.puredetoxwellness.com/,5.0,,"Pure Detox wellness, 384360, India",384360,28.537428199999997,77.0457654,ChIJnZSlhKFn9YgRdOMnPsfnbQk,https://www.google.com/maps/place/?q=place_id:ChIJnZSlhKFn9YgRdOMnPsfnbQk,part_105,2026-09-20 16:43:34
Nwellness,Wellness Center,Wellness center,"Wellness center, Beauty Parlour, Day spa, Spa",384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 93918 03316,https://nwellness.in/,4.6,,"First floor, Plot no. 6, Rd Number 3, UBI Colony, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034","UBI Colony, Andhra Pradesh Real Estate, Green Valley, Banjara Hills",17.4246695,78.43705779999999,ChIJG8dfAACXyzsRFPjN9F1vBV4,https://www.google.com/maps/place/?q=place_id:ChIJG8dfAACXyzsRFPjN9F1vBV4,part_105,2026-09-20 16:43:34
The Wellness Co.,Wellness Center,Wellness center,Wellness center,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 1800 121 2429,https://www.thewellnessco.in/,4.9,158.0,"Third Floor, Sindhu Bhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059","PRL Colony, Thaltej",23.040312699999998,72.5037514,ChIJaXEf_v-bXjkRUPtutbO4vFI,https://www.google.com/maps/place/?q=place_id:ChIJaXEf_v-bXjkRUPtutbO4vFI,part_105,2026-09-20 16:43:35
Taramati Wellness Centre & Yoga Institute,Wellness Center,Wellness center,Wellness center,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 94262 73700,N/A,4.7,63.0,"WF3F+29W, Bidada, Gujarat 370435",384360,22.9026182,69.4734453,ChIJhyJ-p9YxUTkR8vQQD0400-s,https://www.google.com/maps/place/?q=place_id:ChIJhyJ-p9YxUTkR8vQQD0400-s,part_105,2026-09-20 16:43:35
Wellness Centre,Wellness Center,Health consultant,Health consultant,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",N/A,N/A,4.5,2.0,"Block C, 838/2, Sector 4C, Sector 4, Gandhinagar, Gujarat 382006","Sector 4C, Sector 4",23.212744999999998,72.6251569,ChIJ9ZSiYAArXDkRsKDjwaqq3Ds,https://www.google.com/maps/place/?q=place_id:ChIJ9ZSiYAArXDkRsKDjwaqq3Ds,part_105,2026-09-20 16:43:35
Ayu’s Clairveda,Wellness Center,Wellness center,Wellness center,384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO",+91 98986 99277,https://www.ayus-clairveda.com/,4.9,98.0,"Subhadra Park, 1/2, near D.R Amin school, Gadapura, Diwalipura, Vadodara, Gujarat 390007","Gadapura, Diwalipura",22.303604,73.1557169,ChIJuUZP_IvJXzkRBhBRyQvMryw,https://www.google.com/maps/place/?q=place_id:ChIJuUZP_IvJXzkRBhBRyQvMryw,part_105,2026-09-20 16:43:35
