business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EARTH FITNESS,Fitness Chains,Fitness center,"Fitness center, Gym, Health consultant, Nutritionist, Personal trainer, Sports complex, Yoga studio",384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 99099 12509,N/A,5.0,,"2nd Floor, Satyamev Complex, Kamod, Ahmedabad, Gujarat 382427",384412,22.926813799999998,72.5427485,ChIJZ4sJZACPXjkRNgoDl5kGJHw,https://www.google.com/maps/place/?q=place_id:ChIJZ4sJZACPXjkRNgoDl5kGJHw,part_105,2026-09-20 16:45:17
Sibex Fitness,Fitness Chains,Gym,Gym,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 99791 00244,https://www.sibexfitness.com/,4.8,,"6th Floor, Besides, Lotus Elite, Elite Elegance, Gotri - Sevasi Rd, near Collabera, Vadodara, Gujarat 390021","Chandramauleshwar Nagar, Gotri",22.3169427,73.12837569999999,ChIJic9m98TJXzkRUYgYaYcFA2M,https://www.google.com/maps/place/?q=place_id:ChIJic9m98TJXzkRUYgYaYcFA2M,part_105,2026-09-20 16:45:17
DX fitness,Fitness Chains,Fitness center,Fitness center,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 73833 44900,N/A,4.9,,"Shop1, Chistiya Chhani Jakat Naka, Guru Nanak Nagar, Chhani Jakatnaka, Vadodara, Gujarat 390024","Chistiya Chhani Jakat Naka, Guru Nanak Nagar, Chhani Jakatnaka",22.3414361,73.1754014,ChIJb59oLf3JXzkRfPM-O35Rs80,https://www.google.com/maps/place/?q=place_id:ChIJb59oLf3JXzkRfPM-O35Rs80,part_105,2026-09-20 16:45:17
VAULT By Virat Kohli (Noida sector 104),Fitness Chains,Fitness center,Fitness center,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 92207 55994,https://www.vaultbyviratkohli.com/,4.7,,"HA-15, Block A, Sector 104, Noida, Uttar Pradesh 201304","Block A, Sector 104",28.5349996,77.36569759999999,ChIJY0ZSxU7lDDkRz3xCN7aDDGU,https://www.google.com/maps/place/?q=place_id:ChIJY0ZSxU7lDDkRz3xCN7aDDGU,part_105,2026-09-20 16:45:17
Fit & Build Gym,Fitness Chains,Gym,Gym,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",N/A,N/A,4.9,30.0,"Unnamed Road, Kansrao, Uttarakhand 248140",384412,30.124472599999997,78.1514986,ChIJS0bXFZs7CTkRO-UKCuiAYPc,https://www.google.com/maps/place/?q=place_id:ChIJS0bXFZs7CTkRO-UKCuiAYPc,part_105,2026-09-20 16:45:18
BELIEVE FITNESS GYM,Fitness Chains,Gym,"Gym, Fitness center",384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 79838 88239,N/A,4.9,102.0,"6 No, Pulliya, 3rd Floor Bist Tower, Ring Rd, Dehradun, Uttarakhand 248014",Indraprastha,30.298978799999997,78.0742187,ChIJyYthOAIpCTkRpcWH5uLzVa8,https://www.google.com/maps/place/?q=place_id:ChIJyYthOAIpCTkRpcWH5uLzVa8,part_105,2026-09-20 16:45:18
Energy Fitness Gym &Supplements,Fitness Chains,Gym,Gym,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 90502 89691,N/A,5.0,10.0,"76X7+VC, Buchawas, Haryana 123034",384412,28.299732,76.21360299999999,ChIJma7wXwC9EjkRIyhT8ttyLHU,https://www.google.com/maps/place/?q=place_id:ChIJma7wXwC9EjkRIyhT8ttyLHU,part_105,2026-09-20 16:45:18
Kairos Fitness,Fitness Chains,Gym,"Gym, Fitness center",384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",N/A,N/A,4.9,13.0,"Fortune Sky, FORTUNE CIRCLE, 215 to 219, Hill Town Circle Rd, New India Colony, Nava Naroda, Ahmedabad, Gujarat 382330","New India Colony, Nava Naroda",23.0637597,72.67755629999999,ChIJrcRjwAuHXjkRHU2tVHY6WqY,https://www.google.com/maps/place/?q=place_id:ChIJrcRjwAuHXjkRHU2tVHY6WqY,part_105,2026-09-20 16:45:18
Fit24 - The Best Gym in Uttarahalli,Fitness Chains,Fitness center,"Fitness center, Gym, Personal trainer",384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 72041 27771,N/A,4.8,592.0,"2nd floor, Krishna towers, 64/1, Uttarahalli Main Rd, above Reliance mart, Sarvabouma Nagar, Chikkalsandra, Bengaluru, Karnataka 560061","Sarvabouma Nagar, Chikkalsandra",12.9112973,77.5515829,ChIJ-eBlASw_rjsRgJ2uhBnpJUw,https://www.google.com/maps/place/?q=place_id:ChIJ-eBlASw_rjsRgJ2uhBnpJUw,part_105,2026-09-20 16:45:18
Body Fuel Gym,Fitness Chains,Gym,Gym,384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO",+91 96649 80728,N/A,4.9,1376.0,"4th Floor, Shayona Tilak Residency 1, Complex, New SG Rd, above LIFE LINE MULTI SPECIALITY HOSPITAL, Gota, Ahmedabad, Gujarat 382481",Gota,23.0990292,72.5483684,ChIJS-aTPRmDXjkRBCA5qX3YBI4,https://www.google.com/maps/place/?q=place_id:ChIJS-aTPRmDXjkRBCA5qX3YBI4,part_105,2026-09-20 16:45:19
