business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHREE BAHUCHAR KOTHI ICE CREAM & LIVE NA TURAL CANDY,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 98988 20188,N/A,4.7,3.0,"Grond Floor, Someshwar Complex, 9, opp. St Depo, Becharaji, Gujarat 384415",Main Bazar,23.5011478,72.0493742,ChIJq0o03SRzXDkRd9OUGyGkaMI,https://www.google.com/maps/place/?q=place_id:ChIJq0o03SRzXDkRd9OUGyGkaMI,part_105,2026-09-20 16:46:07
Shree Bahuchar Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",N/A,N/A,5.0,3.0,"soni bajar, near bahchraji bus stand, rode, Becharaji, Gujarat 384210",Main Bazar,23.5021018,72.04534029999999,ChIJ6wDZn711XDkR9QXId8xTwdA,https://www.google.com/maps/place/?q=place_id:ChIJ6wDZn711XDkR9QXId8xTwdA,part_105,2026-09-20 16:46:07
Joganiya fresh juice shiv dhara,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 78785 23762,N/A,5.0,1.0,"F2RJ+3W4, Becharaji, Hansalpur Becharaji, Gujarat 384415",384415,23.490135199999997,72.0323204,ChIJaUN2YQB1XDkR8ZSx-DA4HtY,https://www.google.com/maps/place/?q=place_id:ChIJaUN2YQB1XDkR8ZSx-DA4HtY,part_105,2026-09-20 16:46:07
Bahuchar plaza complex Sankhlpur,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",N/A,N/A,,,"G26Q+CV3, Becharaji, Gujarat 384415",384415,23.5110079,72.0396585,ChIJY5imXwB1XDkRLqE2jDBhSag,https://www.google.com/maps/place/?q=place_id:ChIJY5imXwB1XDkRLqE2jDBhSag,part_105,2026-09-20 16:46:07
Bahuchar Sales Agency,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 96249 50033,N/A,4.0,5.0,"G 4, Shivaji Plaza, Becharaji, Gujarat 384415",384415,23.492611999999998,72.0342988,ChIJqaxYsPN1XDkR1lwSR1KJrNY,https://www.google.com/maps/place/?q=place_id:ChIJqaxYsPN1XDkR1lwSR1KJrNY,part_105,2026-09-20 16:46:07
Jay Shree Chamunda parlour & Travels,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 99092 28716,N/A,4.9,39.0,"JXQX+8GH dargah, Hasanfir, Hasanfir dargah, Patan, Gujarat 384230",Hasanfir dargah,23.6382555,71.9989691,ChIJpwQS2_B3XDkRs6TTtzLrnkw,https://www.google.com/maps/place/?q=place_id:ChIJpwQS2_B3XDkRs6TTtzLrnkw,part_105,2026-09-20 16:46:08
Rajkamal icecream 🍨,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",N/A,N/A,5.0,3.0,"shop number 15, Reliance petrol pump, Galaxy square near shop number 15, Reliance petrol pump, Opp Silver coin hotel bechraji Galaxy square near, opp. Silver coin hotel, Becharaji, Gujarat 384210",384415,23.502233999999998,72.0547138,ChIJr4o8XXlzXDkRA_zyRd7Ut1c,https://www.google.com/maps/place/?q=place_id:ChIJr4o8XXlzXDkRA_zyRd7Ut1c,part_105,2026-09-20 16:46:08
B'Creamy,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 83020 36063,http://www.bcreamy.com/,4.9,755.0,"SHOP AT GROUND FLOOR, P.No.5 D 223, near JNV Murti Circle, Sector 5, Jai Narayan Vyas Colony, Bikaner, Bikaner City, Rajasthan 334003","Sector 5, Jai Narayan Vyas Colony",28.011811299999998,73.3475041,ChIJWVky6VfnPzkR3gcn7nD3aj4,https://www.google.com/maps/place/?q=place_id:ChIJWVky6VfnPzkR3gcn7nD3aj4,part_105,2026-09-20 16:46:08
Bharkadevi Ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 79769 71188,N/A,4.5,182.0,"Bali, Rajasthan 306701",384415,25.1927548,73.2889383,ChIJvTF4mBKaQjkR8x6Pwu0PXRM,https://www.google.com/maps/place/?q=place_id:ChIJvTF4mBKaQjkR8x6Pwu0PXRM,part_105,2026-09-20 16:46:08
Polar Bear Ice Cream Sundaes - Baner,Ice Cream Parlour,Ice cream shop,Ice cream shop,384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO",+91 93534 21979,https://www.polarbear.co.in/,4.8,2438.0,"Shop G-3, Abil Imperial, No 37/1/1, Rohan Seher Ln, near Murkute Park, Baner, Pune, Maharashtra 411069",Baner,18.556232299999998,73.77309,ChIJK1xvSeO_wjsR7r7u7aQO4hk,https://www.google.com/maps/place/?q=place_id:ChIJK1xvSeO_wjsR7r7u7aQO4hk,part_105,2026-09-20 16:46:08
