business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Madhav Industries,Businesses,Chemical Manufacturer,Chemical Manufacturer,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",+91 2762 225 566,http://www.madhavsilica.com/,3.9,,"Block No. 395, At-Post, Martoli, Gujarat 384430",384430,23.4777815,72.2011929,ChIJ6SwqTDITXDkR_yfPa1Wlok4,https://www.google.com/maps/place/?q=place_id:ChIJ6SwqTDITXDkR_yfPa1Wlok4,part_105,2026-09-20 16:47:54
Shri Nadeshwar Mahadev Ktosan,Businesses,Temp agency,Temp agency,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,4.0,,"C6V6+MQJ, Mehsana, Gujarat 384430",384430,23.4442097,72.2118984,ChIJ9T2eFfITXDkRD8l4atjHN3Y,https://www.google.com/maps/place/?q=place_id:ChIJ9T2eFfITXDkRD8l4atjHN3Y,part_105,2026-09-20 16:47:54
સાપોર,Businesses,Housing society,Housing society,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,5.0,,"F659+CP5, Katosan, Gujarat 384430",384430,23.4585086,72.219362,ChIJDWbF1hoTXDkRm0z4I8IzH7A,https://www.google.com/maps/place/?q=place_id:ChIJDWbF1hoTXDkRm0z4I8IzH7A,part_105,2026-09-20 16:47:54
SSWL,Businesses,Manufacturer,Manufacturer,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,4.7,,"F6G4+44, Tejpura, Gujarat 384430",384430,23.475264,72.205366,ChIJjVvDWgATXDkRIdu7id8GtjM,https://www.google.com/maps/place/?q=place_id:ChIJjVvDWgATXDkRIdu7id8GtjM,part_105,2026-09-20 16:47:54
Gunjariya parivar,Businesses,Housing society,Housing society,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,5.0,,"F7M3+X36, Unnamed Road, Santhal, Gujarat 384430",384430,23.4849167,72.25264729999999,ChIJ2xWQB1AVXDkR17XTH46ma08,https://www.google.com/maps/place/?q=place_id:ChIJ2xWQB1AVXDkR17XTH46ma08,part_105,2026-09-20 16:47:54
SHREE_CHEHAR_NIVAS,Businesses,Housing society,Housing society,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,,,"F658+FXJ, Katosan, Gujarat 384430",384430,23.458706799999998,72.2173988,ChIJSfnXGwATXDkRtJTuxNniJ0w,https://www.google.com/maps/place/?q=place_id:ChIJSfnXGwATXDkRtJTuxNniJ0w,part_105,2026-09-20 16:47:54
Kuber Cement Product,Businesses,Farm,Farm,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,5.0,,"F6RX+37G, Unnamed Road, Santhal, Gujarat 384430",384430,23.4901865,72.24819889999999,ChIJRYBBe0trXDkRlvDM_lLGd30,https://www.google.com/maps/place/?q=place_id:ChIJRYBBe0trXDkRlvDM_lLGd30,part_105,2026-09-20 16:47:54
Thakor vas,Businesses,Housing society,Housing society,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,5.0,,"F7J4+R3J, Santhal, Gujarat 384430",384430,23.4820805,72.2551415,ChIJRRbR3d4VXDkR8TrG8ij2Ves,https://www.google.com/maps/place/?q=place_id:ChIJRRbR3d4VXDkR8TrG8ij2Ves,part_105,2026-09-20 16:47:54
JP Thakor,Businesses,Housing complex,Housing complex,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,5.0,,"F7M3+X36, Unnamed Road, Santhal, Gujarat 384430",384430,23.4849566,72.2526465,ChIJaSsLAgAVXDkRp3CzX5fWu5A,https://www.google.com/maps/place/?q=place_id:ChIJaSsLAgAVXDkRp3CzX5fWu5A,part_105,2026-09-20 16:47:54
ONGC SANTHAL 4 PLANT,Businesses,Warehouse,Warehouse,384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO",N/A,N/A,2.0,,"F7M4+GV8, 4, Santhal, Gujarat 384430",384430,23.483780799999998,72.2571964,ChIJmR8NPrIVXDkRxl6qsH_ZY5g,https://www.google.com/maps/place/?q=place_id:ChIJmR8NPrIVXDkRxl6qsH_ZY5g,part_105,2026-09-20 16:47:54
