business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SCREEN MEDIA,Digital Marketing Agencies,Marketing agency,"Marketing agency, Business management consultant, Graphic designer, Marketing consultant, Print shop, Video editing service",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 70166 52297,N/A,4.9,13.0,"10-Center point, 1st floor, nr. Chandralok Road, Deesa, Gujarat 385535","Abikanagar, Neminath Nagar",24.255053699999998,72.1831596,ChIJkeoyOje9XDkRtocFLANUpLY,https://www.google.com/maps/place/?q=place_id:ChIJkeoyOje9XDkRtocFLANUpLY,part_106,2026-09-20 16:40:27,5772
WE11 Studio,Digital Marketing Agencies,Business development service,"Business development service, Branding agency, Graphic designer, Industrial design company, Internet marketing service, Website designer",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 77790 70231,https://www.instagram.com/we11_studio/,5.0,9.0,"raj mandir multiplex, Somnath Twp, Deesa, Gujarat 385535",Somnath Township,24.2488019,72.19942859999999,ChIJJ2gaCHK9XDkRR7wRRBHUzFY,https://www.google.com/maps/place/?q=place_id:ChIJJ2gaCHK9XDkRR7wRRBHUzFY,part_106,2026-09-20 16:40:27,5773
T.G.P Web Solution,Digital Marketing Agencies,Website designer,"Website designer, Graphic designer, Web hosting company",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 84010 00020,https://tgpwebsolution.com/,5.0,13.0,"1st floor, highschool, near zaveri complex, opp. SCW School Road, Krushnkunj Society, Neminath Nagar, Deesa, Gujarat 385535","Krushnkunj Society, Neminath Nagar",24.2528489,72.180216,ChIJMeOFHca9XDkRFHAE7PP1rMk,https://www.google.com/maps/place/?q=place_id:ChIJMeOFHca9XDkRFHAE7PP1rMk,part_106,2026-09-20 16:40:27,5774
Marketrixa Marketing Agency,Digital Marketing Agencies,Marketing agency,Marketing agency,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 95124 00000,https://www.marketrixa.com/,5.0,8.0,"Second floor, Business world complex, 201, 202 & 203, Deesa, Gujarat 385535","Abhinandan Society, Indira Nagar",24.2639262,72.1853601,ChIJj7neI9S9XDkRd1C4IzN-L2s,https://www.google.com/maps/place/?q=place_id:ChIJj7neI9S9XDkRd1C4IzN-L2s,part_106,2026-09-20 16:40:27,5775
Beezo Digital Marketing,Digital Marketing Agencies,Marketing agency,Marketing agency,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 81539 85728,https://beezo.in/,5.0,8.0,"3rd Floor, Milestone nr. Jalaram Temple, 13, Deesa, Gujarat 385535","Abhinandan Society, Indira Nagar",24.2636468,72.1870625,ChIJxyfLvX-9XDkRFRs4ZPu8_LA,https://www.google.com/maps/place/?q=place_id:ChIJxyfLvX-9XDkRFRs4ZPu8_LA,part_106,2026-09-20 16:40:27,5776
PostiView,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Website designer",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94269 88865,https://www.postiview.in/,5.0,6.0,"2nd Floor, Khusboo Shopping Centre, 9, near Old Civil Court, Deesa, Gujarat 385535","Sindhi Market, Neminath Nagar",24.2570569,72.1803094,ChIJh7yb2eJN1asRABaTHZ4Ht2s,https://www.google.com/maps/place/?q=place_id:ChIJh7yb2eJN1asRABaTHZ4Ht2s,part_106,2026-09-20 16:40:27,5777
Shahrup Sk,Digital Marketing Agencies,Website designer,"Website designer, Service establishment",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 70163 38318,https://shahrup-sk.ueniweb.com/?utm_campaign=gmb,4.6,11.0,"Shahrup Sk, 385540, India",385540,24.103915,72.140305,ChIJ9xEPwZ-QXDkR-RV1QTb_b3c,https://www.google.com/maps/place/?q=place_id:ChIJ9xEPwZ-QXDkR-RV1QTb_b3c,part_106,2026-09-20 16:40:27,5778
iVIPANAN Digital Marketing Services,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Design agency, Graphic designer, Market researcher, Marketing agency, Marketing consultant, Training center, Video editing service, Video production service, Website designer",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 98256 56211,https://www.ivipanan.co.in/,4.9,165.0,"401, Shiven Shoppers, opp. Gangeshwar Mahadev Temple Road, beside SMC School Children Hall, Adajan, Surat, Gujarat 395009","Honey Park, Adajan Gam, Adajan",21.199125,72.7907774,ChIJ9SVlFstN4DsREKTY8IyLYm0,https://www.google.com/maps/place/?q=place_id:ChIJ9SVlFstN4DsREKTY8IyLYm0,part_106,2026-09-20 16:40:27,5779
Triovate PVT LTD,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, E-commerce service, Graphic designer, Marketing agency, Marketing consultant, Photography service, Website designer",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94089 68634,https://triovate.com/,4.9,150.0,"10th Floor, 1018, Fortune Business Hub, Science City Rd, near Shell Petrol Pump, Sola, Ahmedabad, Gujarat 380060",Sola,23.078682699999998,72.5012299,ChIJr4WX2jaWPUARXWea-TgZ0Y8,https://www.google.com/maps/place/?q=place_id:ChIJr4WX2jaWPUARXWea-TgZ0Y8,part_106,2026-09-20 16:40:27,5780
HJ Advertising Agency.,Digital Marketing Agencies,Advertising agency,"Advertising agency, Service establishment",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,5.0,3.0,"HJ Advertising Agency., 385540, India",385540,21.0680074,82.7525294,ChIJofqqAsG9XDkRPmJTzdt51Mk,https://www.google.com/maps/place/?q=place_id:ChIJofqqAsG9XDkRPmJTzdt51Mk,part_106,2026-09-20 16:40:27,5781
BLOGS,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,,,"BLOGS, 385540, India",385540,21.0680074,82.7525294,ChIJ96W2Qtmy3GoR7GGR9qAvl4M,https://www.google.com/maps/place/?q=place_id:ChIJ96W2Qtmy3GoR7GGR9qAvl4M,part_106,2026-09-20 16:40:27,5782
