business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
શ્રી રામ ઇરીગેશન જુના ડીસા .,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94273 27248,N/A,5.0,,"Juna Deesa, Gujarat 385540",385540,24.2117596,72.16217309999999,ChIJT1WQdl-9XDkRTNBsy_bIFmo,https://www.google.com/maps/place/?q=place_id:ChIJT1WQdl-9XDkRTNBsy_bIFmo,part_106,2026-09-20 16:40:29,5924
Swagat Holiday Mall,Malls,Shopping mall,"Shopping mall, Food court, Outlet mall",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 70692 79000,https://swagatgroup.in/Swagat_Holiday_Mall/,4.8,,"S.G. Highway, Swagat Holiday Mall Rd, nr. Swagat Circle, Sargasan, Gandhinagar, Gujarat 382421",Sargasan,23.1891285,72.6097853,ChIJy8nOc44pXDkROui8uU3EBGk,https://www.google.com/maps/place/?q=place_id:ChIJy8nOc44pXDkROui8uU3EBGk,part_106,2026-09-20 16:40:29,5925
sri dwarkadhis Dery&parlour junadeesa,Malls,Shopping mall,"Shopping mall, Store",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 97732 50386,N/A,5.0,,"rod, Dhuva, Juna Deesa, Gujarat 385540",385540,24.214068599999997,72.1647541,ChIJueu2QQC9XDkRV8QN1UXkv48,https://www.google.com/maps/place/?q=place_id:ChIJueu2QQC9XDkRV8QN1UXkv48,part_106,2026-09-20 16:40:29,5926
Umang Mall,Malls,Shopping mall,"Shopping mall, Shoe store, Indian grocery store, Stationery store, Supermarket, Wholesaler",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 95865 88435,N/A,4.7,50.0,"Jay Goga complex, 1/7, suigam Road, opposite Gayatri Mandir, Bhabhar, Bhabhar Nava, Gujarat 385320",385540,24.072615799999998,71.5937431,ChIJLWgm3jBrWzkR1mXB_QXpshA,https://www.google.com/maps/place/?q=place_id:ChIJLWgm3jBrWzkR1mXB_QXpshA,part_106,2026-09-20 16:40:30,5927
Palladium Ahmedabad,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,https://www.palladiumahmedabad.com/,4.5,17642.0,"Sarkhej - Gandhinagar Hwy, Thaltej, Ahmedabad, Gujarat 380054",Thaltej,23.0577822,72.5210317,ChIJDyt0RQidXjkRWhuSrnxABX4,https://www.google.com/maps/place/?q=place_id:ChIJDyt0RQidXjkRWhuSrnxABX4,part_106,2026-09-20 16:40:30,5928
Inorbit Mall Vadodara,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,http://www.inorbit.in/,4.5,48600.0,"Alembic Rd, opposite to Alembic School, Gorwa, Vadodara, Gujarat 390023",Gorwa,22.3223271,73.1655842,ChIJ7418PMfIXzkRuJT-zFxZyN0,https://www.google.com/maps/place/?q=place_id:ChIJ7418PMfIXzkRuJT-zFxZyN0,part_106,2026-09-20 16:40:30,5929
Maruti Solaris,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 99799 11115,http://www.marutisquare.in/project/maruti-solaris/,4.6,4383.0,"opp. Anand - Sojitra Road, Vithal Udyognagar, Sarvodaya Society, Anand, Gujarat 388120","Vithal Udyognagar, Sarvodaya Society",22.5417313,72.9467753,ChIJFQgaJi1MXjkRogiY38IE2As,https://www.google.com/maps/place/?q=place_id:ChIJFQgaJi1MXjkRogiY38IE2As,part_106,2026-09-20 16:40:30,5930
Shree Balaji Agora Mall,Malls,Shopping mall,"Shopping mall, Banquet hall, Bowling alley, Food court, Hotel, Movie theater, Restaurant",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 86906 42642,https://sbam.in/,4.0,25749.0,"Tapovan Circle, Bhat Circle, Between 200 ft, Sardar Patel Ring Rd, Chandkheda, Ahmedabad, Gujarat 382421",Chandkheda,23.1185024,72.6245304,ChIJ3x8gRciDXjkRjqj0s5bfeO8,https://www.google.com/maps/place/?q=place_id:ChIJ3x8gRciDXjkRjqj0s5bfeO8,part_106,2026-09-20 16:40:30,5931
Pavilion Mall • Hindva,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,http://www.hindva.com/,4.4,7611.0,"New India Colony Rd, New India Colony, Nikol, Ahmedabad, Gujarat 380049","New India Colony, Nikol",23.050563,72.66749,ChIJ4dUU4yGHXjkR5hmIBonFVkU,https://www.google.com/maps/place/?q=place_id:ChIJ4dUU4yGHXjkR5hmIBonFVkU,part_106,2026-09-20 16:40:30,5932
Nexus Ahmedabad One,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 79 4019 3672,https://www.nexusselecttrust.com/nexus-ahmedabad-one,4.6,85262.0,"261, Sarkari Vasahat Road, Vastrapur, Ahmedabad, Gujarat 380054",Vastrapur,23.0400129,72.53101339999999,ChIJqw3TKp2FXjkRqkqLCe9ZeZ4,https://www.google.com/maps/place/?q=place_id:ChIJqw3TKp2FXjkRqkqLCe9ZeZ4,part_106,2026-09-20 16:40:30,5933
ISCON Shopping Centre,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 84880 20212,N/A,4.0,,"S-62, Deesa, Gujarat 385535","Kailash Nagar, Amrut Nagar",24.2543017,72.1940619,ChIJgWTjWqm9XDkRcnGbxFY-35c,https://www.google.com/maps/place/?q=place_id:ChIJgWTjWqm9XDkRcnGbxFY-35c,part_106,2026-09-20 16:40:30,5934
Subh Mall,Malls,Supermarket,Supermarket,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94293 42147,N/A,4.0,,"HIGH SCHOOL, near SCW School Road, Krushnkunj Society, Neminath Nagar, Deesa, Gujarat 385535","Krushnkunj Society, Neminath Nagar",24.2530876,72.18034039999999,ChIJjYvZpUi9XDkR9zaXBqW_il0,https://www.google.com/maps/place/?q=place_id:ChIJjYvZpUi9XDkR9zaXBqW_il0,part_106,2026-09-20 16:40:30,5935
Avakar Mall,Malls,Grocery store,Grocery store,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,5.0,,"4566+354, Chokdi, Bhatsan, Char RastaHighwayDeesa, Gujarat 384285",Chokdi,24.1101372,72.1604515,ChIJ41s8XQCRXDkRvWmbZmogVbo,https://www.google.com/maps/place/?q=place_id:ChIJ41s8XQCRXDkRvWmbZmogVbo,part_106,2026-09-20 16:40:30,5936
DEESA BAZAAR,Malls,Shopping mall,Shopping mall,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,5.0,,"753P+R46 Yogeswar park, College Rd, Abikanagar, Neminath Nagar, Deesa, Gujarat 385535","Abikanagar, Neminath Nagar",24.2545169,72.18496019999999,ChIJUaF7LgC9XDkRnunTTWxKCI4,https://www.google.com/maps/place/?q=place_id:ChIJUaF7LgC9XDkRnunTTWxKCI4,part_106,2026-09-20 16:40:30,5937
SAHELI MALL,Malls,Clothing store,Clothing store,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,5.0,,"OPPS, BANS BANK, Gulbani Nagar, Deesa, Gujarat 385535","BANS BANK, Gulbani Nagar",24.2572931,72.1790821,ChIJUacyhhi9XDkRiTgWkhqsPA0,https://www.google.com/maps/place/?q=place_id:ChIJUacyhhi9XDkRiTgWkhqsPA0,part_106,2026-09-20 16:40:30,5938
