business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CSC CENTER,Common Service Center (CSC) / E-Seva,Government economic program,Government economic program,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 94297 14701,N/A,5.0,1.0,"DK Complex,Gujarat State Highway 132, near Bank of Baroda, Dantiwada, Gujarat 385505",385545,24.3248298,72.3259418,ChIJ_VFWd6u4XDkR_Sz3zqveJlA,https://www.google.com/maps/place/?q=place_id:ChIJ_VFWd6u4XDkR_Sz3zqveJlA,part_106,2026-09-20 16:40:55
ડિજિટલ સેવા કેન્દ્ર (CSC),Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.3,6.0,"5R3Q+R5W, Dhanakwada, Gujarat 385330",385545,24.1546023,71.83794929999999,ChIJ8977aUxnWzkRyw0NCSDe6bM,https://www.google.com/maps/place/?q=place_id:ChIJ8977aUxnWzkRyw0NCSDe6bM,part_106,2026-09-20 16:40:55
CSC CENTER And Adhar Centre,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,6.0,"Lapkaman, Gujarat 382722",385545,23.0862573,72.45387339999999,ChIJiwKLPwCdXjkRZW6QpAjb-PA,https://www.google.com/maps/place/?q=place_id:ChIJiwKLPwCdXjkRZW6QpAjb-PA,part_106,2026-09-20 16:40:55
Common Service Center,Common Service Center (CSC) / E-Seva,Information services,"Information services, Government office, Local government office, State government office",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,http://www.digitalindia.com/,4.9,74.0,"CSC Center, Behind Maruti Nandan Pan, Veraval Talala Road, Ghunsiya, Amblash, Talala, Gujarat 362150",385545,21.0253005,70.49680239999999,ChIJ67LyCJzL4jsRdADxJt3pfTA,https://www.google.com/maps/place/?q=place_id:ChIJ67LyCJzL4jsRdADxJt3pfTA,part_106,2026-09-20 16:40:55
csc common service centre,Common Service Center (CSC) / E-Seva,Local government office,Local government office,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,1.0,"W9JC+X5Q, Pal, Gujarat 383462",385545,23.93247,73.3704747,ChIJ5S4hDvGDXTkRkcmX7OqBDAg,https://www.google.com/maps/place/?q=place_id:ChIJ5S4hDvGDXTkRkcmX7OqBDAg,part_106,2026-09-20 16:40:55
CSC DIGITAL SERVICES SENTER,Common Service Center (CSC) / E-Seva,Government office,Government office,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,1.0,"Simikampa, Jaswantpura, Gujarat 383310",Simikampa,23.302246399999998,73.2381403,ChIJP_qfxCDjXTkRF__VhwuH1nA,https://www.google.com/maps/place/?q=place_id:ChIJP_qfxCDjXTkRF__VhwuH1nA,part_106,2026-09-20 16:40:55
DIGITAL SEVA (CSC) COMMON SERVICE CENTRE,Common Service Center (CSC) / E-Seva,Digital printing service,Digital printing service,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,8.0,"NH228, Mahuvad, Gujarat 391440",385545,22.2330681,73.0130653,ChIJ5w9jTjW5XzkREyKdL48EB-k,https://www.google.com/maps/place/?q=place_id:ChIJ5w9jTjW5XzkREyKdL48EB-k,part_106,2026-09-20 16:40:55
CSC Center,Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,3.0,"FRQM+V5F, Bevta Rd, Rah, Gujarat 385310",385545,24.4896864,71.8329085,ChIJL8LH6stTWzkREnHLs_AZFO8,https://www.google.com/maps/place/?q=place_id:ChIJL8LH6stTWzkREnHLs_AZFO8,part_106,2026-09-20 16:40:55
CSC DIGITAL SEVA,Common Service Center (CSC) / E-Seva,Computer support and services,Computer support and services,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 94094 16048,N/A,,,"01, Ambica Nagar, mansurivas, Eklara, Gujarat 383225","Ambica Nagar, mansurivas",23.749895499999997,72.8092654,ChIJT2jZL-6vXTkRYv2TPjYk9iA,https://www.google.com/maps/place/?q=place_id:ChIJT2jZL-6vXTkRYv2TPjYk9iA,part_106,2026-09-20 16:40:55
CSC CENTER,Common Service Center (CSC) / E-Seva,Computer service,Computer service,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,1.0,"Vahalu, Gujarat 392020",385545,21.7520375,72.9129219,ChIJ3cuxexCJXzkRLGo-rZmx47k,https://www.google.com/maps/place/?q=place_id:ChIJ3cuxexCJXzkRLGo-rZmx47k,part_106,2026-09-20 16:40:55
