business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanghpura Fasteners industries,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 81286 94702,http://www.sanghpurafasteners.com/,4.0,,"Detroj, Gujarat 382120",385545,23.328222999999998,72.2045054,ChIJq6qqalYQXDkRdxbnYFxE2gg,https://www.google.com/maps/place/?q=place_id:ChIJq6qqalYQXDkRdxbnYFxE2gg,part_106,2026-09-20 16:41:00
Uma Sales Corporatoin,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Aluminium Supplier, Building materials market, Plywood supplier, Water Pump Supplier",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 99797 89901,N/A,4.8,,"Vishwakarma Temple, Tharad Road, Dhanera, Gujarat 385310",385545,24.498161,72.0268619,ChIJh8QZJpSrXDkRJ1sxvvfI8OE,https://www.google.com/maps/place/?q=place_id:ChIJh8QZJpSrXDkRJ1sxvvfI8OE,part_106,2026-09-20 16:41:00
Gujarat Fasteners,Industrial Hardware and Fasteners,Manufacturer,Manufacturer,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 93233 23666,http://www.gujaratfasteners.com/,,,"Office no 11 1st, New, New Link Rd, near Oshiwara Police Station Road, Andheri, Oshiwara, Andheri West, Mumbai, Maharashtra 400102","Andheri, Oshiwara, Andheri West",19.148569,72.8324386,ChIJTf9-CTm25zsRdbJh8QgRixc,https://www.google.com/maps/place/?q=place_id:ChIJTf9-CTm25zsRdbJh8QgRixc,part_106,2026-09-20 16:41:00
Tower Bolt,Industrial Hardware and Fasteners,Manufacturer,Manufacturer,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 94292 89250,https://ssdoorhinges.online/door-fittings-manufacturers-in-india/tower-bolts-for-doors/tower-bolt-for-door/,5.0,,"S.T. Workshop, Shed No. 4, Samrat Industrial Area Street No. 18/16, B/h, Rajkot, Gujarat 360004",Samrat Industrial Area,22.2567277,70.79580659999999,ChIJxwZPKVbLWTkRzTLG-yyZyis,https://www.google.com/maps/place/?q=place_id:ChIJxwZPKVbLWTkRzTLG-yyZyis,part_106,2026-09-20 16:41:00
"BAFNA HARDWARE, WHOLESALE HARDWARE SUPPLIER AHMEDABAD",Industrial Hardware and Fasteners,Hardware store,Hardware store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 92658 69177,https://www.bafnahardware.com/,4.9,,"3, SHREEJI KRUPA BUILDING, nr. PANCHAL NI WADI, Old City, Delhi Chakla, Dariyapur, Ahmedabad, Gujarat 380001","Old City, Delhi Chakla, Dariyapur",23.03598,72.5920627,ChIJUXoUOLuFXjkRSc5wWKg6gIc,https://www.google.com/maps/place/?q=place_id:ChIJUXoUOLuFXjkRSc5wWKg6gIc,part_106,2026-09-20 16:41:00
Shakti Steel Traders,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Building materials store, Irrigation equipment supplier",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.5,,"Ambaji Hwy, opp. Shree G.J.Patel High School Palanpur, road, Jalotra, Gujarat 385001",road,24.1420057,72.5848906,ChIJ_RWVyEbkXDkRwi5snJVKUm8,https://www.google.com/maps/place/?q=place_id:ChIJ_RWVyEbkXDkRwi5snJVKUm8,part_106,2026-09-20 16:41:01
AB FASTENERS,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 90815 91376,N/A,4.0,,"Shree Krishna Estate, Mulchand Rd, near Divyabhumi industrial park, Mulchand, Gujarat 363030",385545,22.7467893,71.6584357,ChIJ_ZGrILNBWTkRZW11zuPYGSc,https://www.google.com/maps/place/?q=place_id:ChIJ_ZGrILNBWTkRZW11zuPYGSc,part_106,2026-09-20 16:41:01
SK Industries,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 76983 64374,N/A,4.6,,"YOGESWER INDUSTRIAL ESTATE, PLOT NO B8, opp. SHIVAM ESTATE, Chhatral, Kalol, Gujarat 382729",385545,23.288259,72.4592625,ChIJ6UiUOWpaW0YRN1PKRbWZL5s,https://www.google.com/maps/place/?q=place_id:ChIJ6UiUOWpaW0YRN1PKRbWZL5s,part_106,2026-09-20 16:41:01
GNBolt,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 93758 03752,http://gnbolt.com/,4.8,,"83, Kuvadva Rd, Ruda Transport Nagar, Anandpar, Sokhada, Gujarat 360003",Ruda Transport Nagar,22.327326799999998,70.8529851,ChIJC4L0eBLKWTkRrDJ5G6xJ7Ss,https://www.google.com/maps/place/?q=place_id:ChIJC4L0eBLKWTkRrDJ5G6xJ7Ss,part_106,2026-09-20 16:41:01
National hardware and machinery,Industrial Hardware and Fasteners,Industrial equipment supplier,"Industrial equipment supplier, Tools Wholesaler",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,https://national-hardware-shera.grexa.site/,5.0,,"Nava bajar rakshan road, opp. Shaikh Anjuman charitable trust, Voharwad, Shera, Godhra, Gujarat 389001","Voharwad, Shera",22.7732958,73.6125509,ChIJ2R59LyGbYDkRmlbnpen_DUw,https://www.google.com/maps/place/?q=place_id:ChIJ2R59LyGbYDkRmlbnpen_DUw,part_106,2026-09-20 16:41:01
