business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Krishna Print Hub ll LED Sign Boards & Flex Banner Printing,Printing Press and Offset Printer,Digital printing service,"Digital printing service, Banner store, Sign shop",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 63525 25452,http://www.krishnaprinthub.com/,5.0,,"ff,21-26, shital shopping, Deesa Rd, Dhanera, Gujarat 385310",385545,24.5058643,72.0270546,ChIJJaELplGrXDkRcj8aII2HWqg,https://www.google.com/maps/place/?q=place_id:ChIJJaELplGrXDkRcj8aII2HWqg,part_106,2026-09-20 16:40:54
Prince Graphics,Printing Press and Offset Printer,Graphic designer,"Graphic designer, Digital printing service, Invitation printing service, Offset Printer, Photography service, Print shop, 3D printing service",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 89801 79454,https://sites.google.com/view/princegraphics07/home,5.0,,"Bapla Rd, Panthawada, Gujarat 385545",385545,24.4977567,72.30179079999999,ChIJgx6Qzqi3XDkRgxwjC3UudI8,https://www.google.com/maps/place/?q=place_id:ChIJgx6Qzqi3XDkRgxwjC3UudI8,part_106,2026-09-20 16:40:54
Bhoomi Graphics,Printing Press and Offset Printer,Graphic designer,"Graphic designer, Print shop",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97145 64691,http://allveb.com/bhoomigraphics,4.5,,"Shop 1 Khimat, Rod, Panthawada, Gujarat 385545",385545,24.4947317,72.2981136,ChIJlcTA5HC2XDkRNmtLkGRuQvA,https://www.google.com/maps/place/?q=place_id:ChIJlcTA5HC2XDkRNmtLkGRuQvA,part_106,2026-09-20 16:40:54
PRINT WORLD,Printing Press and Offset Printer,Print shop,"Print shop, Banner store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97247 44971,N/A,4.9,15.0,"1st, Ranpur Mandali upar, Indira bhuvan(Nagarpalika), Bagicha sarkal road, Deesa, Gujarat 385535","Sindhi Market, Neminath Nagar",24.2570709,72.18001629999999,ChIJV-7QRgK9XDkRMNNqlbFT9S8,https://www.google.com/maps/place/?q=place_id:ChIJV-7QRgK9XDkRMNNqlbFT9S8,part_106,2026-09-20 16:40:55
Om Offset And Printing Press,Printing Press and Offset Printer,Print shop,Print shop,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 90165 60916,N/A,5.0,12.0,"GOLDEN PLAZA COMPLAX, Du.no,29, golden plaza complex meghraj, 10, GJ SH 146, Meghraj, Gujarat 383350",385545,23.493786099999998,73.5064242,ChIJP7YiOPhZZzkRWDbalczMbK0,https://www.google.com/maps/place/?q=place_id:ChIJP7YiOPhZZzkRWDbalczMbK0,part_106,2026-09-20 16:40:55
Shubham Graphics,Printing Press and Offset Printer,Print shop,Print shop,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 98985 80054,N/A,5.0,39.0,"G22C+R4J, NH168A, Dhanera, Gujarat 385310",385545,24.5087509,72.0199315,ChIJhfoc2aOrXDkRoP57T6hpQFo,https://www.google.com/maps/place/?q=place_id:ChIJhfoc2aOrXDkRoP57T6hpQFo,part_106,2026-09-20 16:40:55
Shree Paper Print,Printing Press and Offset Printer,Offset Printer,Offset Printer,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.5,4.0,"Plot No 15 Galaxy Industrial Zone B/h intricast Factory, Shapar, Gujarat 360026",385545,22.1621108,70.7899612,ChIJF8hUDJw1WDkRTgRVKH8394A,https://www.google.com/maps/place/?q=place_id:ChIJF8hUDJw1WDkRTgRVKH8394A,part_106,2026-09-20 16:40:55
Rajasthan Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Branding agency, Custom label printer, Digital printing service, Packaging company",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 95129 91272,https://rajasthanprinters.in/,4.9,144.0,"A-142, FF, Suvan Business Park, nr. Keval Kanta Road, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.0168489,72.6279311,ChIJgXKJOiaHXjkRCF2AX2LKmGY,https://www.google.com/maps/place/?q=place_id:ChIJgXKJOiaHXjkRCF2AX2LKmGY,part_106,2026-09-20 16:40:55
Naeem Printing Press,Printing Press and Offset Printer,Screen printing shop,Screen printing shop,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 84909 99964,https://www.youtube.com/@itz_lucky_8624,4.6,10.0,"near Panagarwada Masjid, Gulshan Nagar Society, Patan, Gungdipati Part, Gujarat 384265",Gulshan Nagar Society,23.847169599999997,72.11842159999999,ChIJX8vV0fKHXDkRK9uf3Kafd-I,https://www.google.com/maps/place/?q=place_id:ChIJX8vV0fKHXDkRK9uf3Kafd-I,part_106,2026-09-20 16:40:55
Gayatri printers + xerox,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Printing equipment supplier",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.8,4.0,"malekpur, Lunawada, Gujarat 389235",385545,23.235084999999998,73.7324014,ChIJP-50qUOzYDkRxdvJS1lYyto,https://www.google.com/maps/place/?q=place_id:ChIJP-50qUOzYDkRxdvJS1lYyto,part_106,2026-09-20 16:40:55
Printing press Halol Graphics,Printing Press and Offset Printer,Print shop,"Print shop, Banner store, Digital printing service, Graphic designer, Greeting card shop, Invitation printing service, Offset Printer, Rubber stamp store, Screen printing supply store, 3D printing service",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 76238 33476,N/A,4.9,136.0,"Station Rd, near Central bank, Varia Colony, Halol, Gujarat 389350",Varia Colony,22.5049986,73.47528659999999,ChIJV_pLPQ5_YDkRg4JyQrScBXc,https://www.google.com/maps/place/?q=place_id:ChIJV_pLPQ5_YDkRg4JyQrScBXc,part_106,2026-09-20 16:40:55
Kabir Enterprise printing press,Printing Press and Offset Printer,Print shop,Print shop,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 74052 09404,N/A,4.9,94.0,"Shop no -7 & 8, Shubham avanue, Bol Gam Rd, Bol, Chharodi, Gujarat 382170",385545,22.9930922,72.2631469,ChIJZ34eIWajXjkR0GlVpKZGJgA,https://www.google.com/maps/place/?q=place_id:ChIJZ34eIWajXjkR0GlVpKZGJgA,part_106,2026-09-20 16:40:55
OM PRESS,Printing Press and Offset Printer,Print shop,"Print shop, Banner store, Computer support and services, Custom t-shirt store, Digital printer, Digital printing service, Invitation printing service, Photography service, Printer ink refill store, Stationery store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 78746 42711,https://ompress.in/,5.0,256.0,"CFF-14, A.K, HIGH SCHOOL CIRCLE, Vallabh Nagar Society, Bavla, Gujarat 382220",Vallabh Nagar Society,22.8278195,72.35881429999999,ChIJy01beO6VXjkRAgzYuTeM3TE,https://www.google.com/maps/place/?q=place_id:ChIJy01beO6VXjkRAgzYuTeM3TE,part_106,2026-09-20 16:40:55
