business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NILESH TRADERS,Rice and Grain Merchant,Indian grocery store,Indian grocery store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 99249 87517,N/A,4.8,,"near Sihor Nagrik Bank, near Mehndi Chowk, Danapith, Darbargadh, Bhavnagar, Gujarat 364001","Danapith, Darbargadh",21.7805964,72.1434699,ChIJmb87ocBbXzkRtPB05DK0t6g,https://www.google.com/maps/place/?q=place_id:ChIJmb87ocBbXzkRtPB05DK0t6g,part_106,2026-09-20 16:40:31
"Shri Krushna Sudama Flour, Rice mill and Masala",Rice and Grain Merchant,Rice mill,Rice mill,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97242 48625,https://www.instagram.com/shri_krushna_sudama?igsh=MW94Z21kb2JteWV2aA==,5.0,,"Nadiad-Khambhat Highway Rd, Chowkdi, Virsad, Borsad, Gujarat 388580",Chowkdi,22.3946875,72.7739375,ChIJXcS97QmrXzkR1wVqhCDSJ2Y,https://www.google.com/maps/place/?q=place_id:ChIJXcS97QmrXzkR1wVqhCDSJ2Y,part_106,2026-09-20 16:40:32
Rice mill,Rice and Grain Merchant,Food Processing Company,Food Processing Company,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 87589 20956,N/A,5.0,,"char rasta . Post segupada, taluka songadh, Jharali, Gujarat 394365",385545,21.0963918,73.5726059,ChIJAYpb0RDT3zsR8jTQZJJmpWI,https://www.google.com/maps/place/?q=place_id:ChIJAYpb0RDT3zsR8jTQZJJmpWI,part_106,2026-09-20 16:40:32
M.R. Agro Industries,Rice and Grain Merchant,Agricultural Seed Store,Agricultural Seed Store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 98250 82144,http://www.mragroindustries.com/,4.7,,"Unjha, Gujarat 384170",385545,23.804620999999997,72.408791,ChIJu2N4SMdeXDkRa5aP2Q-iRZM,https://www.google.com/maps/place/?q=place_id:ChIJu2N4SMdeXDkRa5aP2Q-iRZM,part_106,2026-09-20 16:40:32
Swati Agro Products,Rice and Grain Merchant,Food Processing Company,"Food Processing Company, Dry Fruit Store, Food manufacturing supply",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 98984 37677,https://swati-agro-products.grexa.site/,4.8,,"serve no. 405, 2 ,City, To,Bhavisana, bhavisana to sagrosana road, Palanpur, Gujarat 385001",385545,24.1410785,72.3624595,ChIJFXUBJe7tXDkRhK9px_S6mmU,https://www.google.com/maps/place/?q=place_id:ChIJFXUBJe7tXDkRhK9px_S6mmU,part_106,2026-09-20 16:40:32
Agro Food Grains,Rice and Grain Merchant,Agricultural service,"Agricultural service, Exporter, Importer",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 99099 86164,https://www.agrofoodgrains.com/,4.7,,"Survey No. 183/3, sanand road, opposite Kapil Agro, Lodariyal, Bavla, Gujarat 382220",Lodariyal,22.8607364,72.3668253,ChIJPYOxZHeWXjkR_JXA4bVUsI8,https://www.google.com/maps/place/?q=place_id:ChIJPYOxZHeWXjkR_JXA4bVUsI8,part_106,2026-09-20 16:40:32
Raja Pulse Mill,Rice and Grain Merchant,Manufacturer,"Manufacturer, Food manufacturing supply, Food products supplier, Rice mill",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 94080 08981,https://www.rajapulsemill.com/,5.0,,"post :, Near Mehtapura railway crossing Idar, ambaji road, Dhandha, Savgadh, Gujarat 383001","Rangpur Village, Mehtapura",23.6212418,72.9649748,ChIJlR65QRm5XTkRwzzol1pNuvc,https://www.google.com/maps/place/?q=place_id:ChIJlR65QRm5XTkRwzzol1pNuvc,part_106,2026-09-20 16:40:32
Bajrang Traders,Rice and Grain Merchant,Wholesale grocer,"Wholesale grocer, Grocery store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 94297 37566,N/A,5.0,,"7, market yard, road, Sardar Bagh, Kadi, Gujarat 382715",Sardar Bagh,23.2941215,72.3298842,ChIJHRTOy0IZXDkRJ6wngIyDf70,https://www.google.com/maps/place/?q=place_id:ChIJHRTOy0IZXDkRJ6wngIyDf70,part_106,2026-09-20 16:40:32
"Shri Hari Rice Mill - Gujarat 17 Rice, Krishna Kamod, Khambhat, India",Rice and Grain Merchant,Rice mill,Rice mill,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 98253 28583,http://www.shrihariricemill.com/,4.1,,"Plot No 207/207-P, G.I.D.C Kansari, Khambhat, Gujarat 388630","Kansari, G.I.D.C",22.334059999999997,72.645741,ChIJU0nvRTMBXzkR_n9cb4p8uTs,https://www.google.com/maps/place/?q=place_id:ChIJU0nvRTMBXzkR_n9cb4p8uTs,part_106,2026-09-20 16:40:32
SYPRAM WORLD TRADE PVT.LTD.,Rice and Grain Merchant,Rice mill,Rice mill,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,5.0,,"ROAD, Tarapur, Gujarat 388180",385545,22.508309099999998,72.6437582,ChIJg2KutWX_XjkRQ9rzP3BTXbc,https://www.google.com/maps/place/?q=place_id:ChIJg2KutWX_XjkRQ9rzP3BTXbc,part_106,2026-09-20 16:40:32
