business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radhika Shoppers Palace,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Designer Clothing Store, Formal Clothing Store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97272 40395,https://radhikashoppers.com/,4.5,241.0,"Dr, Gandhi Rd, Ganotri Society, Himatnagar, Gujarat 383001",Ganotri Society,23.5983129,72.9614625,ChIJ1wpA8O64XTkRz1-SJfOCOiY,https://www.google.com/maps/place/?q=place_id:ChIJ1wpA8O64XTkRz1-SJfOCOiY,part_106,2026-09-20 16:40:35
Veeha Creation,Womens Ethnic Wear and Kurti,Manufacturer,Manufacturer,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 76220 36767,http://kurtismanufacturer.co.in/,4.7,22.0,"Ground Floor, Safal 2, Sumel Business Park-2, C - 173, near Vanijya Bhavan, Kankaria, Ahmedabad, Gujarat 380001",Kankaria,23.0122236,72.6028118,ChIJTWjWcmmEXjkRTYx0sHmTXlA,https://www.google.com/maps/place/?q=place_id:ChIJTWjWcmmEXjkRTYx0sHmTXlA,part_106,2026-09-20 16:40:35
Style Hub,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.9,31.0,"Shop No. 3 (Style Hub), Green Park-2, Opposite Modi Nagar Ground, Eidgah Road, Bhagdawada, Valsad, Gujarat 396001","Green Park, Bhagdawada",20.614532099999998,72.9200752,ChIJC4Hlj8np4DsRvJk3YHBYYlc,https://www.google.com/maps/place/?q=place_id:ChIJC4Hlj8np4DsRvJk3YHBYYlc,part_106,2026-09-20 16:40:36
VAIDEHI APPARELS,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97900 24365,N/A,5.0,10.0,"first floor, S9 IMPERIAL, Shop-105, ABU road highway, above zudio store, Tirupati Rajnagar, Palanpur, Gujarat 385001",Tirupati Rajnagar,24.189246999999998,72.424324,ChIJC7DHtcfrXDkRUx_EYscwle0,https://www.google.com/maps/place/?q=place_id:ChIJC7DHtcfrXDkRUx_EYscwle0,part_106,2026-09-20 16:40:36
Biba Apparels- Latest Designer Kurtis,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Clothing manufacturer, Clothing Accessories Store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 278 252 0015,http://www.biba.in/?utm_source=Google&utm_medium=Organic%20Search&utm_term=Bhavnagar-BHV&utm_campaign=Listing,5.0,616.0,"Shop No.2, EVA complex, Waghawadi Rd., opp. Gulista Ground, Hill Drive, Bhavnagar, Gujarat 364001",Hill Drive,21.7586533,72.1460894,ChIJyzi9dndaXzkR3H2ofiZEFCE,https://www.google.com/maps/place/?q=place_id:ChIJyzi9dndaXzkR3H2ofiZEFCE,part_106,2026-09-20 16:40:36
BIBA'S LADIES FASHION,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 81285 54747,https://bibas.getmyweb.in/,3.8,76.0,"G-15, VK Plaza, opp. chaturbhuj bag, Egara, Patan, Gujarat 384265",Egara,23.8516463,72.1222508,ChIJn0HHuO2HXDkRgG3uhANqz-Y,https://www.google.com/maps/place/?q=place_id:ChIJn0HHuO2HXDkRgG3uhANqz-Y,part_106,2026-09-20 16:40:36
Outfits Selection,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 98253 68568,https://outfits-selection.grexa.site/,4.8,25.0,"Outfits selection, near kdcc bank, Dayapar, Gujarat 370630",385545,23.6344444,68.9006512,ChIJBe5ErIgnUjkRWsok2TFJlQw,https://www.google.com/maps/place/?q=place_id:ChIJBe5ErIgnUjkRWsok2TFJlQw,part_106,2026-09-20 16:40:36
Bhakti Outfit,Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 83204 51019,N/A,5.0,21.0,"2-GF, Gayatri Mandir Rd, opp. Panna Park Road, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.5946088,72.9732997,ChIJyR5kMCa5XTkRxm5tBRY0DIA,https://www.google.com/maps/place/?q=place_id:ChIJyR5kMCa5XTkRxm5tBRY0DIA,part_106,2026-09-20 16:40:36
Trendy Girl,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Clothing store",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 76240 10555,N/A,4.3,21.0,"Yeah Plaza, G 11.12, Rajmahel Rd, chamunda society, Patan, Gujarat 384265",chamunda society,23.855814799999997,72.1297771,ChIJYywkHkqHXDkRTTu11jKXGXA,https://www.google.com/maps/place/?q=place_id:ChIJYywkHkqHXDkRTTu11jKXGXA,part_106,2026-09-20 16:40:36
Gorani fashionware,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 80004 61932,N/A,4.9,46.0,"Station Rd, Khedbrahma, Gujarat 383255",385545,24.030081799999998,73.042971,ChIJG16U7uwLXTkRxm3QHqPlK8A,https://www.google.com/maps/place/?q=place_id:ChIJG16U7uwLXTkRxm3QHqPlK8A,part_106,2026-09-20 16:40:36
