business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KIRAN NUTRITION AND FITNESS CENTER,Yoga Center,Health consultant,Health consultant,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,https://www.instagram.com/fitprocoachdipak/,5.0,2.0,"SHOP NO 4, BHUDEV COMPLEX, near POLICE STATION, Panthawada, Gujarat 385545",385545,24.4938485,72.3015948,ChIJ-ZPmThy3XDkRw0MQ_MQLdBI,https://www.google.com/maps/place/?q=place_id:ChIJ-ZPmThy3XDkRw0MQ_MQLdBI,part_106,2026-09-20 16:40:41
Sree Shomapuri Gaushala Ashram,Yoga Center,Ashram,Ashram,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.9,9.0,"83PV+9GG, Sherpura, Gujarat 385535",385545,24.3359369,72.093829,ChIJXzte81WkXDkR89ILO5s-S08,https://www.google.com/maps/place/?q=place_id:ChIJXzte81WkXDkR89ILO5s-S08,part_106,2026-09-20 16:40:41
HariPrem Gym,Yoga Center,Gym,Gym,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,N/A,4.6,13.0,"F8W2+XJ2, Panthawada, Gujarat 385545",385545,24.497388899999997,72.3015169,ChIJk5YdAHS2XDkRbsofE458_q0,https://www.google.com/maps/place/?q=place_id:ChIJk5YdAHS2XDkRbsofE458_q0,part_106,2026-09-20 16:40:41
Art of Living Yoga & Meditation centre,Yoga Center,Yoga instructor,Yoga instructor,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 77367 87077,https://wa.me/+917736787077,5.0,16.0,"Radhe Skyline, B604, Sanand, Gujarat 382110",Narmada Vasahat,22.9883764,72.3899299,ChIJmaeNbQiZXjkR1X8wD0pu1yg,https://www.google.com/maps/place/?q=place_id:ChIJmaeNbQiZXjkR1X8wD0pu1yg,part_106,2026-09-20 16:40:41
JAYMIT YOGA WITH PRACHI SHAH STUDIO,Yoga Center,Yoga studio,Yoga studio,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 75670 24018,https://www.jaymityoga.com/,5.0,,"First Floor, Shop no. 15, 16, 17, Apple Plaza, Patiya, Valiya Road, Kapodra, Ankleshwar, Gujarat 393002",Kapodra,21.5953128,73.01248559999999,ChIJm0eXXlMj4DsRYW64B01dwPw,https://www.google.com/maps/place/?q=place_id:ChIJm0eXXlMj4DsRYW64B01dwPw,part_106,2026-09-20 16:40:41
"Ankit Yoga Center - Meditation, Strength Training & Fitness Center",Yoga Center,Yoga studio,"Yoga studio, Fitness center, Wellness center, Yoga instructor",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 97375 52635,https://instagram.com/ankityogastudio?igshid=OGQ5ZDc2ODk2ZA==,4.8,,"Samir 2/6, Balmukund Society, Nirmala Convent Rd, behind Jyoti Apartment, Africa Colony-6, Balmukund Plot, Rajkot, Gujarat 360007","Africa Colony-6, Balmukund Plot",22.2929696,70.77673469999999,ChIJo358EwXLWTkRDEKoZPjhmSM,https://www.google.com/maps/place/?q=place_id:ChIJo358EwXLWTkRDEKoZPjhmSM,part_106,2026-09-20 16:40:41
Namaste Yoga Centre,Yoga Center,Yoga instructor,Yoga instructor,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,https://www.instagram.com/namasteyogakadi/profilecard/?igsh=MW90dHV1N3VlYXdy,5.0,,"Riddhi Siddhi square, S-2, Karan Nagar Rd, Kadi, Gujarat 384440",385545,23.2890375,72.3470238,ChIJ4ZsdkzMjXDkR3F-dpjHDJhk,https://www.google.com/maps/place/?q=place_id:ChIJ4ZsdkzMjXDkR3F-dpjHDJhk,part_106,2026-09-20 16:40:41
Nilkanth yog center,Yoga Center,Fitness center,Fitness center,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 99041 17185,N/A,5.0,,"Paliyad Rd, Botad, Gujarat 364710",385545,22.184859,71.6449152,ChIJB6WlzbDdWDkRYzrbJcEAClE,https://www.google.com/maps/place/?q=place_id:ChIJB6WlzbDdWDkRYzrbJcEAClE,part_106,2026-09-20 16:40:41
Yoga Arogya Center,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Yoga instructor, Yoga Retreat Center",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 84601 74186,http://www.yogaarogyacenter.com/,4.9,,"1st Floor, Samarth Acquisti, UG - 7, New City Light Rd, near St. Thomas School, New Tirumala, Bharthana, Surat, Gujarat 395007","New Tirumala, Bharthana",21.1486782,72.7975542,ChIJab9D1KNP4DsRtR1v9-F3Umg,https://www.google.com/maps/place/?q=place_id:ChIJab9D1KNP4DsRtR1v9-F3Umg,part_106,2026-09-20 16:40:41
Yogi Bintu Chheda,Yoga Center,Yoga instructor,Yoga instructor,385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",N/A,https://www.youtube.com/channel/UCylvCIQc_abUj6fRal-2XEw,5.0,,"Riddhi-Siddhi Apartments, Halar Rd, Dharampur, Nana Taiwad, Valsad, Gujarat 396001","Dharampur, Nana Taiwad",20.611338099999998,72.9276215,ChIJcSG9TzbD4DsRolHIXcv5VJk,https://www.google.com/maps/place/?q=place_id:ChIJcSG9TzbD4DsRolHIXcv5VJk,part_106,2026-09-20 16:40:41
"Jaymit Yoga Studio - Basic Yoga, Advance Yoga, Meditation, Pre-post Natal Yoga Services",Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Personal trainer, Physical fitness program, Weight loss service, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO",+91 72030 46921,https://www.instagram.com/yoga_jaymit?igsh=MWFseXF1bGt2Y3g1ZA%3D%3D&utm_source=qroga.com/,4.9,,"2nd Floor, Avadhpuri complex, Tulsidham Rd, opposite to rameshwar park society, Near Tulsidham, Bharuch, Gujarat 392012","Near Tulsidham, Aalekh Society, Bholav",21.7181262,73.0203939,ChIJM-mBDREh4DsRE2YyV8EYXtY,https://www.google.com/maps/place/?q=place_id:ChIJM-mBDREh4DsRE2YyV8EYXtY,part_106,2026-09-20 16:40:41
