business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HR Executive,HR Planning and Recruitment,Information services,Information services,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",N/A,N/A,5.0,1.0,"Bhagwatikrupa Society, Bopal, Ahmedabad, Gujarat 380058","Bhagwatikrupa Society, Bopal",23.0336769,72.4634117,ChIJk5Et0NabXjkRDVSYCmoYoyY,https://www.google.com/maps/place/?q=place_id:ChIJk5Et0NabXjkRDVSYCmoYoyY,part_106,2026-09-20 16:41:32
Government Jobs India,HR Planning and Recruitment,Unemployment office,Unemployment office,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",N/A,N/A,5.0,2.0,"14-1 aathamni party, near hospital, taluko- sarswati, dist-, Kotavad, Gujarat 384266",385550,23.921189,72.21199299999999,ChIJBU0teD-JXDkREJ6pqG_2siM,https://www.google.com/maps/place/?q=place_id:ChIJBU0teD-JXDkREJ6pqG_2siM,part_106,2026-09-20 16:41:32
TATKAL SEVA CONSULTANTS,HR Planning and Recruitment,Employment agency,"Employment agency, Consultant, Employment consultant, Employment center, Unemployment office",385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",N/A,http://tatkaljobs.com/,4.8,,"F 7/8, Aradhana, Near, near Pashupatinath Mandir Road, Ami Colony, GIDC, Ankleshwar GIDC, Ankleshwar, Gujarat 393002","Ami Colony, GIDC, Ankleshwar GIDC",21.6039393,73.0175345,ChIJz3_Mj70j4DsR3_RsJ1m8424,https://www.google.com/maps/place/?q=place_id:ChIJz3_Mj70j4DsR3_RsJ1m8424,part_106,2026-09-20 16:41:33
Techno Wise,HR Planning and Recruitment,Employment agency,"Employment agency, BPO Placement Agency, Consultant, Employment consultant",385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",+91 96870 59590,http://www.technowise.co.in/,4.6,,"Ratnaakar Nine Square, opp. Itc Narmada, Keshavbaugh, Vastrapur, Ahmedabad, Gujarat 380015","Keshavbaugh, Vastrapur",23.0287662,72.53017779999999,ChIJEQ6cI8mEXjkR-NLXwUwVJnM,https://www.google.com/maps/place/?q=place_id:ChIJEQ6cI8mEXjkR-NLXwUwVJnM,part_106,2026-09-20 16:41:33
We hire for you - HR consultants,HR Planning and Recruitment,Employment agency,Employment agency,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",+91 98256 91033,N/A,5.0,,"125, Shukan Mall, Visat cross roads, Rangjyot Society, Parvati Nagar, Sabarmati, Ahmedabad, Gujarat 380005","Rangjyot Society, Parvati Nagar, Sabarmati",23.098591,72.589854,ChIJbQf3IriDXjkR4RE2f4gPUMY,https://www.google.com/maps/place/?q=place_id:ChIJbQf3IriDXjkR4RE2f4gPUMY,part_106,2026-09-20 16:41:33
SHIV HR SOLUTIONS,HR Planning and Recruitment,Employment consultant,"Employment consultant, Contractor, Payroll Service Provider",385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",+91 95103 37578,http://shivhr.in/,4.7,,"Platinum Arcade, F- 5, near Ghodagadi Stand, Dambha, Sanand, Gujarat 382110",Dambha,22.9960575,72.3816247,ChIJnbiODlWZXjkRWNZZN0nzIt8,https://www.google.com/maps/place/?q=place_id:ChIJnbiODlWZXjkRWNZZN0nzIt8,part_106,2026-09-20 16:41:34
RUHI CONSULTANT,HR Planning and Recruitment,Employment consultant,Employment consultant,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",N/A,https://www.ruhiconsultant.in/,5.0,,"Veraval Main Rd, Shapar, Veraval, Gujarat 360024",385550,22.157380099999997,70.7970094,ChIJb5d78oU1WDkRlMYESOLxqFk,https://www.google.com/maps/place/?q=place_id:ChIJb5d78oU1WDkRlMYESOLxqFk,part_106,2026-09-20 16:41:34
Dhvani consultancy,HR Planning and Recruitment,Employment agency,Employment agency,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",+91 73838 02737,http://www.dhvaniconsultancy.com/,2.7,,"Shop No :- 103, Vinay Appartment Tarsadi, Kosamba(R.S) - 394120 Ta:-Mangrol, Dist:, Kosamba, Gujarat 394120",Khanji Patel Chowl Vistar,21.459178599999998,72.9493493,ChIJSe5n8e074DsRi8fFXexMAR8,https://www.google.com/maps/place/?q=place_id:ChIJSe5n8e074DsRi8fFXexMAR8,part_106,2026-09-20 16:41:34
Platinum HR Services,HR Planning and Recruitment,Employment agency,Employment agency,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",N/A,N/A,,,"Avsar Plaza, 110, Radhanpur Rd, nr. Riya Showroom, Panchot, Mehsana, Gujarat 384005",385550,23.6465176,72.3063227,ChIJTR3gQ0doXDkRqCdT9fBZefk,https://www.google.com/maps/place/?q=place_id:ChIJTR3gQ0doXDkRqCdT9fBZefk,part_106,2026-09-20 16:41:34
PLATINUM HR SOLUTIONS,HR Planning and Recruitment,Serviced accommodation,Serviced accommodation,385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO",+91 74359 39112,N/A,4.3,,"Kunal, Mehsana, Gujarat 384002",Kunal,23.6116755,72.3600616,ChIJQYsHRcxDXDkRYe8NTxchZ78,https://www.google.com/maps/place/?q=place_id:ChIJQYsHRcxDXDkRYe8NTxchZ78,part_106,2026-09-20 16:41:34
