business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahesh Thakor,Guesthouse,Guest house,Guest house,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 99780 99273,N/A,5.0,1.0,"Nava runi khariya banaskantha Nava Runi Nava Runi Runi Patan, Gujarat 385560",385560,23.9368004,71.8185895,ChIJyyTXa1V7WzkRvX-OQvFdfHg,https://www.google.com/maps/place/?q=place_id:ChIJyyTXa1V7WzkRvX-OQvFdfHg,part_106,2026-09-20 16:42:33
ખેંગારપૂરા દરબાર ગઢ,Guesthouse,Lodge,Lodge,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",N/A,N/A,4.0,1.0,"WRG2+74G, Unnamed Road, Bhadrevadi, Gujarat 385560",385560,23.9256976,71.8003404,ChIJH4U2Xqx7WzkRd30H5BRRFok,https://www.google.com/maps/place/?q=place_id:ChIJH4U2Xqx7WzkRd30H5BRRFok,part_106,2026-09-20 16:42:33
RAMYA STAY INN,Guesthouse,Guest house,Guest house,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 98794 86300,N/A,4.3,148.0,"RJPC+7H6, Bhabhar 3 rasta, and, near car care, near Shantikung society, Vinayak Nagar, Radhanpur, Gujarat 385340",Vinayak Nagar,23.836271399999998,71.621068,ChIJIzUSlm91WzkRenR3AT-mbUw,https://www.google.com/maps/place/?q=place_id:ChIJIzUSlm91WzkRenR3AT-mbUw,part_106,2026-09-20 16:42:33
MADHAV ROOM'S,Guesthouse,Home Stay,Home Stay,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",N/A,N/A,5.0,58.0,"RJJQ+9C2, Sinad, Gujarat 385340",385560,23.832416,71.638147,ChIJazpdJwB1WzkRYxz4CVntTeE,https://www.google.com/maps/place/?q=place_id:ChIJazpdJwB1WzkRYxz4CVntTeE,part_106,2026-09-20 16:42:33
OYO 62244 Hotel Dwarkesh Inn,Guesthouse,Hotel,Hotel,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 8071 515 210,https://www.oyorooms.com/83731/,4.0,61.0,"1st floor, Bhabhar Highway Road, near Shantikunj Society, Vinayak Nagar, Radhanpur, Gujarat 385340",Vinayak Nagar,23.836022999999997,71.621562,ChIJcyzxeid1WzkR226LwCBlUhs,https://www.google.com/maps/place/?q=place_id:ChIJcyzxeid1WzkR226LwCBlUhs,part_106,2026-09-20 16:42:33
Hotel Thakar & Guesthouse,Guesthouse,Guest house,Guest house,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 6355 737 161,N/A,,,"Vinayak Nagar, Radhanpur, Gujarat 385340",Vinayak Nagar,23.8371666,71.62029849999999,ChIJqy7D5zd1WzkR9OO7Qo0C04Q,https://www.google.com/maps/place/?q=place_id:ChIJqy7D5zd1WzkR9OO7Qo0C04Q,part_106,2026-09-20 16:42:33
Yoyo hotel,Guesthouse,Hotel,Hotel,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 99982 36218,N/A,3.6,668.0,"RJJJ+WQ4, Sardarpura, Santalpur - Palanpur Hwy, Vinayak Nagar, Radhanpur, Sinad, Gujarat 385340",Vinayak Nagar,23.8322425,71.6319893,ChIJtXipolF0WzkRY9gBSUPn1Ig,https://www.google.com/maps/place/?q=place_id:ChIJtXipolF0WzkRY9gBSUPn1Ig,part_106,2026-09-20 16:42:33
Pawan Resort,Guesthouse,Hotel,Hotel,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",N/A,N/A,4.0,,"CM33+G8W, Banaskantha, Gujarat 385130",385560,24.40385,72.6533233,ChIJAQfPVQbZXDkR1Q1SvqPq5Xk,https://www.google.com/maps/place/?q=place_id:ChIJAQfPVQbZXDkR1Q1SvqPq5Xk,part_106,2026-09-20 16:42:34
HOTEL RAJWADI /BHARKAWADA,Guesthouse,Family restaurant,Family restaurant,385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 93288 16798,N/A,4.3,,"Bharkavada, Chhapi, Gujarat 385520",385560,24.0429238,72.3886634,ChIJHzNqM3_zXDkRQ4zB-sLfQic,https://www.google.com/maps/place/?q=place_id:ChIJHzNqM3_zXDkRQ4zB-sLfQic,part_106,2026-09-20 16:42:34
Hotel Tulsi And Restaurant,Guesthouse,Hotel,"Hotel, Breakfast restaurant, Smart shop, Vegetarian restaurant",385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO",+91 97231 64224,N/A,4.0,,"Vajegadh, Gujarat 385565",385560,24.384849499999998,71.6326236,ChIJFXrxxBpJWzkRZGDfTj6pJ-Q,https://www.google.com/maps/place/?q=place_id:ChIJFXrxxBpJWzkRZGDfTj6pJ-Q,part_106,2026-09-20 16:42:34
