business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
wholesaler ladies undergarments,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Lingerie manufacturer",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 88963 69577,N/A,5.0,14.0,"SHOP NO. 16, GARG MARKET, opposite Mumtaz Market, Pratap Market, Kamla Market, Swadeshi Market, Aminabad, Lucknow, Uttar Pradesh 226018","Pratap Market, Kamla Market, Swadeshi Market, Aminabad",26.845728299999998,80.9253557,ChIJzRSHV7f9mzkR4amBH7Vh_rc,https://www.google.com/maps/place/?q=place_id:ChIJzRSHV7f9mzkR4amBH7Vh_rc,part_106,2026-09-20 16:45:45
Payal Hosiery,Hosiery and Undergarments Wholesaler,Lingerie store,"Lingerie store, Bridal shop, Children's clothing store, Clothing store, Maternity store, Men's clothing store, Plus Size Clothing Store, Sportswear store, Underwear store, Women's clothing store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 99228 56045,N/A,4.9,121.0,"1,Lele Sankul, Baliram Peth, Jalgaon, Maharashtra 425001","JDCC Bank Colony, Baliram Peth",21.0168015,75.5682574,ChIJI-I9yaMP2TsRj1ayxIcgAjM,https://www.google.com/maps/place/?q=place_id:ChIJI-I9yaMP2TsRj1ayxIcgAjM,part_106,2026-09-20 16:45:45
Mahalaxmi Hosiery Nagpur,Hosiery and Undergarments Wholesaler,Clothing store,Clothing store,387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 97301 28331,N/A,3.8,10.0,"Mahalaxmi hosiery, Itwari, Nagpur, Maharashtra 440002",Itwari,21.154080099999998,79.1083708,ChIJ1Xq_6m3B1DsRe_3HD63Lo6g,https://www.google.com/maps/place/?q=place_id:ChIJ1Xq_6m3B1DsRe_3HD63Lo6g,part_106,2026-09-20 16:45:45
Prakash Cap Depot Pvt.Ltd.,Hosiery and Undergarments Wholesaler,Clothing wholesaler,"Clothing wholesaler, Lingerie store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 99754 70807,N/A,4.4,53.0,"48XC+J2J, Dadashri, M G Road, Old Mondha, Hyder Bagh, Dashmesh Nagar, Harsh Nagar, Nanded, Maharashtra 431604","Old Mondha, Hyder Bagh, Dashmesh Nagar, Harsh Nagar",19.1490915,77.3200158,ChIJl3LQETjW0TsRdxY6we8ksBg,https://www.google.com/maps/place/?q=place_id:ChIJl3LQETjW0TsRdxY6we8ksBg,part_106,2026-09-20 16:45:45
Sikka Traders,Hosiery and Undergarments Wholesaler,Clothing store,Clothing store,387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 94154 42295,N/A,4.5,,"33/197, Ar Rashidiyyah, Mani Ram Bagia, General Ganj, Kanpur, Uttar Pradesh 208001","Ar Rashidiyyah, Mani Ram Bagia, General Ganj",26.4673506,80.3502591,ChIJRZZc2lhHnDkRfBUrUH3-W3M,https://www.google.com/maps/place/?q=place_id:ChIJRZZc2lhHnDkRfBUrUH3-W3M,part_106,2026-09-20 16:45:46
S.K. Hosiery House,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Clothing Accessories Store, Lingerie store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 731 490 2664,N/A,4.8,,"153, 153, Ranipura Main Rd, Ranipura, Siyaganj, Indore, Madhya Pradesh 452007","Ranipura, Siyaganj",22.7176469,75.8630022,ChIJEZRiXG39YjkRH6Moe0UCZZ8,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkRH6Moe0UCZZ8,part_106,2026-09-20 16:45:46
Mansi Creation,Hosiery and Undergarments Wholesaler,Lingerie wholesaler,"Lingerie wholesaler, Men's clothing store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 94250 76481,https://sites.google.com/view/bestpricehosiery/Home,4.4,,"8, Lal Gali, near Kothari market, Khatipura, Indore, Madhya Pradesh 452007",Khatipura,22.719617799999998,75.8616308,ChIJNXqbSQz9YjkRqJldWMnG-wk,https://www.google.com/maps/place/?q=place_id:ChIJNXqbSQz9YjkRqJldWMnG-wk,part_106,2026-09-20 16:45:46
Jagat Singh Kwatra Southend,Hosiery and Undergarments Wholesaler,Lingerie store,"Lingerie store, Clothing store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 98100 73212,N/A,4.2,,"Sahyog Building, 58, NEHRU PLACE-2, G-3, Nehru Place, New Delhi, Delhi 110019",Nehru Place,28.548772,77.2524483,ChIJq6qqms_jDDkRIiariEjepMk,https://www.google.com/maps/place/?q=place_id:ChIJq6qqms_jDDkRIiariEjepMk,part_106,2026-09-20 16:45:46
HARSHU FASHION,Hosiery and Undergarments Wholesaler,Clothing store,"Clothing store, Baby clothing store, Clothes market, Lingerie store, Lingerie wholesaler, Sportswear store, Swimwear store, Underwear store, Wholesale market, Youth clothing store",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 85285 28484,https://www.harshufashion.com/,4.8,,"Plot No- 674, Mahalaxmi Plaza, PLOT NO 674/1, Shakti Khand III, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Shakti Khand III, Indirapuram",28.6517263,77.3680705,ChIJL1h9ha_6DDkRHjkO9AU2o_k,https://www.google.com/maps/place/?q=place_id:ChIJL1h9ha_6DDkRHjkO9AU2o_k,part_106,2026-09-20 16:45:46
Bodycare Creations Limited,Hosiery and Undergarments Wholesaler,Lingerie manufacturer,"Lingerie manufacturer, Sportwear manufacturer",387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 120 468 6400,http://www.ebodycare.in/,3.7,,"D Block, Sector 63, Noida, Uttar Pradesh 201301","D Block, Sector 63",28.6255088,77.38234039999999,ChIJpZZLF_fvDDkRs7fx06D85Bo,https://www.google.com/maps/place/?q=place_id:ChIJpZZLF_fvDDkRs7fx06D85Bo,part_106,2026-09-20 16:45:46
Enna enterprises,Hosiery and Undergarments Wholesaler,Clothing store,Clothing store,387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",N/A,N/A,4.9,,"E 267 ground floor, Block F, Shastri Nagar, Delhi, 110052","Block F, Shastri Nagar",28.671474699999997,77.1758169,ChIJEwF72ocDDTkRq2TJKf_wNTM,https://www.google.com/maps/place/?q=place_id:ChIJEwF72ocDDTkRq2TJKf_wNTM,part_106,2026-09-20 16:45:46
Satish Hosiery,Hosiery and Undergarments Wholesaler,Clothing store,Clothing store,387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO",+91 99976 91025,N/A,4.3,,"18, Neel Gali, Lala ka Bazar, Kotla Bazaar, Subhash Bazaar, Meerut, Uttar Pradesh 250002","Lala ka Bazar, Kotla Bazaar, Subhash Bazaar",28.9782104,77.70122309999999,ChIJTQMxivdkDDkRNBcuynzvj5c,https://www.google.com/maps/place/?q=place_id:ChIJTQMxivdkDDkRNBcuynzvj5c,part_106,2026-09-20 16:45:46
