business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Naresh Sonesa - Digital Marketing Freelancer,Advertisement Agency,Internet marketing service,Internet marketing service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 96243 43024,https://bluesightmarketing.com/,4.8,18.0,"Swagat Township, 272, opposite Shyam School, Kathlal, Gujarat 387630",387635,22.900322199999998,72.99113,ChIJD0WlJy1pXjkRcBIu6G3k9M0,https://www.google.com/maps/place/?q=place_id:ChIJD0WlJy1pXjkRcBIu6G3k9M0,part_107,2026-09-20 16:40:32,6583
AdStore Advertising Agency,Advertisement Agency,Marketing agency,Marketing agency,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 70468 01106,https://adstore360.com/,4.9,14.0,"608, palladium plaza, near Mahagujarat Hospital, opp. kheta talav, Shanti Nagar, Nadiad, Gujarat 387001",Shanti Nagar,22.689030799999998,72.8709959,ChIJyf82ETpbXjkRVPKDyI7vlwI,https://www.google.com/maps/place/?q=place_id:ChIJyf82ETpbXjkRVPKDyI7vlwI,part_107,2026-09-20 16:40:32,6584
BHUMI AGENCY,Advertisement Agency,Advertising agency,Advertising agency,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98258 87245,N/A,,,"Rangila Pol, Kathlal, Gujarat 387630",387635,22.8996611,72.99108939999999,ChIJtWoWuP9pXjkR-S9ni8h2000,https://www.google.com/maps/place/?q=place_id:ChIJtWoWuP9pXjkR-S9ni8h2000,part_107,2026-09-20 16:40:32,6585
Joshi - Digital Marketing and Freelancer in Ahmedabad,Advertisement Agency,Internet marketing service,Internet marketing service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98243 53741,N/A,,,"Swagat Township, 93, Kathlal, Ahmedabad, Gujarat 387630",387635,22.900322199999998,72.99113,ChIJAUKXpTlpXjkRB1ww79CEns4,https://www.google.com/maps/place/?q=place_id:ChIJAUKXpTlpXjkRB1ww79CEns4,part_107,2026-09-20 16:40:32,6586
RP ADVERTISING,Advertisement Agency,Advertising agency,Advertising agency,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90991 47346,N/A,3.7,12.0,"Samta Party Plot, Near, Petlad Rd, Bhakti Nagar, Nadiad, Gujarat 387001",Bhakti Nagar,22.677608799999998,72.8651984,ChIJi_kWTtlaXjkRaNgd8yaibnU,https://www.google.com/maps/place/?q=place_id:ChIJi_kWTtlaXjkRaNgd8yaibnU,part_107,2026-09-20 16:40:32,6587
Om Designx,Advertisement Agency,Graphic designer,Graphic designer,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 73591 81817,https://omdesignx.com/,5.0,3.0,"Shop no.43, Nilkanth Shopping Center, Chhipadi Patiya, Ta.kathlal, kathlal, Gujarat 387635",387635,22.9572574,72.9163428,ChIJ7-4EzUFvXjkRJt-WF4UfR8E,https://www.google.com/maps/place/?q=place_id:ChIJ7-4EzUFvXjkRJt-WF4UfR8E,part_107,2026-09-20 16:40:32,6588
Bloggingbook,Advertisement Agency,Internet marketing service,Internet marketing service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,3.7,3.0,"WVRW+WPG, AT: Chhipial, TA: Kathlal, DI:, Kathlal, Gujarat 387635",387635,22.9423034,72.8968265,ChIJXV6CVoplXjkROEaJU4rYLfw,https://www.google.com/maps/place/?q=place_id:ChIJXV6CVoplXjkROEaJU4rYLfw,part_107,2026-09-20 16:40:32,6589
Inox Industrial Park,Advertisement Agency,Advertising agency,Advertising agency,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.6,27.0,"Chandial, Gujarat 382433",387635,22.9912311,72.81299299999999,ChIJZc6yVPBlXjkRDJLZbtJ152w,https://www.google.com/maps/place/?q=place_id:ChIJZc6yVPBlXjkRDJLZbtJ152w,part_107,2026-09-20 16:40:32,6590
N V TRADERS,Advertisement Agency,Marketing consultant,Marketing consultant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 73838 30888,N/A,,,"near Kuberji Mahadev, Main Bajar, Kathlal, Gujarat 387630",Main Bajar,22.898517599999998,72.990787,ChIJaZKMAR1pXjkRaq-DzLrR788,https://www.google.com/maps/place/?q=place_id:ChIJaZKMAR1pXjkRaq-DzLrR788,part_107,2026-09-20 16:40:32,6591
MANJULABEN THAKOR,Advertisement Agency,Advertising agency,Advertising agency,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 82000 12546,N/A,,,"Nilkanth Complex Amba Hotal, Road, Kathlal, Gujarat 382433",387635,22.998667299999997,72.8129585,ChIJP5FW-rJ7XjkRmvC5hB15tgg,https://www.google.com/maps/place/?q=place_id:ChIJP5FW-rJ7XjkRmvC5hB15tgg,part_107,2026-09-20 16:40:32,6592
