business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Cloud Kitchen@555,Cloud Kitchen,Restaurant,Restaurant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 73595 13755,https://zomato.onelink.me/xqzv/6y3x74v8,4.7,,"Metro Station Nawa Wadaj, G.98/1172, 1st Floor, Shivam Appartment, Gate No.2 Nr Akhbarnagar Char Rasta, nr. Vadaj, Naranpura, Ahmedabad, Gujarat 380013","Akhbar Nagar, Naranpura",23.0679832,72.56601409999999,ChIJI7b79jqDXjkRCCNu-x4a3iE,https://www.google.com/maps/place/?q=place_id:ChIJI7b79jqDXjkRCCNu-x4a3iE,part_107,2026-09-20 16:39:59,470
The Culinary Cloud Kitchen,Cloud Kitchen,Restaurant,Restaurant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 75730 19630,N/A,4.5,,"Shop No : H-5, Titanium City Center Mall, 100 Ft Prahladnagar, Road, Satellite, Ahmedabad, Gujarat 380015","Road, Satellite",23.0115737,72.5231572,ChIJBfWbWJCFXjkRG60mqLOiucE,https://www.google.com/maps/place/?q=place_id:ChIJBfWbWJCFXjkRG60mqLOiucE,part_107,2026-09-20 16:39:59,471
RK Cloud Kitchen,Cloud Kitchen,Restaurant,"Restaurant, Boys' hostel, Girls' hostel, Gym, Health food restaurant, Meal delivery, Takeout restaurant, Student dormitory, Working women's hostel",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 92745 62145,N/A,5.0,,"Shop 12, Pramukh Tiara, complex, Kudasan, Gandhinagar, Gujarat 382421","complex, Kudasan",23.1816556,72.6277416,ChIJOe7W7mkrXDkR91taWofF8dw,https://www.google.com/maps/place/?q=place_id:ChIJOe7W7mkrXDkR91taWofF8dw,part_107,2026-09-20 16:39:59,472
Tannu Cloud Kitchen,Cloud Kitchen,Indian restaurant,Indian restaurant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 77789 24661,N/A,5.0,,"3HWV+2WC, Kirtidham Society, Parvati Nagar, Acher, Ahmedabad, Gujarat 380005","Kirtidham Society, Parvati Nagar, Acher",23.0950517,72.5947721,ChIJrdGVFACDXjkRbGjYZo6nHJ8,https://www.google.com/maps/place/?q=place_id:ChIJrdGVFACDXjkRbGjYZo6nHJ8,part_107,2026-09-20 16:39:59,473
Meal On Way - Cloud Kitchen,Cloud Kitchen,Barber shop,Barber shop,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.8,,"GANESH GLORY, C-104, Sarkhej - Gandhinagar Hwy, above IDFC Bank, near BSNL office, Gota, Ahmedabad, Gujarat 382470",Gota,23.1142127,72.5406531,ChIJHYG9V3eDXjkRcnnqXQJkhhA,https://www.google.com/maps/place/?q=place_id:ChIJHYG9V3eDXjkRcnnqXQJkhhA,part_107,2026-09-20 16:39:59,474
Daily cloud kitchen,Cloud Kitchen,Tiffin Service Provider,"Tiffin Service Provider, Health food store, Meal delivery",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 87993 18855,http://www.dailycloudkitchen.com/,4.4,,"Makarba, Ahmedabad, Gujarat 380051",Makarba,22.999408,72.5044442,ChIJtc_MHh2bXjkRMWoVVyn3K0c,https://www.google.com/maps/place/?q=place_id:ChIJtc_MHh2bXjkRMWoVVyn3K0c,part_107,2026-09-20 16:39:59,475
The Cloud Kitchen,Cloud Kitchen,Fast food restaurant,Fast food restaurant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93138 04396,N/A,,,"7 Pushpanjali App Krishnakunj Soc, Bhairavnath Rd, opp. Pranshankar Hall, Kankaria, Ahmedabad, Gujarat 380028","Kankaria, Maninagar",23.0009382,72.5971671,ChIJmSrOVTOFXjkRqLVOy8TaEqw,https://www.google.com/maps/place/?q=place_id:ChIJmSrOVTOFXjkRqLVOy8TaEqw,part_107,2026-09-20 16:39:59,476
Shukan Cloud Kitchen,Cloud Kitchen,Fast food restaurant,Fast food restaurant,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 79844 69998,https://link.zomato.com/xqzv/rshare?id=12739537730563332,4.2,5.0,"PANCHVATI COMPLEX, 101, Lathi Rd, Sukhniwas Colony, Amreli, Gujarat 365601",Sukhniwas Colony,21.6089789,71.2214451,ChIJ0et37ZyBWDkR5VMXf9nmkb4,https://www.google.com/maps/place/?q=place_id:ChIJ0et37ZyBWDkR5VMXf9nmkb4,part_107,2026-09-20 16:39:59,477
Jay's Cloud Kitchen,Cloud Kitchen,Takeout restaurant,"Takeout restaurant, Meal delivery",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 88492 44424,N/A,5.0,3.0,"Block No - 21, Ekjan Society, Airport Main Rd, Patrakar Society, Maruti Nagar, Rajkot, Gujarat 360006","Patrakar Society, Maruti Nagar",22.3102418,70.78625199999999,ChIJpydXRlLJWTkRoTfteKereW8,https://www.google.com/maps/place/?q=place_id:ChIJpydXRlLJWTkRoTfteKereW8,part_107,2026-09-20 16:39:59,478
"Chhipdi, Gujarat 387635",Cloud Kitchen,Postal code,Postal code,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,,,"Chhipdi, Gujarat",387635,22.969820799999997,72.9283391,ChIJBQ6MLwtvXjkRaAcw2-_1O4o,https://www.google.com/maps/place/?q=place_id:ChIJBQ6MLwtvXjkRaAcw2-_1O4o,part_107,2026-09-20 16:40:00,479
