business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Siddhi Institute Coaching for CA,CS,ICWA,BCOM,MCOM,BBA,MBA,11&12,CPA,CMA",Commerce and CA Coaching,Coaching Center,"Coaching Center, Educational institution, Foreign Exchange Students Organization",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 88661 11140,http://www.siddhiinstitute.co.in/,4.7,,"Venudhar society, B 6 Vrundvan Apartment, near Gulmohar Auris, above SMR Jewellery, Gulbai Tekra, Ahmedabad, Gujarat 380015",Gulbai Tekra,23.026617599999998,72.5519784,ChIJqRcWbSyFXjkRYNcMGM_iOOY,https://www.google.com/maps/place/?q=place_id:ChIJqRcWbSyFXjkRYNcMGM_iOOY,part_107,2026-09-20 16:40:21,4663
Sigma coaching classes (Pinakinsir),Commerce and CA Coaching,Education center,Education center,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93164 67621,N/A,4.9,,"Anand Park Society, Shivam Park Society, Kapadvanj, Gujarat 387620",Shivam Park Society,23.009143299999998,73.0815791,ChIJy_LeEQBtXjkR_IF4l1PjoZY,https://www.google.com/maps/place/?q=place_id:ChIJy_LeEQBtXjkR_IF4l1PjoZY,part_107,2026-09-20 16:40:21,4664
Ravi Chhawchharia's Institute (RCI) - CA Coaching Institute,Commerce and CA Coaching,Coaching Center,"Coaching Center, Cramming school, Education center, Educational institution, Learning center, Private Tutor, Test preparation center, Tutoring service",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98982 02702,https://www.rcinstitute.in/,4.7,,"2nd floor, Regent Arcade, Ghod Dod Rd, nr. kotak bank, Athwa, Surat, Gujarat 395007",Athwa,21.1743029,72.8003347,ChIJ7Rr31ytN4DsRoPZoTH-M--k,https://www.google.com/maps/place/?q=place_id:ChIJ7Rr31ytN4DsRoPZoTH-M--k,part_107,2026-09-20 16:40:21,4665
Shaikh Tuition Classes Kapadwanj,Commerce and CA Coaching,Coaching Center,Coaching Center,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 96011 10019,N/A,4.8,,"GJ SH 141, Asfak Society, Kapadvanj, Gujarat 387620",Asfak Society,23.0260267,73.0675546,ChIJD3nylQRzXjkR8ZvJIwmHQwI,https://www.google.com/maps/place/?q=place_id:ChIJD3nylQRzXjkR8ZvJIwmHQwI,part_107,2026-09-20 16:40:21,4666
DG Classes,Commerce and CA Coaching,Educational institution,"Educational institution, Coaching Center, Education center",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99255 59588,https://dgclasses.com/,5.0,,"3RD FLOOR, R & A CHAMBERS, nr. LAKSHMI CINEMA CROSSING, above DR. SHAILESH SHAH'S HOSPITAL, Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.558906399999998,72.96146689999999,ChIJ0d8TxiFPXjkRlou3MNTA5L0,https://www.google.com/maps/place/?q=place_id:ChIJ0d8TxiFPXjkRlou3MNTA5L0,part_107,2026-09-20 16:40:21,4667
Collate Institute,Commerce and CA Coaching,Coaching Center,"Coaching Center, Service establishment",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 91730 10206,https://www.collateinstitute.com/,4.9,,"Collate Institute, 387635, India",387635,22.322102599999997,73.1730862,ChIJqyXyhSuOJy0R9wpTQq-Kcbw,https://www.google.com/maps/place/?q=place_id:ChIJqyXyhSuOJy0R9wpTQq-Kcbw,part_107,2026-09-20 16:40:21,4668
CA Sachin Sir Coaching,Commerce and CA Coaching,Coaching Center,Coaching Center,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97244 44466,N/A,4.9,,"Atlanta Tower, Navrangpura, Venudhar Society, Gulbai Tekra, Ahmedabad, Gujarat 380015","Venudhar Society, Gulbai Tekra",23.026588999999998,72.552031,ChIJU5CAULCFXjkRQKz2k2G18xI,https://www.google.com/maps/place/?q=place_id:ChIJU5CAULCFXjkRQKz2k2G18xI,part_107,2026-09-20 16:40:21,4669
Rachna Commerce Classes,Commerce and CA Coaching,Educational institution,"Educational institution, Coaching Center",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99091 60484,https://www.vrpa.co.in/,5.0,,"108, Shalin Galleria, 107, Sangeet Cir G1, near RTO, Sector 3B, Sector 3, Gandhinagar, Gujarat 382006","Sector 3B, Sector 3",23.2035978,72.6243111,ChIJFZYA10UrXDkR7g8iGbI8T8A,https://www.google.com/maps/place/?q=place_id:ChIJFZYA10UrXDkR7g8iGbI8T8A,part_107,2026-09-20 16:40:21,4670
A D Institute Of Commerce,Commerce and CA Coaching,Coaching Center,Coaching Center,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 87801 69718,http://www.adinstitute.co.in/,5.0,,"Shop No.221, Shree Sarju Arena, above Hdfc Bank, Tragad, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, Chandkheda",23.1208413,72.5757823,ChIJ6VmHLLiDXjkRknvhoj5A2C8,https://www.google.com/maps/place/?q=place_id:ChIJ6VmHLLiDXjkRknvhoj5A2C8,part_107,2026-09-20 16:40:21,4671
VR Professional Academy,Commerce and CA Coaching,Coaching Center,"Coaching Center, Chartered accountant, Educational institution",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99091 60484,N/A,4.7,,"TF 6, 3rd Floor, Sarthak Fortune Mall, near City Pulse Cinema, Randesan, Gandhinagar, Gujarat 382426",Randesan,23.174089799999997,72.6405619,ChIJbVJLKaMrXDkRi_VfGqvVm2I,https://www.google.com/maps/place/?q=place_id:ChIJbVJLKaMrXDkRi_VfGqvVm2I,part_107,2026-09-20 16:40:21,4672
