business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Porecha Eye hospital, Blind People's Association, Bareja, Ahmedabad, Gujarat",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,http://www.bpaeyehospital.org/,4.8,,"Bareja eye hospital, opp. Hotel Pragati, Bareja, Gujarat 382425",387635,22.849357299999998,72.5991335,ChIJKfcjpIiJXjkR2ij6GS1lAHo,https://www.google.com/maps/place/?q=place_id:ChIJKfcjpIiJXjkR2ij6GS1lAHo,part_107,2026-09-20 16:40:06,1975
Aastha Eye and Children Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Children's hospital",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90541 77222,https://aasthaeyehospital.com/,4.9,,"Kalpana cinema Road, opp. X Ray house, near new bus stand, Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.5568878,72.9575912,ChIJ_____5NOXjkRLf9mE1wAq3w,https://www.google.com/maps/place/?q=place_id:ChIJ_____5NOXjkRLf9mE1wAq3w,part_107,2026-09-20 16:40:06,1976
"Dr. Nirav Vinodchandra Modi, 11+ yrs of Exp | Best Ophthalmologist in Ahmedabad | Eye Surgeon | Eye Specialist | Eye Doctor",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist, Lasik surgeon",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 80 4696 1837,https://www.apollo247.com/doctors/dr-Nirav-Modi-8ba827bf-8b55-4fd8-abc8-123913e2eebe,,,"Insight Eye Care Hospital, Ahmedabad, Kanial, Gujarat 382433",387635,22.976399999999998,72.836,ChIJQ4yTWR5lXjkRh6oNEWKFTQE,https://www.google.com/maps/place/?q=place_id:ChIJQ4yTWR5lXjkRh6oNEWKFTQE,part_107,2026-09-20 16:40:06,1977
Akshar Eye Hospital-PHACO & LASER CENTER,Eye Clinic and Eye Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98245 41489,N/A,4.9,,"Kandhari Chambers, Naroda Patiya Cir, A Ward, Naroda, Ahmedabad, Gujarat 382345","A Ward, Naroda",23.0651172,72.64262719999999,ChIJRRKRhP2HXjkRiOtmfV4wL7E,https://www.google.com/maps/place/?q=place_id:ChIJRRKRhP2HXjkRiOtmfV4wL7E,part_107,2026-09-20 16:40:06,1978
Vision Eye Care Hospital Chandkheda - Dr. Vaibhav Sutaria,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Surgeon",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99046 34366,http://www.visioneyecarehospital.in/,4.9,,"3rd Floor, Shree Sarju Arena Complex, New Chandkheda, 319-321, Satyamev Hospital Road, Tragad, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, Chandkheda",23.120770699999998,72.5755559,ChIJzQPaVPuDXjkRHjBv_4UqL2U,https://www.google.com/maps/place/?q=place_id:ChIJzQPaVPuDXjkRHjBv_4UqL2U,part_107,2026-09-20 16:40:06,1979
Divyam Netra Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,3.5,,"23CC+V34, Unnamed Road, Dholi kui, Kapadvanj, Gujarat 387620",Dholi kui,23.022134899999998,73.0701905,ChIJO6-PMlltXjkR7m7E7NdWo_s,https://www.google.com/maps/place/?q=place_id:ChIJO6-PMlltXjkR7m7E7NdWo_s,part_107,2026-09-20 16:40:06,1980
Shree Santram Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.5,,"Santram eye hospital, VKV Rd, Shanti Nagar, Nadiad, Gujarat 387001",Shanti Nagar,22.687367599999998,72.8663234,ChIJD9Oa2BpbXjkR_o9IrtH88EY,https://www.google.com/maps/place/?q=place_id:ChIJD9Oa2BpbXjkR_o9IrtH88EY,part_107,2026-09-20 16:40:06,1981
HIYAN EYE HOSPITAL,Eye Clinic and Eye Hospital,Doctor,Doctor,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 94285 67756,N/A,5.0,,"FF-1,KESHAR PLAZA, Balasinor Rd, Kathlal, Gujarat 387630",Pithai,22.88959,72.9883217,ChIJMVvA3gtpXjkRroSA1V4qK_U,https://www.google.com/maps/place/?q=place_id:ChIJMVvA3gtpXjkRroSA1V4qK_U,part_107,2026-09-20 16:40:06,1982
Divyadrashti Eye Hospital - Dr Krishna Marfatia Patel,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Hospital, Lasik surgeon, Medical clinic, Ophthalmologist, Ophthalmology clinic, Pediatric ophthalmologist, Surgeon",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 84909 65489,http://divyadrashtieyeclinic.com/,4.9,,"401, Emporio by Kunj Opposite 4D Square Mall Visat Gandhinagar Highway, Chandkheda, Motera, Ahmedabad, Gujarat 380005","Mahavirnagar, Harikurpa Society, Motera",23.1039177,72.5944406,ChIJ8QXSZsuDXjkROalRWg-FTz0,https://www.google.com/maps/place/?q=place_id:ChIJ8QXSZsuDXjkROalRWg-FTz0,part_107,2026-09-20 16:40:06,1983
Dr Jay Shah Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 89498 13822,N/A,4.8,,"Solitaire complex, 306, above HDFC BANK, near samta party plot, Nadiad, Gujarat 387355",387635,22.677427299999998,72.86473529999999,ChIJCwb2VZJbXjkRUs8AlMHQlP8,https://www.google.com/maps/place/?q=place_id:ChIJCwb2VZJbXjkRUs8AlMHQlP8,part_107,2026-09-20 16:40:06,1984
