business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ved multispeciality hospital-KATHLAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,http://vedhospital.co.in/,5.0,,"2ND FLOOR, KALAPI ARCADE, Kathlal- Nadiad Rd, Pithai, Kathlal, Gujarat 387630",Pithai,22.8873264,72.98199029999999,ChIJz9-WHwBpXjkRGR61SgmNeEM,https://www.google.com/maps/place/?q=place_id:ChIJz9-WHwBpXjkRGR61SgmNeEM,part_107,2026-09-20 16:40:04,1748
Sanjivani multispeciality hospital kathlal,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 88498 16422,https://sanjivani-gujarat.grexa.site/,4.8,,"Second floor, Kesav arcade, Zalod - Ahmedabad Hwy, opp. Naresh Hundiya imezing centre, Pithai, Kathlal, Gujarat 387630",Pithai,22.893782299999998,72.9807012,ChIJ2_abdo9pXjkRyvkWf2cxY88,https://www.google.com/maps/place/?q=place_id:ChIJ2_abdo9pXjkRyvkWf2cxY88,part_107,2026-09-20 16:40:04,1749
Ved multispeciality Hospital. Mahudha,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93162 44313,N/A,4.9,,"RW7Q+RG9 Shayam Aarced complex, G J S H 60, GJ SH 60, Mahudha, Gujarat 387335",387635,22.814500799999998,72.938052,ChIJh1pJubpDXjkRbToRJVdidac,https://www.google.com/maps/place/?q=place_id:ChIJh1pJubpDXjkRbToRJVdidac,part_107,2026-09-20 16:40:04,1750
Ved Multispeciality Hospital Kheda,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 78741 05006,N/A,4.9,,"Kheda, Gujarat 387411",387635,22.7492253,72.6859221,ChIJj6V6aEb1XjkRal497Rp-I7M,https://www.google.com/maps/place/?q=place_id:ChIJj6V6aEb1XjkRal497Rp-I7M,part_107,2026-09-20 16:40:04,1751
"Unity Multispeciality Hospital || Best Hospital, Multispeciality Hospital, Emergency Hospital",Multispeciality Hospital,Hospital,"Hospital, Laboratory, Pharmacy",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99240 76516,N/A,5.0,,"1st floor, navjivan market, circle, near kheda, opp. kheda court, Kheda, Gujarat 387411",387635,22.7468406,72.6859631,ChIJN3pcKXP1XjkRmd51aJ-oyQ8,https://www.google.com/maps/place/?q=place_id:ChIJN3pcKXP1XjkRmd51aJ-oyQ8,part_107,2026-09-20 16:40:04,1752
SARVODAYA MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,,"Indraprasth, opp. GEB OFFICE, Pithai, Kathlal, Gujarat 387630",Pithai,22.8953742,72.9792453,ChIJszez-HlpXjkRZUb6ZOzuaqE,https://www.google.com/maps/place/?q=place_id:ChIJszez-HlpXjkRZUb6ZOzuaqE,part_107,2026-09-20 16:40:04,1753
Gokul multispeciality Hospital and Icu,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,,"1st floor swapnil Arcade Ahmedabad Kathlal Highway Aambahotel Chandial Daskroi Taluko, Amba hotel - Ghamij Rd, Chandial, Gujarat 382433",387635,22.997101999999998,72.8181602,ChIJdSfj1KNlXjkRztHI-gsnyCU,https://www.google.com/maps/place/?q=place_id:ChIJdSfj1KNlXjkRztHI-gsnyCU,part_107,2026-09-20 16:40:04,1754
Dr VAIBHAV PATEL.VED MULTISPECIALITY HOSPITAL-KHATRAJ,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 77370 64981,http://vedhospital.co.in/,4.9,,"Nr.Varun Trailer,Ahemdabad Road,Khatraj 387130, ta -mahemdavad,dist, Khatraj (Mahemdavad), Gujarat 387130",387635,22.8237868,72.7756978,ChIJ3Xq53pZgXjkRwN6hNoD3Obs,https://www.google.com/maps/place/?q=place_id:ChIJ3Xq53pZgXjkRwN6hNoD3Obs,part_107,2026-09-20 16:40:04,1755
SATVA MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97230 45005,N/A,3.6,,"jb plzza complex, Kathlal- Nadiad Rd, chokdi, Pithai, Kathlal, Gujarat 387630","chokdi, Pithai",22.8884865,72.9832768,ChIJ13YlFxxpXjkRRAeA8Tj2mT8,https://www.google.com/maps/place/?q=place_id:ChIJ13YlFxxpXjkRRAeA8Tj2mT8,part_107,2026-09-20 16:40:04,1756
Ved Multispeciality Hospital Dakor,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 63575 71446,N/A,4.9,,"Umreth Rd, Dakor, Gujarat 388225",387635,22.7460731,73.1515916,ChIJTRjwNAA5XjkRmlos5OZ5YMw,https://www.google.com/maps/place/?q=place_id:ChIJTRjwNAA5XjkRmlos5OZ5YMw,part_107,2026-09-20 16:40:04,1757
ASHIRWAD MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 81412 43030,N/A,5.0,,"RELIANCE PETROL PUMP, NEAR, Kathlal- Nadiad Rd, Kathlal, Gujarat 387630",387635,22.8851946,72.981454,ChIJQdO4fyZpXjkRBhqYTYd5RPA,https://www.google.com/maps/place/?q=place_id:ChIJQdO4fyZpXjkRBhqYTYd5RPA,part_107,2026-09-20 16:40:04,1758
Carewell Trauma & Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 75758 09295,N/A,4.7,,"1st & 2nd Floor, Indraprasth Complex, opp. GEB Substation, Pithai, Kathlal, Gujarat 387630",Pithai,22.8950887,72.9798588,ChIJFd7Mp4lpXjkRrQev2kYErwc,https://www.google.com/maps/place/?q=place_id:ChIJFd7Mp4lpXjkRrQev2kYErwc,part_107,2026-09-20 16:40:04,1759
VED MULTISPECIALITY HOSPITAL VASO,Multispeciality Hospital,General hospital,General hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 81550 55044,N/A,4.7,,"C M Shah Hospital, Vaso - Palana Rd, Campus, Vaso, Gujarat 387570",Campus,22.672503799999998,72.75386259999999,ChIJfUT7W7RZXjkR0UqMtC6m31w,https://www.google.com/maps/place/?q=place_id:ChIJfUT7W7RZXjkR0UqMtC6m31w,part_107,2026-09-20 16:40:04,1760
Sankalp clinic & multi-speciality hospital,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,,"XRQ7+329, Chavlaj Rd, Chandial, Gujarat 382433",387635,22.9876704,72.8126109,ChIJTaptPwBlXjkRBjHkZHXa6fA,https://www.google.com/maps/place/?q=place_id:ChIJTaptPwBlXjkRBjHkZHXa6fA,part_107,2026-09-20 16:40:04,1761
"Charotar Multi Speciality Hospital, Kheda",Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 2694 225 225,N/A,3.3,,"Opp-Santram Party Plot, Near Jalaram Temple,, Kheda-Matar Road, Sokhda, Dist. KHEDA,, GUJARAT PIN 387411, SOKHDA ,KHEDA, Gujarat 387411",387635,22.7438513,72.68697,ChIJ_0h4Y5j1XjkRFYXn7CnUois,https://www.google.com/maps/place/?q=place_id:ChIJ_0h4Y5j1XjkRFYXn7CnUois,part_107,2026-09-20 16:40:04,1762
SARVODAY GENERAL HOSPITAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 73838 03273,N/A,4.3,,"behind MILK DAIRY, Kathlal, Gujarat 387630",387635,22.8994356,72.9903753,ChIJS5fGah5pXjkRx2lqf1D9AMk,https://www.google.com/maps/place/?q=place_id:ChIJS5fGah5pXjkRx2lqf1D9AMk,part_107,2026-09-20 16:40:04,1763
VED SUPERSPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 63579 99131,N/A,4.9,,"CITY CENTRE, Mai Mandir Rd, opp. Mai Mandir Road, Napad, Nadiad, Gujarat 387001",Napad,22.690248,72.8579958,ChIJGyZq_XFbXjkRmrboKM2wojM,https://www.google.com/maps/place/?q=place_id:ChIJGyZq_XFbXjkRmrboKM2wojM,part_107,2026-09-20 16:40:04,1764
