business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Anuradha Polyclinic,Polyclinic,Doctor,Doctor,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 81410 93315,N/A,,,"0, Nr Patel Society, Nr Vadhnagar Road, Haldharvas, Gujarat 387105",387635,22.9364511,72.86047289999999,ChIJF4hxcm1lXjkRvgBDDvhVORk,https://www.google.com/maps/place/?q=place_id:ChIJF4hxcm1lXjkRvgBDDvhVORk,part_107,2026-09-20 16:40:06,1886
"Swami Polyclinic, Mahisavala Ratava Treatment Center",Polyclinic,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.9,,"Kathlal, Gujarat 387630",387635,22.8985394,72.990566,ChIJ8xibiwJpXjkRPgDsGM1ESEY,https://www.google.com/maps/place/?q=place_id:ChIJ8xibiwJpXjkRPgDsGM1ESEY,part_107,2026-09-20 16:40:06,1887
Swami Polyclinic & Prasuti Gruh,Polyclinic,Medical clinic,Medical clinic,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,,,"VXXR+C45, Kathlal Bajar Rd, Kathlal, Gujarat 387630",387635,22.898505699999998,72.9903731,ChIJc-5qqmFpXjkR5gEF8SVVSkE,https://www.google.com/maps/place/?q=place_id:ChIJc-5qqmFpXjkR5gEF8SVVSkE,part_107,2026-09-20 16:40:06,1888
Omkar Hospital,Polyclinic,Hospital,Hospital,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 268 252 9199,N/A,4.2,40.0,"chaklasi bhagol, dakor road, Nadiad, Gujarat 387003",Nutan Park Society,22.6923237,72.8714984,ChIJlZaF1xlbXjkRYWTOUi60irE,https://www.google.com/maps/place/?q=place_id:ChIJlZaF1xlbXjkRYWTOUi60irE,part_107,2026-09-20 16:40:07,1889
DR. VIKRAM HOSPITAL,Polyclinic,Private hospital,"Private hospital, General hospital, Hospital",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 75678 28686,N/A,4.4,88.0,"S/1, 2ND FLOOR, SKYLINE, College Rd, opposite MAHAGUJARAT HOSPITAL, Nadiad, Gujarat 387001",Nutan Park Society,22.6891726,72.8724984,ChIJ4YK-DqRbXjkRKJSwkkcTVYU,https://www.google.com/maps/place/?q=place_id:ChIJ4YK-DqRbXjkRKJSwkkcTVYU,part_107,2026-09-20 16:40:07,1890
Carewell polyclinic,Polyclinic,Hospital,Hospital,387640,Gujarat Circle,Vadodara Region,Kheda Division,"Lasundra SO, Charan Nikol BO, Chikhlod BO",N/A,N/A,,,"238C+XGM, Nani Ratnakar Mata Rd, Shivam Park Society, Kapadvanj, Gujarat 387620",Shivam Park Society,23.017457699999998,73.07130889999999,ChIJv-G7LQBtXjkRWh83lndHuJ4,https://www.google.com/maps/place/?q=place_id:ChIJv-G7LQBtXjkRWh83lndHuJ4,part_107,2026-09-20 16:40:46,7762
Prime Hospital,Polyclinic,Hospital,Hospital,387640,Gujarat Circle,Vadodara Region,Kheda Division,"Lasundra SO, Charan Nikol BO, Chikhlod BO",+91 76888 77794,N/A,4.8,,"6th floor Sahitya Arcade Haridarshan Cross Road, Nava Naroda, Ahmedabad, Gujarat 382330","Vasant Vihar 2, Nava Naroda",23.0697887,72.6764172,ChIJ56zDAyCHXjkR7VGCdE-vRXk,https://www.google.com/maps/place/?q=place_id:ChIJ56zDAyCHXjkR7VGCdE-vRXk,part_107,2026-09-20 16:40:47,7763
Ratnakar Hospital,Polyclinic,Hospital,Hospital,387640,Gujarat Circle,Vadodara Region,Kheda Division,"Lasundra SO, Charan Nikol BO, Chikhlod BO",N/A,N/A,3.7,,"7, Nani Ratnakar Mata Rd, Trimurti Society, Kapadvanj, Gujarat 387620",Trimurti Society,23.017456799999998,73.0712003,ChIJwbiInlttXjkRqaGd9uXO-Es,https://www.google.com/maps/place/?q=place_id:ChIJwbiInlttXjkRqaGd9uXO-Es,part_107,2026-09-20 16:40:47,7764
Veterinary Polyclinic Bandhni,Polyclinic,Hospital,Hospital,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",N/A,N/A,,,"PHC, beside Bandhani, Bandhani, Gujarat 388410",387710,22.5542923,72.8286552,ChIJo1NBik9RXjkRLd9LeJpuBY8,https://www.google.com/maps/place/?q=place_id:ChIJo1NBik9RXjkRLd9LeJpuBY8,part_107,2026-09-20 16:42:11,14218
Dr Pavra’s Clinic (The HealthCare PolyClinic),Polyclinic,Hospital,"Hospital, Diabetes center, Health consultant",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 70430 09970,N/A,4.7,46.0,"Shivalik Satyamev, 508 Ambli BRTS Road Crossing, Sardar Patel Ring Rd, Ahmedabad, Gujarat 380058","South Bopal, Bopal",23.025995899999998,72.476066,ChIJh-ujFgubXjkRTxFlszkO8d0,https://www.google.com/maps/place/?q=place_id:ChIJh-ujFgubXjkRTxFlszkO8d0,part_107,2026-09-20 16:42:11,14219
Poly Clinic Hospital Gujrat,Polyclinic,Hospital,Hospital,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",N/A,N/A,3.4,38.0,"7 Bhimber Rd, Akbari Fort Marghzar Colony, Gujrat, 50700, Pakistan",Akbari Fort Marghzar Colony,32.5948239,74.0793578,ChIJPS9mBtUEHzkRBnjUNlej870,https://www.google.com/maps/place/?q=place_id:ChIJPS9mBtUEHzkRBnjUNlej870,part_107,2026-09-20 16:42:11,14220
"Payal clinic & Diagnostic,Dr. Abhishek Kapadiya ( M.B.B.S, PGCIH)",Polyclinic,Medical clinic,Medical clinic,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 97126 06539,N/A,5.0,,"1st floor, Madhav anand complex, F- 104, Karamsad Rd, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5483031,72.92211069999999,ChIJJUsHHgBPXjkRqLfAQbQCjww,https://www.google.com/maps/place/?q=place_id:ChIJJUsHHgBPXjkRqLfAQbQCjww,part_107,2026-09-20 16:42:53,17651
Urban Health Center Nehrubaug,Polyclinic,Hospital,Hospital,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 2692 257 339,N/A,4.4,,"HX52+H66, Ganesh Colony, Anand, Gujarat 388001",Ganesh Colony,22.5589059,72.9505183,ChIJGVoy7YZOXjkRwgY_AsW4iq4,https://www.google.com/maps/place/?q=place_id:ChIJGVoy7YZOXjkRwgY_AsW4iq4,part_107,2026-09-20 16:42:53,17652
