business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Buzzway,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Minibus taxi service",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90548 65866,http://buzzway.in/,4.6,,"1, Shital House, near Denny Coffee Bar, opp. New York Tower A, Patel Society, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054","Patel Society, Jai Ambe Nagar, Thaltej",23.0536039,72.5195122,ChIJuZxUGVCbXjkR0eE5qJ-dUng,https://www.google.com/maps/place/?q=place_id:ChIJuZxUGVCbXjkR0eE5qJ-dUng,part_107,2026-09-20 16:40:10,2691
RASHMI CABS ️,Taxi Service and Car Rental,Taxi service,"Taxi service, Car rental agency",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99745 86007,https://rashmicabs.com/,4.9,,"Shivansh Prime, 106, Ghogha Cir, opp. Vraj Vihar Hall, Sardar Nagar, Bhavnagar, Gujarat 364001",Sardar Nagar,21.7625056,72.1529206,ChIJo5VydHdaXzkRYLYhLJvJUes,https://www.google.com/maps/place/?q=place_id:ChIJo5VydHdaXzkRYLYhLJvJUes,part_107,2026-09-20 16:40:10,2692
Ahmedabad Taxi Service - Patidar Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Service establishment",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,https://www.patidarcab.com/,5.0,,"Ahmedabad Taxi Service - Patidar Cabs, 387635, India",387635,21.7514584,72.2269147,ChIJEa9SnN3MTCMRiwcgzqdEmJY,https://www.google.com/maps/place/?q=place_id:ChIJEa9SnN3MTCMRiwcgzqdEmJY,part_107,2026-09-20 16:40:10,2693
R&R TRAVELS NADIAD,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Travel agency",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97259 69241,N/A,5.0,,"Nadiad Bypass Rd, Uttarsanda, Nadiad, Gujarat 387370",387635,22.6584652,72.8959282,ChIJUxKsxaJbXjkR3IP_legu2P8,https://www.google.com/maps/place/?q=place_id:ChIJUxKsxaJbXjkR3IP_legu2P8,part_107,2026-09-20 16:40:10,2694
GUJARAT TAXI,Taxi Service and Car Rental,Taxi service,Taxi service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 95104 41729,http://gujarattaxi.in/,5.0,,"A bolck 502, Ahmed Residency, Sarkhej, Ahmedabad, Sarkhej-Okaf, Gujarat 380055",Sarkhej,22.9787093,72.51062519999999,ChIJkQkJbX-bXjkRnH6kM89cQ9w,https://www.google.com/maps/place/?q=place_id:ChIJkQkJbX-bXjkRnH6kM89cQ9w,part_107,2026-09-20 16:40:10,2695
Cab Services,Taxi Service and Car Rental,Taxi service,Taxi service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93278 77249,N/A,5.0,,"Adani Circle, Sardar Patel Ring Rd, Ramol, Ahmedabad, Gujarat 382449",Ramol,22.977507499999998,72.6622933,ChIJUW7TdCKJXjkR8T6zS8AzJaQ,https://www.google.com/maps/place/?q=place_id:ChIJUW7TdCKJXjkR8T6zS8AzJaQ,part_107,2026-09-20 16:40:10,2696
Hari Prabodham Cab Service,Taxi Service and Car Rental,Taxi service,Taxi service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 75758 88983,N/A,,,"Amar Dip Town Ship, Aajva Road, Kheda, Gujarat 387411",387635,22.7455771,72.6858811,ChIJISN8JBH1XjkR-asgU1N_sLw,https://www.google.com/maps/place/?q=place_id:ChIJISN8JBH1XjkR-asgU1N_sLw,part_107,2026-09-20 16:40:10,2697
"ΜΑΗADEV TAXΙ & CAB SERVICES - Taxi Service In Vadodara, Baroda Taxi Service, Airport Cab, One Way Cab, Car Rental Service",Taxi Service and Car Rental,Taxi service,"Taxi service, Car rental agency",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 96382 44688,https://mahadevcabservice.com/,4.9,,"A 301 Darshanam Oasis, New Karelibaug Opp: My Shannon School, Sayaji Twp Rd, near Mukhinagar, Vadodara, Gujarat 390019","Ayodhya Nagar, Sayaji Park Society",22.321498599999998,73.2328593,ChIJt87GIJzPXzkRtVQYmXS2tZ4,https://www.google.com/maps/place/?q=place_id:ChIJt87GIJzPXzkRtVQYmXS2tZ4,part_107,2026-09-20 16:40:10,2698
TransRentals,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Bus tour agency, Car leasing service, Transportation service, Crane rental agency, Minibus taxi service, Two Wheeler Rental Agency, Truck rental agency",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97379 65551,http://transrentals.in/,4.3,,"215, Galaxy business park, Service Rd, Odhav Industrial Estate, Nikol, Ahmedabad, Gujarat 380049","Odhav Industrial Estate, Nikol",23.040526,72.6779809,ChIJiROfrAmHXjkRdc5T_Saytp4,https://www.google.com/maps/place/?q=place_id:ChIJiROfrAmHXjkRdc5T_Saytp4,part_107,2026-09-20 16:40:10,2699
Sainik Travels Tempo Traveller And Bus,Taxi Service and Car Rental,Taxi service,Taxi service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93270 08821,N/A,4.9,,"Virani school, near Om comlex, Ramnagar, Kaliyabid, Bhavnagar, Gujarat 364002","Ramnagar, Kaliyabid",21.7403588,72.1442347,ChIJkdIXKV5bXzkRuh39T3AbQH0,https://www.google.com/maps/place/?q=place_id:ChIJkdIXKV5bXzkRuh39T3AbQH0,part_107,2026-09-20 16:40:10,2700
