business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Umiya mandap and decoration,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,8.0,"WX2R+4FC, Kathlal, Gujarat 387630",387635,22.900322199999998,72.99113,ChIJQyCMbABpXjkRvCUZ_zF0MBE,https://www.google.com/maps/place/?q=place_id:ChIJQyCMbABpXjkRvCUZ_zF0MBE,part_107,2026-09-20 16:40:18,4136
Gurukrupa mandap decoration,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,1.0,"4WJG+QXM, Goraiya, Gujarat 382150",387635,23.1321472,71.9283962,ChIJbyW0XgD_WzkRi99D4yL3f6E,https://www.google.com/maps/place/?q=place_id:ChIJbyW0XgD_WzkRi99D4yL3f6E,part_107,2026-09-20 16:40:18,4137
Sancharai Mandap masota,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,3.0,"V8XR+54M, Masota, Gujarat 383246",387635,23.8979598,73.3403026,ChIJhUxRHwCDXTkR30qpMpX2Wo4,https://www.google.com/maps/place/?q=place_id:ChIJhUxRHwCDXTkR30qpMpX2Wo4,part_107,2026-09-20 16:40:18,4138
Chamunda Decorator,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97253 49572,N/A,4.9,23.0,"Sakti nagar vibhag 5, near National handloom, Amraiwadi, Ahmedabad, Gujarat 380026",Amraiwadi,23.008697299999998,72.63033349999999,ChIJZe8S0OSHXjkRUfFxIrtF03Y,https://www.google.com/maps/place/?q=place_id:ChIJZe8S0OSHXjkRUfFxIrtF03Y,part_107,2026-09-20 16:40:18,4139
Jhansi Shamyana House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event planner, Wedding venue",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 91251 23287,N/A,4.9,78.0,"near PNB ATM, Sadar Bazar, Cantt, Jhansi, Uttar Pradesh 284001","Sadar Bazar, Cantt",25.4390926,78.5817306,ChIJZf7kuDx3dzkRcOVRwwwgtfQ,https://www.google.com/maps/place/?q=place_id:ChIJZf7kuDx3dzkRcOVRwwwgtfQ,part_107,2026-09-20 16:40:18,4140
Selection shamiyana house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99025 92598,N/A,4.8,4.0,"CW2W+C7V, Shidlaghatta, Yaramalliahna Hunasehalli, Karnataka 562105",387635,13.4011175,77.94567789999999,ChIJi9QD2o0CsjsR4uolgQTEnv4,https://www.google.com/maps/place/?q=place_id:ChIJi9QD2o0CsjsR4uolgQTEnv4,part_107,2026-09-20 16:40:18,4141
Balaji Shamiyana and Event Management,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90432 35196,N/A,4.8,6.0,"Senthil Nagar, Urapakkam, Chennai, Urappakkam, Tamil Nadu 603210","Senthil Nagar, Urapakkam",12.862226999999999,80.0752634,ChIJUcoJZUf2UjoR6Xp2DzrfjaE,https://www.google.com/maps/place/?q=place_id:ChIJUcoJZUf2UjoR6Xp2DzrfjaE,part_107,2026-09-20 16:40:18,4142
Shamiyana Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 70045 61005,N/A,4.2,15.0,"QQJ2+728, Chapra - Patna Hwy, Chota Telpa, Chapra, Bihar 841301",Chota Telpa,25.780658499999998,84.7500804,ChIJDdAMMsC6kjkRqHSpSK8IymU,https://www.google.com/maps/place/?q=place_id:ChIJDdAMMsC6kjkRqHSpSK8IymU,part_107,2026-09-20 16:40:18,4143
Shabnam tent house,Tent House and Shamiana,Transportation service,Transportation service,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,1.0,"R5C9+GGM, Aata, Shambhu Nagar Bazar, Uttar Pradesh 285202",387635,25.821344,83.16880359999999,ChIJqwWBDE6dnTkR5iGTA8ETq5w,https://www.google.com/maps/place/?q=place_id:ChIJqwWBDE6dnTkR5iGTA8ETq5w,part_107,2026-09-20 16:40:18,4144
Shamiyana Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99563 40786,N/A,4.0,5.0,"Husainabad Trust Rd, Husainabad, Lucknow, Uttar Pradesh 226003",Husainabad,26.8734409,80.90711139999999,ChIJratC0Pv9mzkR7XGQUto93do,https://www.google.com/maps/place/?q=place_id:ChIJratC0Pv9mzkR7XGQUto93do,part_107,2026-09-20 16:40:18,4145
Maharaja Shamiyana House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Wedding store",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90088 85786,N/A,4.8,4.0,"#1399, 3rd Cross Road, Near King George Hall, Robertsonpet, K.G.F, Bangalore, Karnataka 563122","Kolar Gold Fields, 2nd Block, Swarna Nagar",12.9569447,78.2742888,ChIJs83PGyHrrTsRXf6TBv6XqcY,https://www.google.com/maps/place/?q=place_id:ChIJs83PGyHrrTsRXf6TBv6XqcY,part_107,2026-09-20 16:40:18,4146
SHREE HARIKRISHNA MANDAP DECORATION,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 81602 77024,N/A,5.0,56.0,"START GALAXY, B-14, VIP Rd, E3 Block, Vesu, Surat, Gujarat 395007","E3 Block, Vesu",21.1356642,72.7655961,ChIJl7a6k7FT4DsRgaMoPjOSjYw,https://www.google.com/maps/place/?q=place_id:ChIJl7a6k7FT4DsRgaMoPjOSjYw,part_107,2026-09-20 16:40:18,4147
MODERN TENT HOUSE,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 60062 05481,N/A,5.0,2.0,"Kupwara, 193222",387635,34.525164499999995,74.2583322,ChIJPzvNIxIf4TgRbTXFcSdUaxk,https://www.google.com/maps/place/?q=place_id:ChIJPzvNIxIf4TgRbTXFcSdUaxk,part_107,2026-09-20 16:40:18,4148
Shakya Tent Shamsabad,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.3,12.0,"GCPQ+9C5, Shamshabad, Uttar Pradesh 209503",387635,27.535878099999998,79.4386176,ChIJw4VvG8XUnzkRtU6rtYnJkSA,https://www.google.com/maps/place/?q=place_id:ChIJw4VvG8XUnzkRtU6rtYnJkSA,part_107,2026-09-20 16:40:18,4149
Shabana tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,2.0,"37RP+7CG, Haidarabad, Mubarakpur, Sikatishah Muhammadpur, Uttar Pradesh 276404",Haidarabad,26.090683799999997,83.2860767,ChIJoRBqH3OZkTkRgnVu09lbyDE,https://www.google.com/maps/place/?q=place_id:ChIJoRBqH3OZkTkRgnVu09lbyDE,part_107,2026-09-20 16:40:18,4150
CHETAN FARASKHANA,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98255 72422,N/A,3.0,4.0,"GAAM, UNDU FARIYU, Sama - Savli Rd, Near Jalaram Temple, New Sama, Vadodara, Gujarat 390008","Near Jalaram Temple, Laxmikunj Society Part 1, Anandvan Society, New Sama",22.3396732,73.2001737,ChIJNSKUjCPPXzkR_Fa5AglwXPY,https://www.google.com/maps/place/?q=place_id:ChIJNSKUjCPPXzkR_Fa5AglwXPY,part_107,2026-09-20 16:40:18,4151
Chamunda Mandap Service,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 81280 58653,N/A,4.5,17.0,"Gokul Dham Main Rd, Ambedkar Nagar, Samrat Industrial Area, Rajkot, Gujarat 360004","Ambedkar Nagar, Samrat Industrial Area",22.2539968,70.7945756,ChIJuRlBhInKWTkRozoYGADcq54,https://www.google.com/maps/place/?q=place_id:ChIJuRlBhInKWTkRozoYGADcq54,part_107,2026-09-20 16:40:18,4152
Ashapura Mandap,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 95864 22606,N/A,5.0,3.0,"Village Hundraibag Vadi Vistar Bag, Gundiyali, Mandavi, Gujarat 370455",387635,22.8493916,69.4133344,ChIJpdmS6BUzUTkRBZg05t7ameE,https://www.google.com/maps/place/?q=place_id:ChIJpdmS6BUzUTkRBZg05t7ameE,part_107,2026-09-20 16:40:18,4153
Sharma Tent House Chamba,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98160 76673,N/A,5.0,2.0,"po, Sarol, Chamba, Himachal Pradesh 176318",po,32.5796142,76.11799719999999,ChIJE1jPS0q9HDkR7JnsR5jMCOU,https://www.google.com/maps/place/?q=place_id:ChIJE1jPS0q9HDkR7JnsR5jMCOU,part_107,2026-09-20 16:40:18,4154
Pushp faraskhana,Tent House and Shamiana,Event management company,Event management company,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98252 62645,N/A,4.7,17.0,"Khodiyar Nagar, Harni, Vadodara, Gujarat 390019","Khodiyar Nagar, Harni",22.3245805,73.2326672,ChIJzUW_-GLPXzkRgXANVbBEHto,https://www.google.com/maps/place/?q=place_id:ChIJzUW_-GLPXzkRgXANVbBEHto,part_107,2026-09-20 16:40:18,4155
Shagun tent house and caterers,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 89238 03143,N/A,4.7,3.0,"Old Tehri road, Chamba, Uttarakhand 249145",387635,30.3452991,78.3994759,ChIJkyDBZ-sdCTkRZ8D0vKy3cKw,https://www.google.com/maps/place/?q=place_id:ChIJkyDBZ-sdCTkRZ8D0vKy3cKw,part_107,2026-09-20 16:40:19,4156
Praveg Tent City Narmada,Tent House and Shamiana,Restaurant,"Restaurant, Cottage, Event venue, Hotel, Resort hotel, Wedding venue",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 72404 04040,https://www.tentcitynarmada.com/,4.7,19353.0,"Dyke -3, Sardar Sarovar Dam Site, Kevadia, Navagam, Gujarat 393151",387635,21.853165999999998,73.7227059,ChIJHfGOkW4fYDkRsIbcmcpBj6A,https://www.google.com/maps/place/?q=place_id:ChIJHfGOkW4fYDkRsIbcmcpBj6A,part_107,2026-09-20 16:40:19,4157
Nandwani Light & Tent House,Tent House and Shamiana,Event management company,Event management company,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98243 39422,https://www.facebook.com/nandwanidecors/,4.8,29.0,"2, Basement Ashoka pavallion, New, civil road, opp. Kapadia Health Club Street, Surat, Gujarat 395001","Janta Nagar, Sumangal Society, Bhatar, Athwa",21.1704853,72.8197483,ChIJ48EbiCNP4DsRnT0C4dmqxFs,https://www.google.com/maps/place/?q=place_id:ChIJ48EbiCNP4DsRnT0C4dmqxFs,part_107,2026-09-20 16:40:19,4158
Shree Bajrang Mandap Decoration,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event management company, Event planner, Florist, Painter, Stage, Wedding service, Wedding venue",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99136 81100,http://www.shreebajrangmandapdecoration.bytecard.in/,5.0,85.0,"Shivam Gas Agency Road, House No. 24,Chetanya Raw House, opposite Arambh Flat, Chandlodiya, Ahmedabad, Gujarat 382481","Shantinagar Society, Chandlodiya",23.0775166,72.5459426,ChIJo8WPeB6DXjkR_JMNZcuh4OY,https://www.google.com/maps/place/?q=place_id:ChIJo8WPeB6DXjkR_JMNZcuh4OY,part_107,2026-09-20 16:40:19,4159
Nitin Tent House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event management company, Event venue, Wedding planner, Wedding service",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 94143 07282,N/A,3.4,7.0,"Gandhi Ashram Rd, Dungarpur, Rajasthan 314011",387635,23.8523212,73.7056048,ChIJHWeg7ctxZzkRM5jIBWfYPf0,https://www.google.com/maps/place/?q=place_id:ChIJHWeg7ctxZzkRM5jIBWfYPf0,part_107,2026-09-20 16:40:19,4160
StayGuru Patgar Tent,Tent House and Shamiana,Hotel,Hotel,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 77192 12345,https://patgarkutchtent.com/,4.8,62.0,"Bus Stop, Bhuj, Gorewali, Gujarat 370510",387635,23.767321,69.514837,ChIJjyOKGdCwUTkRZ0QIF_kYw9Q,https://www.google.com/maps/place/?q=place_id:ChIJjyOKGdCwUTkRZ0QIF_kYw9Q,part_107,2026-09-20 16:40:19,4161
Shubham tent house,Tent House and Shamiana,Corporate office,Corporate office,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 94142 67406,N/A,5.0,1.0,"RPV6+5P, Dungarpur, Rajasthan 314001",387635,23.8428862,73.7118441,ChIJ6WQikLZxZzkRsqWaE4X6lTY,https://www.google.com/maps/place/?q=place_id:ChIJ6WQikLZxZzkRsqWaE4X6lTY,part_107,2026-09-20 16:40:19,4162
Maa Shamlashn Sound & Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,4.9,,"Village, Sawara Nandasi, Baila, Swarah Landasi, Himachal Pradesh 173022",387635,30.549810599999997,77.4319728,ChIJE0vIU5wVDzkRgGH-tet5rPI,https://www.google.com/maps/place/?q=place_id:ChIJE0vIU5wVDzkRgGH-tet5rPI,part_107,2026-09-20 16:40:19,4163
Hemangi Faraskhana & Decorators - Wedding Planner In New Sama Road,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event management company",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 94275 91243,N/A,5.0,,"ff...E/10,Aradhana society b/h nizampura st, opposit balgopal garba ground, New Sama Rd, depo, Vadodara, Gujarat 390024","Aradhana Society, depo, Nizampura",22.341286699999998,73.1800997,ChIJW-zkGdfIXzkR0HMSFq-VoLM,https://www.google.com/maps/place/?q=place_id:ChIJW-zkGdfIXzkR0HMSFq-VoLM,part_107,2026-09-20 16:40:19,4164
