business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Neminath Marble & ceramics,Tile and Marble Showroom,Tile store,Tile store,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 90991 18261,http://nmc.wegic.app/,4.8,,"bus stop, Dabhan, near, Dabhan - Hathnoli Rd, Dabhan, Nadiad, Gujarat 387320",387710,22.7095648,72.81745409999999,ChIJQzBf4WBbXjkRlfTLZhqW2wA,https://www.google.com/maps/place/?q=place_id:ChIJQzBf4WBbXjkRlfTLZhqW2wA,part_107,2026-09-20 16:42:17
Ceramic World,Tile and Marble Showroom,Building materials store,Building materials store,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 88661 36000,N/A,4.9,,"Landmark Complex, F-131, near DMart Nadiad, Nadiad, Gujarat 387370",387710,22.6695428,72.88844619999999,ChIJEdUtqShbXjkRsfZh7LZcZBI,https://www.google.com/maps/place/?q=place_id:ChIJEdUtqShbXjkRsfZh7LZcZBI,part_107,2026-09-20 16:42:17
Nakoda marble and tiles,Tile and Marble Showroom,Tile store,Tile store,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 81605 10004,N/A,2.3,,"Dabhan chokdi kamla baypass nr.overbrige, Dabhan, Nadiad, Gujarat 387002",387710,22.7124544,72.8341332,ChIJc6QqyuRbXjkRU8uwZrnX2e8,https://www.google.com/maps/place/?q=place_id:ChIJc6QqyuRbXjkRU8uwZrnX2e8,part_107,2026-09-20 16:42:17
Maheshwari Marble And Ceramic,Tile and Marble Showroom,Tile store,Tile store,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 94265 70654,N/A,4.1,,"GRQC+5J3, Nadiad-Khambhat Highway Rd, Petlad, Gujarat 388470",387710,22.537897599999997,72.8215568,ChIJ-cJ9AeJTXjkR9FQM7aAE_HM,https://www.google.com/maps/place/?q=place_id:ChIJ-cJ9AeJTXjkR9FQM7aAE_HM,part_107,2026-09-20 16:42:17
Orientbell Tiles Store - Kailash Marble,Tile and Marble Showroom,Tile store,"Tile store, Home improvement store, Tile contractor, Tile manufacturer",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 89803 60000,https://www.orientbell.com/store-locator/tiles-dealer/kailash-marble,,,"Plot No 62/4, opp. J K Mart, Gidc Estate, Nadiad, Gujarat 387001",Gidc Estate,22.689999999999998,72.86,ChIJDY9emMVbXjkRFJD6pssK96k,https://www.google.com/maps/place/?q=place_id:ChIJDY9emMVbXjkRFJD6pssK96k,part_107,2026-09-20 16:42:17
MAHAVIR CERAMIC,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Ceramics wholesaler",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 76982 94425,https://mahavirceramic.bytecard.in/,4.9,,"Gutal road, near khodiyar nursary, near g-7 cafe, Jalaramnagar Society, Karmnagri Society, Nadiad, Gujarat 387355","Jalaramnagar Society, Karmnagri Society",22.690437499999998,72.8461875,ChIJVwqPBaZbXjkRHq6vddYPCeM,https://www.google.com/maps/place/?q=place_id:ChIJVwqPBaZbXjkRHq6vddYPCeM,part_107,2026-09-20 16:42:17
ASIAN GRANITE AND TILES,Tile and Marble Showroom,Tile store,Tile store,387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",N/A,N/A,5.0,,"Nr harimandap party plot, Anand - Sojitra Rd, crossing, Bandhani, Anand, Gujarat 388470",crossing,22.543293499999997,72.8264956,ChIJQdC3uR1RXjkRjY4DsHD6iYs,https://www.google.com/maps/place/?q=place_id:ChIJQdC3uR1RXjkRjY4DsHD6iYs,part_107,2026-09-20 16:42:17
Shree Vivekanad Stone And Marble Suppliers,Tile and Marble Showroom,Marble supplier,"Marble supplier, Granite supplier, Stone supplier, Tile store",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",N/A,N/A,,,"N. H. No. 8, Chokdi, near patel wadi, Piplag, Nadiad, Gujarat 387370",Piplag,22.6628772,72.8561832,ChIJcT03jwBbXjkRfuegMmzqFsc,https://www.google.com/maps/place/?q=place_id:ChIJcT03jwBbXjkRfuegMmzqFsc,part_107,2026-09-20 16:42:17
Shivam Marble,Tile and Marble Showroom,Tile store,"Tile store, Ceramics wholesaler, Granite supplier, Marble supplier",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 99099 99951,N/A,4.9,,"3GRH+8WR, Sarkhej - Gandhinagar Hwy, nr. Dhaval Party Plot, nr. Bhavik Publication, Gota, Ahmedabad, Gujarat 382481",Gota,23.090860199999998,72.5297525,ChIJV4feu8SCXjkR88QpUKWIFfA,https://www.google.com/maps/place/?q=place_id:ChIJV4feu8SCXjkR88QpUKWIFfA,part_107,2026-09-20 16:42:17
The Stone World (Top Tiles Showroom & Wholesaler & Dealer),Tile and Marble Showroom,Tile store,"Tile store, Ceramics wholesaler, Supplier, Flooring store, Natural Stone Exporter, Roofing contractor, Roofing supply store, Tile contractor, Tile manufacturer",387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO",+91 88662 10442,http://www.thestoneworld.co.in/,4.8,,"Q-4/5, Udhana - Magdalla Rd, near Navjivan Circle, beside homeopathic college, G.P. Society, Swaminagar Society, Bhatar, Udhana, Surat, Gujarat 395001","G.P. Society, Swaminagar Society, Bhatar, Udhana",21.1661994,72.8185089,ChIJ1QEAAG1O4DsRclxXngb8Zi4,https://www.google.com/maps/place/?q=place_id:ChIJ1QEAAG1O4DsRclxXngb8Zi4,part_107,2026-09-20 16:42:18
