business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Alasca Modular Culture,Modular Kitchen Manufacturer,Modular home builder,Modular home builder,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 82383 38471,http://www.inovizheniinterio.com/,5.0,,"HW7V+MWR, 109/110 Krishna Aaron Complex sardar Patel Rajmarg, Sardar Patel Rd, behind Iris Hospital, Patel Chokdi, Vivekanand Wadi, Anand, Gujarat 388120","Patel Chokdi, Vivekanand Wadi",22.564035999999998,72.9448136,ChIJf3iwPxpPXjkRGflV2lXOpgw,https://www.google.com/maps/place/?q=place_id:ChIJf3iwPxpPXjkRGflV2lXOpgw,part_107,2026-09-20 16:43:01
IVAS Modular Kitchen & Wardrobe Anand - Umiya Ceramic,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Kitchen remodeler, Kitchen supply store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 99000 80007,https://www.ivas.homes/modular-kitchen/?utm_source=googlelocal&utm_medium=organic&utm_campaign=DODO_Dealer_NameUmiya_Ceramic,5.0,,"HW9V+92 Radha Madhav complex, Purushottam Nagar, Anand, Gujarat 388315",Purushottam Nagar,22.568437499999998,72.9425625,ChIJFzcYBgBPXjkRFc3JlPVoypA,https://www.google.com/maps/place/?q=place_id:ChIJFzcYBgBPXjkRFc3JlPVoypA,part_107,2026-09-20 16:43:01
Brahmani Wood And Steel Furniture,Modular Kitchen Manufacturer,Furniture store,Furniture store,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",N/A,N/A,4.6,,"130, A18 Rd, VU Nagar, Vithal Udyognagar, GIDC, Anand, Gujarat 388120","VU Nagar, Vithal Udyognagar, GIDC",22.527397399999998,72.92359739999999,ChIJ1WsUN8BNXjkRE_XkXOaAoiw,https://www.google.com/maps/place/?q=place_id:ChIJ1WsUN8BNXjkRE_XkXOaAoiw,part_107,2026-09-20 16:43:01
Shreeji Furniture & Carpenter,Modular Kitchen Manufacturer,Carpenter,Carpenter,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 98244 47837,N/A,4.7,,"shop no 405, Krishna veela complex, Moti Khodiyar Rd, Anand, Gujarat 388001",388001,22.5721295,72.9490221,ChIJRZ50-D9PXjkR2_v5ctLjju0,https://www.google.com/maps/place/?q=place_id:ChIJRZ50-D9PXjkR2_v5ctLjju0,part_107,2026-09-20 16:43:01
UMIYA CERAMIC,Modular Kitchen Manufacturer,Showroom,"Showroom, Tile store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 99740 94550,N/A,4.9,,"GJ SH 75, Lambhvel Rd, nr. Sanket circle, Purushottam Nagar, Anand, Gujarat 388315",Purushottam Nagar,22.568380299999998,72.9427007,ChIJO-7pt3xPXjkREJ62sBOg0RQ,https://www.google.com/maps/place/?q=place_id:ChIJO-7pt3xPXjkREJ62sBOg0RQ,part_107,2026-09-20 16:43:01
Ulfat Furniture,Modular Kitchen Manufacturer,Furniture store,Furniture store,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 72020 30959,N/A,5.0,,"Ulfat furniture, Bhalej Rd, nr. mm kelawala, Samarkha, Anand, Gujarat 388360",388001,22.597012199999998,72.9778117,ChIJzYDPiuVOXjkRrMFNHH4VG2w,https://www.google.com/maps/place/?q=place_id:ChIJzYDPiuVOXjkRrMFNHH4VG2w,part_107,2026-09-20 16:43:01
"Wakefit - Mattress and Furnishing Store in Vallabh Vidyanagar, Anand",Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture accessories, Furniture maker, Furniture store, Office furniture store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 80 6842 6669,https://www.wakefit.co/furniture-store/anand/Vallabh-Vidyanagar,4.7,,"Shop No. 1, Krishna Saffron, beside Motikakani chali, near Triveni Complex, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5506046,72.9343731,ChIJWfntiRtPXjkRO9TsMLU9hNo,https://www.google.com/maps/place/?q=place_id:ChIJWfntiRtPXjkRO9TsMLU9hNo,part_107,2026-09-20 16:43:01
Pepperfry Home Furniture & Mattress Shop in Vallabh VidhyaNagar Anand,Modular Kitchen Manufacturer,Furniture store,"Furniture store, Bed shop, Bedroom furniture store, Furniture accessories, Furniture wholesaler, Home improvement store, Mattress store, Office furniture store, Sofa store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 79 6910 3897,https://www.pepperfry.com/stores/location/furniture-store-in-Vallabh-Vidyanagar.html,5.0,,"Usha' Building, GF, near ICICI Bank, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.549191399999998,72.9278454,ChIJTa4idvtPXjkRaZckE0VJG-s,https://www.google.com/maps/place/?q=place_id:ChIJTa4idvtPXjkRaZckE0VJG-s,part_107,2026-09-20 16:43:01
IFB Point - Anand,Modular Kitchen Manufacturer,Appliance store,"Appliance store, Air conditioning store, Kitchen supply store, Modular home builder, Washer & dryer store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 92747 04649,https://www.ifbappliances.com/,4.8,,"Rao Saheb Centre, 203-206, Sardar Gunj Road, next to Canara Bank, opp. Nice Steel Furniture, Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.5543831,72.959338,ChIJ-e9V4-VPXjkRTRanxE_6OBw,https://www.google.com/maps/place/?q=place_id:ChIJ-e9V4-VPXjkRTRanxE_6OBw,part_107,2026-09-20 16:43:01
Elixir Modulars : Modular Kitchen & Wardrobe Manufacturer,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Furniture Manufacturer",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 78638 73715,N/A,4.9,94.0,"E/S-1, Nitco Marg, Block A, Shyam Enclave, Sahibabad, Ghaziabad, Uttar Pradesh 201005","Block A, Shyam Enclave, Sahibabad",28.6792302,77.3403769,ChIJBXdQbhv7DDkRUmP8WfEeNEA,https://www.google.com/maps/place/?q=place_id:ChIJBXdQbhv7DDkRUmP8WfEeNEA,part_107,2026-09-20 16:43:02
A. R. Woodcraft,Modular Kitchen Manufacturer,Furniture Manufacturer,Furniture Manufacturer,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 70436 66644,N/A,4.7,15.0,"Plot no.210, GIDC, Nr, Umreth, Bharoda, Gujarat 388220","GIDC, Nr",22.6853046,73.1171226,ChIJX7F2qXw5XjkREdi7vPotn3Q,https://www.google.com/maps/place/?q=place_id:ChIJX7F2qXw5XjkREdi7vPotn3Q,part_107,2026-09-20 16:43:02
STAR Modular Kitchen Wardrobes & Interiors,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 93158 94251,https://www.modularkitchensgurgaon.in/,4.7,299.0,"Daulatabad Main Rd, near JPM Automobiles, Ward No.7, Rajendra Park, Gurgaon Rural, Gurugram, Haryana 122006","Ward No.7, Rajendra Park, Gurgaon Rural",28.4891556,77.00356479999999,ChIJT5mGOYgXDTkRnJ935wBhvXI,https://www.google.com/maps/place/?q=place_id:ChIJT5mGOYgXDTkRnJ935wBhvXI,part_107,2026-09-20 16:43:02
Prozone international,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture accessories, Furniture accessories supplier, Hardware store",388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand",+91 94280 17662,http://www.prozoneinternational.com/,4.8,,"33/ Austmangal estate,Near Asarwa Bridge, Civil Hospital Rd, Jahangirpura, Asarwa, Ahmedabad, Gujarat 380016","Jahangirpura, Asarwa",23.0406773,72.5997379,ChIJwa8qsj2EXjkRzXcP-uYWYc0,https://www.google.com/maps/place/?q=place_id:ChIJwa8qsj2EXjkRzXcP-uYWYc0,part_107,2026-09-20 16:43:03
