business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Al Tuition Classes,Tuition Center,Tutoring service,"Tutoring service, Education center",388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,5.0,,"4,Nest Tirth society, Gujarat 388320",388110,22.5464918,72.98899829999999,ChIJC3jK3kRNXjkRHKQe3lKbovI,https://www.google.com/maps/place/?q=place_id:ChIJC3jK3kRNXjkRHKQe3lKbovI,part_107,2026-09-20 16:43:49
Mahida Madhav academy (Anand engineering coaching),Tuition Center,Education center,"Education center, Coaching Center, Engineering school, Studying center, Tutoring service",388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",+91 94089 37553,N/A,5.0,,"no 2 oppo, vidhi party plot ganesh chowkdi, such banglow, Anand, Gujarat 388120","Chandralok Society, Kailash Farm Road, Mangalpura",22.5442561,72.9787278,ChIJoeMGOglNXjkRYN4FtIJAjS4,https://www.google.com/maps/place/?q=place_id:ChIJoeMGOglNXjkRYN4FtIJAjS4,part_107,2026-09-20 16:43:49
Kriya Kutir Activity & Learning Centre,Tuition Center,Education center,Education center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,5.0,,"Sanjivan Majestic, 37, TF Rd, opposite Rajodpura, Rajodpura, Anand, Gujarat 388001",Rajodpura,22.549725799999997,72.9810006,ChIJs5UZ1rRNXjkRyi3fdAuvbR0,https://www.google.com/maps/place/?q=place_id:ChIJs5UZ1rRNXjkRyi3fdAuvbR0,part_107,2026-09-20 16:43:49
Hari Om Tutorials,Tuition Center,Coaching Center,"Coaching Center, CBSE School, Education center, Private Tutor",388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",+91 98794 23261,N/A,5.0,,"B/h, Ganesh Dairy, NARAYAN"" Bungalow, N/r, IRMA Rd, opp. Shatak Heights, Anand, Gujarat 388001","Chandralok Society, Jai Somnath Society, Kedar Park Society",22.540919199999998,72.9714418,ChIJv1Tx_a9NXjkRxAouV_HUxH8,https://www.google.com/maps/place/?q=place_id:ChIJv1Tx_a9NXjkRxAouV_HUxH8,part_107,2026-09-20 16:43:49
Smaartus Abacus classes,Tuition Center,Education center,Education center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",+91 88507 65851,http://www.smaartusabacus.com/,5.0,,"Faculty resistance, B-6, near NDDB, Institute of Rural Management, Anand, Gujarat 388110",Institute of Rural Management,22.5386865,72.9749023,ChIJwZ8RDbBNXjkRL3M1VUJ5URY,https://www.google.com/maps/place/?q=place_id:ChIJwZ8RDbBNXjkRL3M1VUJ5URY,part_107,2026-09-20 16:43:49
Global English Institute,Tuition Center,Coaching Center,Coaching Center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,5.0,,"2nd Floor, Pushpkunj"", Vaghasivada Building, Amul Dairy Rd, beside Axis Bank, Nandanvan Society, Popati Nagar, Anand, Gujarat 388001","Nandanvan Society, Popati Nagar",22.5529743,72.968317,ChIJdyw8lstNXjkRokD4D9FqWP8,https://www.google.com/maps/place/?q=place_id:ChIJdyw8lstNXjkRokD4D9FqWP8,part_107,2026-09-20 16:43:49
"AEDU, Education and You",Tuition Center,Education center,Education center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,,,"102, Swastik Apartments, Anand - Sojitra Rd, near RTO Camp, Nandavana Society, Kedar Park Society, Anand, Gujarat 388001","Nandavana Society, Kedar Park Society",22.5449223,72.9629928,ChIJ7YscT-ZNXjkRmD2WM4Gkd48,https://www.google.com/maps/place/?q=place_id:ChIJ7YscT-ZNXjkRmD2WM4Gkd48,part_107,2026-09-20 16:43:49
chiragnicharcha,Tuition Center,Education center,Education center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,,,"Radhe Residency, 28, near Dharati Nagar, A A Vohra Basera Society, Hadgood, Anand, Gujarat 388110","A A Vohra Basera Society, Hadgood",22.527999899999998,72.9789583,ChIJu_SGsdlNXjkRoKtuJepOKfw,https://www.google.com/maps/place/?q=place_id:ChIJu_SGsdlNXjkRoKtuJepOKfw,part_107,2026-09-20 16:43:49
The Learning Tree - Home Coaching Institute,Tuition Center,Coaching Center,Coaching Center,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",N/A,N/A,5.0,,"17, Shakuntla Upvan, Anand - Vaghasi Rd, opp. Baba Ramdev General Store, near Railway Crossing, Rajodpura, Anand, Gujarat 388001",Rajodpura,22.5459952,72.98408069999999,ChIJE_-maBVNXjkRKuuUe9olo5U,https://www.google.com/maps/place/?q=place_id:ChIJE_-maBVNXjkRKuuUe9olo5U,part_107,2026-09-20 16:43:49
Vivek Personal and Group Tuitions,Tuition Center,Educational institution,Educational institution,388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO",+91 98797 76651,https://www.vpgteducation.in/,4.5,,"2nd Floor, 202, opp. Diwlipura Garden, above Icon Hospital, Ashray Park Society, Meera Society, Diwalipura, Vadodara, Gujarat 390015","Ashray Park Society, Meera Society, Diwalipura",22.3009757,73.1551908,ChIJqeOHecXJXzkRp0xjCmzD4oY,https://www.google.com/maps/place/?q=place_id:ChIJqeOHecXJXzkRp0xjCmzD4oY,part_107,2026-09-20 16:43:50
