business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shaktiman Office,Offices,Corporate office,Corporate office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,4.9,,"Bagodra, road, Tarapur, Gujarat 388180",388180,22.4951577,72.63978399999999,ChIJKYKeD7L_XjkRiVB3lOV6cqQ,https://www.google.com/maps/place/?q=place_id:ChIJKYKeD7L_XjkRiVB3lOV6cqQ,part_107,2026-09-20 16:49:23
Mehul,Offices,Government office,Government office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,,,"FMQ5+G5H, Krishna Nagar, Tarapur, Gujarat 388180",Krishna Nagar,22.488808499999998,72.6579713,ChIJHz27fgD_XjkRs0Avz8-SDY8,https://www.google.com/maps/place/?q=place_id:ChIJHz27fgD_XjkRs0Avz8-SDY8,part_107,2026-09-20 16:49:23
Tarapur post office,Offices,Post office,Post office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,5.0,,"Tarapur Chowkdi, Isarwada, Gujarat 388180",388180,22.4954185,72.6450172,ChIJleWDLFj_XjkRv52vzJPFiVY,https://www.google.com/maps/place/?q=place_id:ChIJleWDLFj_XjkRv52vzJPFiVY,part_107,2026-09-20 16:49:23
Dwarkesh agency,Offices,Corporate office,Corporate office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,,,"maruti arcade, opp. Maya Showroom, Krishna Nagar Society, Tarapur, Gujarat 388180",Krishna Nagar Society,22.4938897,72.64884289999999,ChIJd5p1UgD_XjkRGaF9SxRgBSo,https://www.google.com/maps/place/?q=place_id:ChIJd5p1UgD_XjkRGaF9SxRgBSo,part_107,2026-09-20 16:49:23
Varsada B.O,Offices,Post office,Post office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,http://www.indiapost.gov.in/,4.5,,"FGR3+P7J Gram Panchayat Tarapur, At Varsada near, Varasda, Gujarat 388180",388180,22.4907669,72.5056109,ChIJV-IKmu_jXjkRElSkJCWLQeg,https://www.google.com/maps/place/?q=place_id:ChIJV-IKmu_jXjkRElSkJCWLQeg,part_107,2026-09-20 16:49:23
Tarapur Taluka Farmer Producer Company Limited,Offices,Corporate office,Corporate office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,5.0,,"FMV2+6XF, Krishna Nagar Society, Tarapur, Gujarat 388180",Krishna Nagar Society,22.4928402,72.65276759999999,ChIJz-ZHBgD_XjkRYwAO06xAfxE,https://www.google.com/maps/place/?q=place_id:ChIJz-ZHBgD_XjkRYwAO06xAfxE,part_107,2026-09-20 16:49:23
Tarapur Police Station,Offices,Government office,Government office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,3.5,,"FMP6+6VW, Tarapur, Gujarat 388180",388180,22.485602399999998,72.66220539999999,ChIJE_ztqOL-XjkRu1HYblcW6Kc,https://www.google.com/maps/place/?q=place_id:ChIJE_ztqOL-XjkRu1HYblcW6Kc,part_107,2026-09-20 16:49:23
Tarapur Sub Post Office,Offices,Government office,Government office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,,,"FJVX+CC4, Krishna Nagar Society, Tarapur, Gujarat 388180",Krishna Nagar Society,22.4935218,72.6485679,ChIJs_w4bAD_XjkRt6x1rELNAQg,https://www.google.com/maps/place/?q=place_id:ChIJs_w4bAD_XjkRt6x1rELNAQg,part_107,2026-09-20 16:49:23
Vaghela Trading,Offices,Corporate office,Corporate office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",N/A,N/A,3.7,,"FMQ4+96C, GJ SH 6, Krishna Nagar, Tarapur, Gujarat 388180",Krishna Nagar,22.4884439,72.6555121,ChIJgQPuP1z_XjkRwLKMNR1DeWI,https://www.google.com/maps/place/?q=place_id:ChIJgQPuP1z_XjkRwLKMNR1DeWI,part_107,2026-09-20 16:49:23
Bo name : Isharvada Bo,Offices,Post office,Post office,388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO",+91 97121 84174,http://www.indiapost.gov.in/,5.0,,"GJ65+5VJ, Bamangam, Gujarat( Tarapur so) Add. Dharamshala pase, at.isarvada ta Tarapur, Gujarat 388180",388180,22.510469099999998,72.6096306,ChIJo8MBNZ39XjkRZ1wjt7PX3uQ,https://www.google.com/maps/place/?q=place_id:ChIJo8MBNZ39XjkRZ1wjt7PX3uQ,part_107,2026-09-20 16:49:23
