business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Panachee Design,Boutiques,Clothing store,Clothing store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97257 67460,https://panacheedesign.com/,4.9,128.0,"greed crossing, Anand, Gujarat 388001",Ganesh Colony,22.556618,72.95048659999999,ChIJQekJSoFOXjkRao4Kn0B6AzI,https://www.google.com/maps/place/?q=place_id:ChIJQekJSoFOXjkRao4Kn0B6AzI,part_108,2026-09-20 16:40:10,1166
Swapneri Dresses,Boutiques,Clothing store,Clothing store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99249 44061,N/A,5.0,1.0,"Sai Center, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4778394,72.800693,ChIJAQAAAIRUXjkRZXCsCGunzRs,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAIRUXjkRZXCsCGunzRs,part_108,2026-09-20 16:40:10,1167
Circle Tailors,Boutiques,Clothing store,Clothing store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97253 41565,N/A,4.0,4.0,"Chavdi bazar, opposite Gayatri jewellers, Sherpura, Pathanwada, Petlad, Gujarat 388450","Sherpura, Pathanwada",22.4776687,72.8009458,ChIJcWZhxaRVXjkR5xh0Cb4fjSA,https://www.google.com/maps/place/?q=place_id:ChIJcWZhxaRVXjkR5xh0Cb4fjSA,part_108,2026-09-20 16:40:10,1168
Roop Mangalam Boutique,Boutiques,Women's clothing store,Women's clothing store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98243 25117,N/A,4.2,34.0,"100 Feet Rd, Vishwakarma Society, Vivekanand Wadi, Anand, Gujarat 388120","Vishwakarma Society, Vivekanand Wadi",22.5608287,72.94671389999999,ChIJc6q38odOXjkRSZMGRdqv42Y,https://www.google.com/maps/place/?q=place_id:ChIJc6q38odOXjkRSZMGRdqv42Y,part_108,2026-09-20 16:40:11,1169
GAMTHI,Boutiques,Women's clothing store,Women's clothing store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 70962 69296,https://www.facebook.com/gamthi.dresses/,4.0,79.0,"JP Rd, opp. Post office, nr. Old Bus Stop, Ganesh Chokdi, Sardar Ganj, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.5591583,72.96457699999999,ChIJ7XZFRZlOXjkR27u7Zv_c9As,https://www.google.com/maps/place/?q=place_id:ChIJ7XZFRZlOXjkR27u7Zv_c9As,part_108,2026-09-20 16:40:11,1170
Mihika Bridals,Boutiques,Bridal shop,Bridal shop,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 99986 02517,https://www.facebook.com/mihikabridals/,4.9,,"NEST, Kalgidhar Society, Amul Dairy Rd, near New DMart, opp. Gurudwara, Anand, Gujarat 388001",Popati Nagar,22.554900999999997,72.97035679999999,ChIJswP8DOlPXjkRJVFZro5ZHsc,https://www.google.com/maps/place/?q=place_id:ChIJswP8DOlPXjkRJVFZro5ZHsc,part_108,2026-09-20 16:41:11,5649
Prinee Computerized Embroday,Boutiques,Embroidery shop,Embroidery shop,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 74053 67238,N/A,5.0,1.0,"Shop 1, Novello entertainment, Sunav - Trambovad Rd, Petlad, Isnav, Gujarat 388450",388460,22.5349255,72.7641846,ChIJC-PtQvRXXjkRkCOtHERUBVU,https://www.google.com/maps/place/?q=place_id:ChIJC-PtQvRXXjkRkCOtHERUBVU,part_108,2026-09-20 16:41:14,5650
The Bridal Gallery,Boutiques,Women's clothing store,Women's clothing store,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 94296 65867,N/A,5.0,,"15, Madhu , Mariyampura, Mariampura, Rangaipura, Petlad, Gujarat 388450","Mariampura, Rangaipura",22.493302699999997,72.80696809999999,ChIJ_clWOwBTXjkRZLl1_Y-9nr4,https://www.google.com/maps/place/?q=place_id:ChIJ_clWOwBTXjkRZLl1_Y-9nr4,part_108,2026-09-20 16:42:16,8273
Kala Mandir Fashion,Boutiques,Women's clothing store,Women's clothing store,388470,Gujarat Circle,Vadodara Region,Kheda Division,Sunav SO,+91 84606 14061,N/A,4.3,16.0,"G/4,ShivaSharay Complex, Char Rasta, Laxmi Talkies, Anand, Gujarat 388001",Gamdi Vad,22.5585433,72.9618465,ChIJX5u9jptOXjkRGD5sNNDazcA,https://www.google.com/maps/place/?q=place_id:ChIJX5u9jptOXjkRGD5sNNDazcA,part_108,2026-09-20 16:43:17,10179
Navya by Nirali | Best Chaniya Choli in Gujarat,Boutiques,Fashion designer,"Fashion designer, Boutique",388510,Gujarat circle,Vadodara Region,Anand Division,"Asarma BO, Joshikuva BO, Kinkhlod BO",+91 98257 23257,https://navyabynirali.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,62.0,"Nr.Purohit Dining Hall, Karamsad Road Lane beside Radhika Flat, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.550178,72.9204092,ChIJh2kNOVFPXjkRAnGy_znLV_Y,https://www.google.com/maps/place/?q=place_id:ChIJh2kNOVFPXjkRAnGy_znLV_Y,part_108,2026-09-20 16:45:21,11956
