business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shreeji Motor Driving School,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90334 24027,N/A,5.0,,"Jay laxmi tower Opp lakasa inn Hotel B/H Ttandoor Hotel, Ganesh Chokdi, Anand, Gujarat 388001","Chandralok Society, Ganesh Chokdi, Mangalpura",22.546433,72.9719166,ChIJMdi-Z4JNXjkRwC0D2vE56tY,https://www.google.com/maps/place/?q=place_id:ChIJMdi-Z4JNXjkRwC0D2vE56tY,part_108,2026-09-20 16:40:21,2099
CHAROTAR MOTOR DRIVING SCHOOL,Driving School,Driving school,"Driving school, Driver's license office",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98984 64864,N/A,5.0,,"A-3 Aedan Avenue, Beside City Point restaurant Near RTO Anand - Sojirta, Road, Anand, Gujarat 388001","Nandavana Society, Kedar Park Society",22.5446381,72.9632568,ChIJB4YYdyRMXjkR6OVZHiIve2E,https://www.google.com/maps/place/?q=place_id:ChIJB4YYdyRMXjkR6OVZHiIve2E,part_108,2026-09-20 16:40:21,2100
Jay dwarkadhish driving school,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97251 52363,N/A,5.0,,"Anand - Sojitra Rd, Vithal Udyognagar, Karamsad, Anand, Gujarat 388001","Vithal Udyognagar, Karamsad",22.541656099999997,72.940935,ChIJ84caG2RNXjkRDJk7A6uhGTQ,https://www.google.com/maps/place/?q=place_id:ChIJ84caG2RNXjkRDJk7A6uhGTQ,part_108,2026-09-20 16:40:21,2101
Akash Motor Training School,Driving School,Training center,Training center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99796 51144,N/A,5.0,,"Shri Ram Shopping Center, 16, College Rd, opp. Sardar Super Market, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4766795,72.804554,ChIJfxizUalTXjkRs1B8W8uNrK0,https://www.google.com/maps/place/?q=place_id:ChIJfxizUalTXjkRs1B8W8uNrK0,part_108,2026-09-20 16:40:21,2102
New Gujarat Driving School,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99251 51677,N/A,4.5,,"near Icy Spicy Restaurant, Bakrol, Nana Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Bakrol, Nana Bazaar, Vallabh Vidyanagar",22.5549303,72.92843359999999,ChIJ9Uw5VnFOXjkRJOIRn2g1_oM,https://www.google.com/maps/place/?q=place_id:ChIJ9Uw5VnFOXjkRJOIRn2g1_oM,part_108,2026-09-20 16:40:21,2103
A J Motor Training School,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99786 87757,http://www.ajmotortrainingschool.net/,4.6,,"B-8, Tanmay Complex, Railway Station Rd, opp. canara bank, opp. HDFC bank NR- D’mart, Vallabh Vidyanagar, Gujarat 388120",Vallabh Vidyanagar,22.5488915,72.92889459999999,ChIJJ4L4AnZOXjkRmcCJgCDWZ5c,https://www.google.com/maps/place/?q=place_id:ChIJJ4L4AnZOXjkRmcCJgCDWZ5c,part_108,2026-09-20 16:40:21,2104
Navchetan Driving School,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 253 540,N/A,4.1,,"Amul Dairy Rd, Popati Nagar, Anand, Gujarat 388001",Popati Nagar,22.552315,72.96921999999999,ChIJsw5rGyBMXjkR-qlsK80_evo,https://www.google.com/maps/place/?q=place_id:ChIJsw5rGyBMXjkR-qlsK80_evo,part_108,2026-09-20 16:40:21,2105
"Maruti Driving School ( Amar cars , Anand , Janta Crossing)",Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 96388 03281,N/A,4.7,,"Amar Cars Pvt Ltd, Janta Crossing, Ismaile Nagar, Gamdi, Anand, Gujarat 388001","Ismaile Nagar, Gamdi",22.5698169,72.9637412,ChIJ6dNcCrhPXjkRLBfF31-aDGI,https://www.google.com/maps/place/?q=place_id:ChIJ6dNcCrhPXjkRLBfF31-aDGI,part_108,2026-09-20 16:40:21,2106
Spartan Driving School - Anand,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98240 67370,N/A,3.9,,"Amul Dairy Rd, Near Mehta Ice Cream & Farsan Store, Popati Nagar, Anand, Gujarat 388001",Popati Nagar,22.5548975,72.9687573,ChIJcxmAkZ9OXjkRhTbpnG1yiBo,https://www.google.com/maps/place/?q=place_id:ChIJcxmAkZ9OXjkRhTbpnG1yiBo,part_108,2026-09-20 16:40:21,2107
Vasim Formen,Driving School,Driving school,Driving school,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 82000 54958,N/A,,,"nr. Town Hall Road, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4783851,72.8035091,ChIJ3ekFT1tVXjkRJbNnDtvkUdE,https://www.google.com/maps/place/?q=place_id:ChIJ3ekFT1tVXjkRJbNnDtvkUdE,part_108,2026-09-20 16:40:21,2108
