business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Saiyed Global Exports,Exporters,Wholesaler,Wholesaler,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,,,"FRQ2+4HQ, Petlad - Sunav Rd, Dharam Nagar Society, Rangaipura, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.4877663,72.8014826,ChIJoY80EgBVXjkRIebu75qRL10,https://www.google.com/maps/place/?q=place_id:ChIJoY80EgBVXjkRIebu75qRL10,part_108,2026-09-20 16:40:53,4767
Dawat Supplier,Exporters,Warehouse,Warehouse,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,4.0,"FQJX+W4R, Raza Society, Sherpura, Pathanwada, Petlad, Gujarat 388450","Raza Society, Sherpura, Pathanwada",22.482359799999998,72.7977681,ChIJZ3P02RRVXjkR0GLILgNMtco,https://www.google.com/maps/place/?q=place_id:ChIJZ3P02RRVXjkR0GLILgNMtco,part_108,2026-09-20 16:40:53,4768
Shree ashapura industriese,Exporters,Saw mill,Saw mill,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 75730 57645,N/A,,,"1 gidc, 4, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.488918599999998,72.8105236,ChIJw8rmrVNTXjkR2hB4DiddbcY,https://www.google.com/maps/place/?q=place_id:ChIJw8rmrVNTXjkR2hB4DiddbcY,part_108,2026-09-20 16:40:53,4769
Jogmaiya Packing Industries,Exporters,Saw mill,Saw mill,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94094 53789,N/A,5.0,3.0,"5,G.I.D.C. estate, Rangaipura, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.4894502,72.8093806,ChIJC59uV39TXjkR4adNI0bhqbI,https://www.google.com/maps/place/?q=place_id:ChIJC59uV39TXjkR4adNI0bhqbI,part_108,2026-09-20 16:40:53,4770
Angel One Ltd. - Hetal Investment,Exporters,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial planner, Online Share Trading Center",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79 4287 7666,https://stockbroker.angelone.in/angel-one-ltd-hetal-investment-stock-broker-petlad-anand-433589/Home?utm_source=locator&utm_medium=googleplaces,5.0,4.0,"Office No 234, Sardar Patel Supermarket, near Asnani Exports, Harihar Society, Sarvodaya Society, Petlad, Gujarat 388450","Harihar Society, Sarvodaya Society",22.4762798,72.80398799999999,ChIJKf8lLf5VXjkREjY3sj5OE-8,https://www.google.com/maps/place/?q=place_id:ChIJKf8lLf5VXjkREjY3sj5OE-8,part_108,2026-09-20 16:40:54,4771
Wellmake Ply Industries,Exporters,Manufacturer,"Manufacturer, Door supplier, Plywood supplier",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97270 77899,N/A,5.0,9.0,"GJ SH 89, opp. Ganesh Temple, Rangaipura, Petlad, Gujarat 388450",Rangaipura,22.4974611,72.8147113,ChIJ4VUVwIRTXjkROLSw-aTzQ3w,https://www.google.com/maps/place/?q=place_id:ChIJ4VUVwIRTXjkROLSw-aTzQ3w,part_108,2026-09-20 16:40:54,4772
Pencil Factory,Exporters,Manufacturer,Manufacturer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.6,7.0,"Pencil Factory, Petlad, Gujarat 388450",388450,22.485905799999998,72.7977847,ChIJAf-RL4dUXjkRMbXBKi7jLHc,https://www.google.com/maps/place/?q=place_id:ChIJAf-RL4dUXjkRMbXBKi7jLHc,part_108,2026-09-20 16:40:54,4773
OMSHIV PHARMACHEM PVT LTD,Exporters,Manufacturer,Manufacturer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79900 91396,https://omshivpharma.com/,4.8,4.0,"Survey no. 503, Daheda, Gujarat 388620",388450,22.378129299999998,72.548479,ChIJuSu4XgAHXzkRFH0hjg81tM4,https://www.google.com/maps/place/?q=place_id:ChIJuSu4XgAHXzkRFH0hjg81tM4,part_108,2026-09-20 16:40:55,4774
Fluoro Polymer Products,Exporters,Corporate office,Corporate office,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98985 67889,N/A,4.8,5.0,"3, Phase 4 GIDC, Estate, Vitthal Udyognagar INA, Gujarat 388120","New Vallabh Vidyanagar, GIDC",22.5258324,72.92222269999999,ChIJRzFd3b1NXjkR2Y7XlDxG51M,https://www.google.com/maps/place/?q=place_id:ChIJRzFd3b1NXjkR2Y7XlDxG51M,part_108,2026-09-20 16:40:55,4775
Baroque Pharmaceuticals Pvt. Ltd (Sokhada),Exporters,Pharmaceutical company,"Pharmaceutical company, Pharmaceuticals Exporter",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 75748 78022,http://www.baroquepharma.com/,4.0,33.0,"Gate - 1, S. No. 192/2 & 3, At, Ta, Sokhada, Khambhat, Gujarat 388620",388450,22.3509142,72.5958686,ChIJwe0lFd0DXzkR4CFjAdnSS2U,https://www.google.com/maps/place/?q=place_id:ChIJwe0lFd0DXzkR4CFjAdnSS2U,part_108,2026-09-20 16:40:55,4776
Pharmanza (India) Pvt. Ltd,Exporters,Pharmaceutical company,Pharmaceutical company,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2698 222 425,https://www.pharmanza.com/,3.9,16.0,"70/1, G.I.D.C, Khambhat, Gujarat 388630",G.I.D.C,22.3294744,72.6433397,ChIJ9Vx6vMsGXzkRKXLudkpL-Ko,https://www.google.com/maps/place/?q=place_id:ChIJ9Vx6vMsGXzkRKXLudkpL-Ko,part_108,2026-09-20 16:40:55,4777
Ravi Pharmaceuticals Pvt. Ltd,Exporters,Pharmaceutical company,Pharmaceutical company,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 80006 68898,http://ravipharma.net/,3.4,17.0,"69/1, Kansari, G.I.D.C, Khambhat, Gujarat 388630","Kansari, G.I.D.C",22.3296369,72.6438141,ChIJHeYjkcsGXzkRNxJR6kCRcLE,https://www.google.com/maps/place/?q=place_id:ChIJHeYjkcsGXzkRNxJR6kCRcLE,part_108,2026-09-20 16:40:55,4778
Vicky Tobacco co,Exporters,Tobacco supplier,Tobacco supplier,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,N/A,5.0,1.0,"kasor to petlad road, Sunav - Trambovad Rd, Gujarat 388470",388460,22.529474099999998,72.7941228,ChIJWbOekT5VXjkRlPXOMZsOTxY,https://www.google.com/maps/place/?q=place_id:ChIJWbOekT5VXjkRlPXOMZsOTxY,part_108,2026-09-20 16:41:54,7409
MJ EXPORTS,Exporters,Agrochemicals Supplier,Agrochemicals Supplier,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,N/A,,,"G-2, B BLOCK, behind Pooja Estate, Vithal Udyognagar, GIDC, Anand, Gujarat 388121","Vithal Udyognagar, GIDC",22.5399769,72.9280276,ChIJSykK2tBNXjkRcfJSJgPiUTU,https://www.google.com/maps/place/?q=place_id:ChIJSykK2tBNXjkRcfJSJgPiUTU,part_108,2026-09-20 16:41:54,7410
MJ. Exports,Exporters,Agrochemicals Supplier,Agrochemicals Supplier,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,N/A,,,"GWQH+V4V, VU Nagar, New Vallabh Vidyanagar, GIDC, Anand, Gujarat 388120","VU Nagar, New Vallabh Vidyanagar, GIDC",22.539738399999997,72.9277943,ChIJe4OkIwBNXjkRNuOiEDq-QqE,https://www.google.com/maps/place/?q=place_id:ChIJe4OkIwBNXjkRNuOiEDq-QqE,part_108,2026-09-20 16:41:54,7411
"JAY AMBE PLASTICS, SUNAV",Exporters,Plastic Products Supplier,Plastic Products Supplier,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,N/A,5.0,1.0,"Sunav, Gujarat 388470",388460,22.530312499999997,72.7976875,ChIJdW4CQQBVXjkRiRtZ3pHge9w,https://www.google.com/maps/place/?q=place_id:ChIJdW4CQQBVXjkRiRtZ3pHge9w,part_108,2026-09-20 16:41:54,7412
Patel Export Industries,Exporters,Import export company,"Import export company, Agricultural service, Chemical Exporter, Consultant, Customs consultant, Exporter, Pharmaceuticals Exporter, Textile Exporter",388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 99098 04102,https://www.patelexportindustries.com/,4.9,25.0,"418, Sky View, Sarthana Kamrej, Main Road, Sarthana Jakat Naka, Surat, Gujarat 395013",Sarthana Jakat Naka,21.239277299999998,72.9115722,ChIJCZmuosNP4DsR3VFQDj7NAdM,https://www.google.com/maps/place/?q=place_id:ChIJCZmuosNP4DsR3VFQDj7NAdM,part_108,2026-09-20 16:41:54,7413
Okhai Pharma Intermediates Pvt Ltd,Exporters,Manufacturer,Manufacturer,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,http://www.okhaipharma.com/,5.0,3.0,"HQ8P+4GG, Piplav-Changa Rd, Vill, Kasor, Gujarat 387240",Vill,22.5653178,72.7863326,ChIJsaFqVQBXXjkRq3-ko_8LHLM,https://www.google.com/maps/place/?q=place_id:ChIJsaFqVQBXXjkRq3-ko_8LHLM,part_108,2026-09-20 16:41:54,7414
Aarvij International,Exporters,Import export company,Import export company,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 99047 25232,N/A,5.0,2.0,"Email: exports@aarvijinternational.in Address: GF-29, Eastern Arcade, Waghodia Kapurai Junction, NH NO:08, Gujarat 390019",Kendranagar,22.2876568,73.2512823,ChIJuzMu_TXbXzkR_NGK0TKHm8g,https://www.google.com/maps/place/?q=place_id:ChIJuzMu_TXbXzkR_NGK0TKHm8g,part_108,2026-09-20 16:41:54,7415
Anant Agri Exports,Exporters,Spices Exporter,Spices Exporter,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 97251 90916,https://anantagriexport.com/,5.0,3.0,"Bharudi, Gujarat 360311",388460,22.0745748,70.7662376,ChIJh_6G9CO1WTkR6h77G0dQ0oU,https://www.google.com/maps/place/?q=place_id:ChIJh_6G9CO1WTkR6h77G0dQ0oU,part_108,2026-09-20 16:41:54,7416
Pramukh Petroleum - Bharat Petroleum,Exporters,Petrol Pump,"Petrol Pump, Compressed natural gas station",388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 97253 69562,https://hellobpcl.in/,4.4,179.0,"Tal Sojitra Anand, State Highway 83, Tarapur, Anand, Gujarat 388460",Tarapur,22.52693,72.75375,ChIJaeyfq9VVXjkRFQys-6qYPmM,https://www.google.com/maps/place/?q=place_id:ChIJaeyfq9VVXjkRFQys-6qYPmM,part_108,2026-09-20 16:41:54,7417
મા માતંગી કેટરીંગ સોનીફળીયા ભુતીયા બંગલા સામે મુ પીપાવાવ તા- સોજીત્રા જી આણંદ 388460,Exporters,Tiffin Service Provider,Tiffin Service Provider,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,N/A,,,"Soni Chakla, Piplav, Gujarat 388460",Soni Chakla,22.5299898,72.7703001,ChIJ_08L7rRVXjkRADJUEq75zYA,https://www.google.com/maps/place/?q=place_id:ChIJ_08L7rRVXjkRADJUEq75zYA,part_108,2026-09-20 16:41:54,7418
Khodiyar Krupa poultry farm,Exporters,Poultry farm,Poultry farm,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,N/A,N/A,5.0,1.0,"Opp: bus stop , At : Ishrama, Petlad, Gujarat 388465",388465,22.4956103,72.7899114,ChIJW4JyPi5VXjkRwW5kMjqMypw,https://www.google.com/maps/place/?q=place_id:ChIJW4JyPi5VXjkRwW5kMjqMypw,part_108,2026-09-20 16:42:59,9790
Laxmi farm,Exporters,Poultry farm,Poultry farm,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,N/A,N/A,4.5,2.0,"Anand - Sojitra Rd, opp. bhulabhai park, Laxmi farm, Sunav, Gujarat 388460",Laxmi farm,22.5320134,72.794055,ChIJ0dxUgcNVXjkRmh4NyI0gxzo,https://www.google.com/maps/place/?q=place_id:ChIJ0dxUgcNVXjkRmh4NyI0gxzo,part_108,2026-09-20 16:42:59,9791
Akshar Door Industries,Exporters,Furniture Manufacturer,"Furniture Manufacturer, Corporate office",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,N/A,N/A,5.0,5.0,"Near Sugar Factory, Petlad - Piplav, Ashapuri) Road, Petlad, Gujarat 388465",388465,22.5009901,72.7882387,ChIJuT-vQU5VXjkRw0J2u2GS1vE,https://www.google.com/maps/place/?q=place_id:ChIJuT-vQU5VXjkRw0J2u2GS1vE,part_108,2026-09-20 16:42:59,9792
Saujanya Exports,Exporters,Chemical Manufacturer,"Chemical Manufacturer, Corporate office",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 98240 29132,https://www.saujanyaexports.com/,3.4,15.0,"B1-1401 to 1406, Palladium, 80 Ft. Corporate Road, Opp. Vodafone House, Off S.G. Road, 380015, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,22.999168599999997,72.501284,ChIJ0etRjdyaXjkRuZzRwN5xCX0,https://www.google.com/maps/place/?q=place_id:ChIJ0etRjdyaXjkRuZzRwN5xCX0,part_108,2026-09-20 16:42:59,9793
Eco Export,Exporters,Exporter,"Exporter, Agricultural service, Import export company, Rice mill, Rice wholesaler, Spices Exporter, Spices Wholesaler, Wholesale Food Store",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 90163 43662,http://ecoexport.in/,4.9,64.0,"Westgate Nr. YMCA Club, D-1907, Sarkhej - Gandhinagar Hwy, Makarba, Ahmedabad, Gujarat 380015",Makarba,23.0032294,72.50057869999999,ChIJLVi7DdWEXjkRO1z-fnmN-OM,https://www.google.com/maps/place/?q=place_id:ChIJLVi7DdWEXjkRO1z-fnmN-OM,part_108,2026-09-20 16:42:59,9794
Shaktikrupa Poultry farm (Broiler),Exporters,Poultry farm,Poultry farm,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,N/A,N/A,,,"FQXW+4GV, Unnamed Road, Israma, Petlad, Gujarat 388465",Israma,22.497873,72.7962936,ChIJ07xbAc5VXjkR0bXVsl1mtao,https://www.google.com/maps/place/?q=place_id:ChIJ07xbAc5VXjkR0bXVsl1mtao,part_108,2026-09-20 16:42:59,9795
Fitwel Pharmaceuticals Private Limited,Exporters,Corporate office,"Corporate office, Pharmaceuticals Exporter, Pharmaceutical company, Pharmaceutical Products Wholesaler",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 90330 28080,https://www.fitwelpharma.com/,4.4,51.0,"106, Corporate Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.0083143,72.50497849999999,ChIJxdm2edWEXjkRVgeEiFTzvNc,https://www.google.com/maps/place/?q=place_id:ChIJxdm2edWEXjkRVgeEiFTzvNc,part_108,2026-09-20 16:43:00,9796
