business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Anant Gift Shop,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99981 09200,N/A,4.5,,"Sidharth Complesx, 7, College Rd, nr. Laxmiji Templeal, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4767378,72.8054118,ChIJMQAWkw9TXjkRgnCHb1yZSvc,https://www.google.com/maps/place/?q=place_id:ChIJMQAWkw9TXjkRgnCHb1yZSvc,part_108,2026-09-20 16:40:35,3361
The Traditional Gallery,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 82002 38533,https://sites.google.com/view/thetraditionalgallery/home,4.8,,"Shop No 237, Maruti Solaris mall, Anand - Sojitra Rd, nr. PVR Cinema, above Mc Donald's, Vithal Udyognagar, GIDC, Anand, Gujarat 388001","Vithal Udyognagar, GIDC",22.5414393,72.94671319999999,ChIJb4Aq9QVNXjkRuyft7foosc4,https://www.google.com/maps/place/?q=place_id:ChIJb4Aq9QVNXjkRuyft7foosc4,part_108,2026-09-20 16:40:35,3362
Majisa Collection,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 74340 50245,N/A,4.9,,"Shop No. 17, Jalu Arcade, near Bank of Baroda, Nana Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Nana Bazaar, Vallabh Vidyanagar",22.5538882,72.9287216,ChIJjxyY9WxPXjkRnyLfY6U_Nro,https://www.google.com/maps/place/?q=place_id:ChIJjxyY9WxPXjkRnyLfY6U_Nro,part_108,2026-09-20 16:40:35,3363
Anokhi Gift Shop,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 77779 29452,N/A,4.4,,"GWXG+FVM, Mota Bazaar Rd, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.5487112,72.92716829999999,ChIJAWrP9XVOXjkRlSOYg69DR_Q,https://www.google.com/maps/place/?q=place_id:ChIJAWrP9XVOXjkRlSOYg69DR_Q,part_108,2026-09-20 16:40:35,3364
Bhavani Novelty and gift articlearticle,Gifting,Novelty store,"Novelty store, Store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 96101 13092,N/A,5.0,,"01, Station Rd, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4847994,72.8014105,ChIJScizE8ZVXjkRUzS4Mb0AS6s,https://www.google.com/maps/place/?q=place_id:ChIJScizE8ZVXjkRUzS4Mb0AS6s,part_108,2026-09-20 16:40:35,3365
Adhyashakti Kitchenware,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.4,,"Radhe 2, college chokdi, opposite Lion's Garden, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4773708,72.8081575,ChIJqUCJN3JTXjkRfxeh1YsS0qA,https://www.google.com/maps/place/?q=place_id:ChIJqUCJN3JTXjkRfxeh1YsS0qA,part_108,2026-09-20 16:40:35,3366
Bhavin Surti Manjo,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 92287 33173,N/A,5.0,,"Chavdibazar Road, opp. Laibary, Sherpura, Pathanwada, Petlad, Gujarat 388450","Sherpura, Pathanwada",22.4775258,72.8014163,ChIJyc1jiPhVXjkR8DN13U5HKbM,https://www.google.com/maps/place/?q=place_id:ChIJyc1jiPhVXjkR8DN13U5HKbM,part_108,2026-09-20 16:40:35,3367
GoldGiftIdeas,Gifting,Gift shop,"Gift shop, Corporate gift supplier, Handicraft Exporter, Handbags shop, Handicrafts Wholesaler, Silversmith",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 87358 38988,https://www.goldgiftideas.com/,4.9,,"5, Swapnalok Appartment, College Rd, opposite Ayurvedik Hospital, Nalanda Nagar, Chalali, Nadiad, Gujarat 387003","Nalanda Nagar, Chalali",22.682197799999997,72.8786896,ChIJ576e2A5bXjkRQal6ab2hR1Q,https://www.google.com/maps/place/?q=place_id:ChIJ576e2A5bXjkRQal6ab2hR1Q,part_108,2026-09-20 16:40:35,3368
Friends Gift Gallery,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79842 83880,N/A,4.4,,"Friends Gift Gallery, near Uncha Otla Shreekhand Ghar, Zanda chawk, Khambhat, Khambhat, Gujarat 388620",Rana Chakla,22.316357999999997,72.62070469999999,ChIJfeW-tqEHXzkRtJGjwxFCw_Q,https://www.google.com/maps/place/?q=place_id:ChIJfeW-tqEHXzkRtJGjwxFCw_Q,part_108,2026-09-20 16:40:35,3369
Utsav Gift & Variety Shop,Gifting,Gift shop,Gift shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 76228 00704,N/A,4.9,,"Shop 2, s.m Patel complex, opposite Bank of Baroda, near Sardar Patel Vinay Mandir School, Vaherakhadi, Vasad, Gujarat 388306",Vaherakhadi,22.455048599999998,73.0633403,ChIJe_zYUIm1XzkRxW3HxjFasPw,https://www.google.com/maps/place/?q=place_id:ChIJe_zYUIm1XzkRxW3HxjFasPw,part_108,2026-09-20 16:40:35,3370
