business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Saksham Institute - Best IIT/JEE/NEET/GUJCET/Boards Coaching In Anand,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution, Test preparation center, Training center",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90544 60449,https://sakshaminstitute.org/,4.7,120.0,"Naryan vishwa, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5480037,72.9289546,ChIJR367fbFNXjkRZqGg3juvLyI,https://www.google.com/maps/place/?q=place_id:ChIJR367fbFNXjkRZqGg3juvLyI,part_108,2026-09-20 16:40:37,3464
"IIT Ashram, Anand - Best Coaching Institute for IIT JEE, NEET - CBSE and Gujarat Board Eng. Medium",NEET and JEE Coaching Center,Coaching Center,Coaching Center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 84600 09041,http://www.iitashram.com/,4.7,72.0,"2nd Floor, H, R. Stone Building, Cross Road, Anand - Vidyanagar Rd, nr. Townhall, beside Croma Showroom, Vivekanand Wadi, Anand, Gujarat 388120",Vivekanand Wadi,22.5541888,72.9484391,ChIJ05l5onZOXjkRvzwkW_bwtSQ,https://www.google.com/maps/place/?q=place_id:ChIJ05l5onZOXjkRvzwkW_bwtSQ,part_108,2026-09-20 16:40:37,3465
C SQUARE coaching institute - JEE | NEET | GUJCET | Board,NEET and JEE Coaching Center,Coaching Center,Coaching Center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 92006 40003,http://www.csquare.org.in/,4.8,119.0,"White Rock complex, Anand - Vidyanagar Rd, opposite Gold Cinema, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.551721399999998,72.9393764,ChIJRyH1yJdPXjkRj1TrnIQEJjI,https://www.google.com/maps/place/?q=place_id:ChIJRyH1yJdPXjkRj1TrnIQEJjI,part_108,2026-09-20 16:40:37,3466
"Aakash Institute - Best NEET & IIT-Jee Coaching in Anand, Anand Vidhyanagar Road",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88009 02406,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-anand-anand-vidhyanagar-road-coaching-center-anand-vidhyanagar-road-ind-gj-anand-131309/Home?utm_source=locator&utm_medium=googleplaces,4.3,163.0,"Triveni Complex, 2nd Floor, Aakruti Business Hub, Besides, Anand - Vidyanagar Rd, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5503932,72.9340778,ChIJ7acSiFFPXjkR7xvQE3UbEv0,https://www.google.com/maps/place/?q=place_id:ChIJ7acSiFFPXjkR7xvQE3UbEv0,part_108,2026-09-20 16:40:37,3467
Platinum Tutorial - Best Coaching Centre | NEET JEE CBSE Coaching Institute | Top Tuition Classes Near Me Vidyanagar Anand,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution, Tutoring service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 87458 17745,http://www.platinumtutorial.com/,4.8,94.0,"3rd Floor, Krishna Planet, Platinum Tutorial, Anand - Vidyanagar Rd, near Times Cinema, Anand, Gujarat 388120","Mahadev, Vallabh Vidyanagar",22.5502347,72.9331519,ChIJ3T_6tlNPXjkR1I7GJSXFmFs,https://www.google.com/maps/place/?q=place_id:ChIJ3T_6tlNPXjkR1I7GJSXFmFs,part_108,2026-09-20 16:40:37,3468
PHOENIX INSTITUTE,NEET and JEE Coaching Center,Educational institution,Educational institution,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 74358 81116,http://www.phoenixinstitute.co/,4.5,52.0,"3rd Floor , HR Stone Building , Besides Croma, Anand - Vidyanagar Rd, near Town Hall, Anand, Gujarat 388120",Vivekanand Wadi,22.554184199999998,72.94846199999999,ChIJn5DzA61PXjkRLO-Q9-06smY,https://www.google.com/maps/place/?q=place_id:ChIJn5DzA61PXjkRLO-Q9-06smY,part_108,2026-09-20 16:40:37,3469
Siddh Institute,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Distance Learning Center, Educational consultant, English language school, Open university, Private Tutor, Software Training Institute, Student career counseling office",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 80 4805 3930,https://www.siddhinstituteanand.in/,4.8,346.0,"2nd Floor Besides, Sanket India, Laksh 511, Sardar Patel Rd, opp. Dev Shree Gold, above Amul Food land, Anand, Gujarat 388120",Hari Om Nagar,22.5632084,72.9436834,ChIJTxHIib2r-BMRRB9OrlOPPVw,https://www.google.com/maps/place/?q=place_id:ChIJTxHIib2r-BMRRB9OrlOPPVw,part_108,2026-09-20 16:40:37,3470
VCC POINT,NEET and JEE Coaching Center,Coaching Center,Coaching Center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,http://www.facebook.com/VCCPointAnand,4.4,18.0,"4, Ground Floor, Anand Vidgyanagar Rd, Akshar Farm Rd, Nr Yogi Filling Station, Anand, Gujarat 388120","Nr Yogi Filling Station, Vivekanand Wadi",22.551643799999997,72.94262599999999,ChIJMUxJWIBOXjkREamzCp-NmI4,https://www.google.com/maps/place/?q=place_id:ChIJMUxJWIBOXjkREamzCp-NmI4,part_108,2026-09-20 16:40:37,3471
Chahal Academy - Best IAS Coaching in Anand,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Training center",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 74052 51088,https://chahalacademy.com/gpsc-upsc-coaching/anand,4.8,305.0,"TF-9, Diwaliba Chamber, Chahal Academy, opp. Hiraba Mahila Mandal, nr. ICICI Bank, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.5488586,72.92773989999999,ChIJ____j3VOXjkR5o9w_wYuAGw,https://www.google.com/maps/place/?q=place_id:ChIJ____j3VOXjkR5o9w_wYuAGw,part_108,2026-09-20 16:40:37,3472
Tirtha Academy,NEET and JEE Coaching Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,,,"104, Vaibhav Complex, 105 , Aalay Flate, Sainath Rd, Mariampura, Ashoka Society, Rangaipura, Petlad, Gujarat 388450","Mariampura, Ashoka Society, Rangaipura",22.48958,72.8017637,ChIJBWoBqUpVXjkRATERonvYXw0,https://www.google.com/maps/place/?q=place_id:ChIJBWoBqUpVXjkRATERonvYXw0,part_108,2026-09-20 16:40:37,3473
