business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Ajay's Café Petlad, Anand",Restaurant Chains,Fast food restaurant,Fast food restaurant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90546 83783,https://ajays.co.in/,4.4,129.0,"Shop No.3, Radhe complex, 2, College Chokdi, opposite Lion's Garden, Sarvodaya Society, Nagarkuva, Petlad, Gujarat 388450","Sarvodaya Society, Nagarkuva",22.4767656,72.807748,ChIJ69QmPwRTXjkRQvlLC0pkdz4,https://www.google.com/maps/place/?q=place_id:ChIJ69QmPwRTXjkRQvlLC0pkdz4,part_108,2026-09-20 16:40:05,765
Surtiflavour - Ready To Eat Food - (Anand),Restaurant Chains,Food Processing Company,Food Processing Company,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79909 91656,https://surtiflavour.com/,4.9,,"Surtiflavour, Jaykant Complex, Anand - Vidyanagar Rd, opp. Shreeji Ras Bhandar, near APC Circle & BAPS Chhatralay, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.550678899999998,72.9350704,ChIJo0TIThtPXjkRUXO4ROfMAiY,https://www.google.com/maps/place/?q=place_id:ChIJo0TIThtPXjkRUXO4ROfMAiY,part_108,2026-09-20 16:40:08,766
Tripcon Engineering Private Limited,Restaurant Chains,Manufacturer,Manufacturer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 236 031,http://www.elevatorchains.com/,4.8,,"B23,Plot No.1115, Vitthal Udyognagar, Gidc Rd, VU Nagar, Phase -IV, GIDC, Anand, Gujarat 388120","VU Nagar, Phase -IV, GIDC",22.5292106,72.9193952,ChIJNRDDAOlNXjkRJx4X0UayA2A,https://www.google.com/maps/place/?q=place_id:ChIJNRDDAOlNXjkRJx4X0UayA2A,part_108,2026-09-20 16:40:08,767
The Krater,Restaurant Chains,Restaurant,"Restaurant, Asian restaurant, Chinese restaurant, Continental restaurant, Mexican restaurant, Punjabi restaurant",388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",N/A,https://thekrater.vercel.app/,4.5,861.0,"Krishna Aaron, 011, New Rajmarg Road, opp. Sanket India, Patel Chokdi, Vivekanand Wadi, Anand, Gujarat 388120","Patel Chokdi, Vivekanand Wadi",22.564097,72.944812,ChIJJaxBo6xPXjkRoT0gf41ofrk,https://www.google.com/maps/place/?q=place_id:ChIJJaxBo6xPXjkRoT0gf41ofrk,part_108,2026-09-20 16:41:06,5376
Pizza Buffet - Anand,Restaurant Chains,Pizza restaurant,Pizza restaurant,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 85115 92332,N/A,4.5,3898.0,"Shop No. 143-147, First Floor, Maruti Solaris Mall, Anand - Sojitra Rd, above McDonald's, Vithal Udyognagar, GIDC, Anand, Gujarat 388120","Vithal Udyognagar, GIDC",22.541819399999998,72.9471404,ChIJATjbpAZNXjkRcK3y8MOObg4,https://www.google.com/maps/place/?q=place_id:ChIJATjbpAZNXjkRcK3y8MOObg4,part_108,2026-09-20 16:41:06,5377
22nd Parallel Anand,Restaurant Chains,South Indian restaurant,South Indian restaurant,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 63537 30746,http://www.22ndparallel.com/,4.5,,"First Floor, Sach Regency, Amul Dairy Rd, Popati Nagar, Anand, Gujarat 388001",Popati Nagar,22.551891299999998,72.9693939,ChIJV9MzcZpNXjkRDqTRcPMIwDM,https://www.google.com/maps/place/?q=place_id:ChIJV9MzcZpNXjkRDqTRcPMIwDM,part_108,2026-09-20 16:41:07,5378
Barbeque Nation - Anand - Maruti Solaris,Restaurant Chains,Barbecue restaurant,Barbecue restaurant,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 80 6405 8008,https://www.barbequenation.com/restaurants/anand/Maruti-Solaris?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=anand-maruti-solaris,4.6,,"Maruti Solaris, 2ndFloor, Anand - Sojitra Rd, Sarvodaya Society, Vithal Udyognagar, GIDC, Anand, Gujarat 388345","Sarvodaya Society, Vithal Udyognagar, GIDC",22.5414945,72.94677539999999,ChIJs_k3s91NXjkRS0cUFxV9jBM,https://www.google.com/maps/place/?q=place_id:ChIJs_k3s91NXjkRS0cUFxV9jBM,part_108,2026-09-20 16:41:07,5379
Keshav Fast food,Restaurant Chains,Fast food restaurant,Fast food restaurant,388460,Gujarat Circle,Vadodara Region,Kheda Division,"Piplav SO, Isnav BO, Kasor BO",+91 95586 68036,N/A,4.6,,"Sojitra, Gujarat 387240",388460,22.529887199999997,72.7232222,ChIJDwoTagBXXjkRtfw6zluBr0Q,https://www.google.com/maps/place/?q=place_id:ChIJDwoTagBXXjkRtfw6zluBr0Q,part_108,2026-09-20 16:41:09,5380
Dawat Food Resort,Restaurant Chains,Restaurant,"Restaurant, Food court, Garden, Live music bar, Non Vegetarian Restaurant, Resort hotel, Vegetarian restaurant",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 84605 56050,http://dawatfoodresort.com/,4.1,9463.0,"Plot No, 606, N.H 8, Between Kapurai and Bridge, Susen - Tarsali Ring Rd, Tarsali, Vadodara, Gujarat 390009",Tarsali,22.2608297,73.2286982,ChIJjcBhh6rFXzkRxow9CTciXeA,https://www.google.com/maps/place/?q=place_id:ChIJjcBhh6rFXzkRxow9CTciXeA,part_108,2026-09-20 16:42:11,8098
Sahjanand food chains LLP,Restaurant Chains,Department of motor vehicles,Department of motor vehicles,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,N/A,N/A,4.4,,"WH3X+VJW, Internal Rd, Aslali, Ahmedabad, Gujarat 382427",Aslali,22.902875599999998,72.5989575,ChIJ580vTwCPXjkRtiHZcKST_mQ,https://www.google.com/maps/place/?q=place_id:ChIJ580vTwCPXjkRtiHZcKST_mQ,part_108,2026-09-20 16:42:13,8099
"La Pino’z Pizza, A V Road",Restaurant Chains,Pizza restaurant,Pizza restaurant,388470,Gujarat Circle,Vadodara Region,Kheda Division,Sunav SO,+91 90818 29900,https://lapinozpizza.in/store-locator/Anand/anand-gujarat,4.2,3153.0,"SUKETU COMPLEX, G 16-17-18, Anand - Vidyanagar Rd, near TRIVENI COMPLEX, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.5501863,72.93342799999999,ChIJy8SOJ4lPXjkRroO3PnVWGCc,https://www.google.com/maps/place/?q=place_id:ChIJy8SOJ4lPXjkRroO3PnVWGCc,part_108,2026-09-20 16:43:12,10106
Sai Geeta Snacks,Restaurant Chains,Breakfast restaurant,Breakfast restaurant,388470,Gujarat Circle,Vadodara Region,Kheda Division,Sunav SO,+91 87809 00339,https://link.zomato.com/xqzv/rshare?id=69220987c98b9346,4.6,57.0,"Vivekanand Wadi, Anand, Gujarat 388120",Vivekanand Wadi,22.546524599999998,72.9500802,ChIJjzET4yxNXjkRM2VMECuDdhM,https://www.google.com/maps/place/?q=place_id:ChIJjzET4yxNXjkRM2VMECuDdhM,part_108,2026-09-20 16:43:12,10107
Charotar pizza,Restaurant Chains,Pizza restaurant,Pizza restaurant,388510,Gujarat circle,Vadodara Region,Anand Division,"Asarma BO, Joshikuva BO, Kinkhlod BO",N/A,N/A,4.6,,"CX9C+35C, Vasad - Tarapur Hwy, Bodal, Gujarat 388540",388510,22.4108324,72.935827,ChIJoWXBJACzXzkRseg80B3RiyI,https://www.google.com/maps/place/?q=place_id:ChIJoWXBJACzXzkRseg80B3RiyI,part_108,2026-09-20 16:45:15,11752
William John's pizza (Padra),Restaurant Chains,Pizza restaurant,Pizza restaurant,388520,Gujarat circle,Vadodara Region,Anand Division,"Navapura BO, Bamangam SO, Bilpad BO",+91 93271 65827,N/A,4.9,,"beside Pranami Agarbatti, above icici bank, Voda Colony, Padra, Gujarat 391440",Voda Colony,22.248198,73.0844888,ChIJT4Y_D_i5XzkRn6eOyDvCMpQ,https://www.google.com/maps/place/?q=place_id:ChIJT4Y_D_i5XzkRn6eOyDvCMpQ,part_108,2026-09-20 16:46:18,14372
Dev's Foodway,Restaurant Chains,Fast food restaurant,Fast food restaurant,388530,Gujarat circle,Vadodara Region,Anand Division,"Gajna BO, Kathol BO, Khedasa BO",N/A,N/A,4.1,,"16, Nr. X-Ray House, Akshar Complex, Anand Chokdi, Mahalaxmi Pulse Mill Area, Borsad, Gujarat 388540",Mahalaxmi Pulse Mill Area,22.4195194,72.8975954,ChIJ0R_LvmKtXzkR0vgLA8ibsuU,https://www.google.com/maps/place/?q=place_id:ChIJ0R_LvmKtXzkR0vgLA8ibsuU,part_108,2026-09-20 16:46:54,15399
YOGI PIZZA WEB,Restaurant Chains,Restaurant,Restaurant,388540,Gujarat Circle,Vadodara Region,Anand Division,"Borsad SO, Bodal BO, Davol BO",+91 97734 67198,N/A,4.1,107.0,"Vaghvala, Borsad, Gujarat 388540",388540,22.4120086,72.9325016,ChIJVUJDk1yzXzkRC23sE-oX9EQ,https://www.google.com/maps/place/?q=place_id:ChIJVUJDk1yzXzkRC23sE-oX9EQ,part_108,2026-09-20 16:47:33,16418
Pizza Station,Restaurant Chains,Restaurant,Restaurant,388540,Gujarat Circle,Vadodara Region,Anand Division,"Borsad SO, Bodal BO, Davol BO",+91 97253 92982,N/A,4.5,,"Sardar Patel nagar, Anand - Umeta Rd, near bus stop, Navli, Gujarat 388355",388540,22.502265899999998,72.9551616,ChIJYVvHPtZNXjkRlNd2JSDWT1g,https://www.google.com/maps/place/?q=place_id:ChIJYVvHPtZNXjkRlNd2JSDWT1g,part_108,2026-09-20 16:47:34,16419
