business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ISHWARKRUPA SURGICAL,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Pharmacy, Surgical Products Wholesaler",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99254 36268,N/A,5.0,8.0,"Municipal Shopping Center, Mayfair Road, Opp Union Bank, Ganesh Chokdi, Sardar Ganj, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.557299399999998,72.9629411,ChIJYRUjAMNPXjkROdY8dokJrQc,https://www.google.com/maps/place/?q=place_id:ChIJYRUjAMNPXjkROdY8dokJrQc,part_108,2026-09-20 16:40:14,1543
VANDAN SURGICAL,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98258 63527,N/A,5.0,4.0,"Shubhlaxmi Shopping Center, 50, Railway Station Rd, Ganesh Chokdi, Sardar Ganj, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.5568496,72.9653192,ChIJY1_HhWdPXjkRvbLDFS-Ppa8,https://www.google.com/maps/place/?q=place_id:ChIJY1_HhWdPXjkRvbLDFS-Ppa8,part_108,2026-09-20 16:40:14,1544
Anand Surgical,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Surgical Products Wholesaler",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 252 728,N/A,5.0,3.0,"HX47+VJJ, Krishna Road, Naya Padikar Line, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.5572233,72.9640223,ChIJ8R0zoZ5OXjkRGSwbGSmqEyk,https://www.google.com/maps/place/?q=place_id:ChIJ8R0zoZ5OXjkRGSwbGSmqEyk,part_108,2026-09-20 16:40:14,1545
HAKIMI HEALTHCARE & SURGICAL,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Bag shop, Manufacturer, Pharmacy",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 72248 54437,N/A,,,"Mahavir Rd, opp. Dr. Bipin Vyas hospital, near Gujarati Chowk, Ganesh Chokdi, Sardar Ganj, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.561532,72.9628298,ChIJI84Op9BPXjkRd2H9niuiPts,https://www.google.com/maps/place/?q=place_id:ChIJI84Op9BPXjkRd2H9niuiPts,part_108,2026-09-20 16:40:14,1546
Anand Surgical,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Surgical Products Wholesaler",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 74057 65152,https://www.instagram.com/anand_surgical?igsh=MW13YnpwZHB2MHViZQ==,5.0,85.0,"FF-2 Siddheshwar Park B/h Dev Aurum Nr. Anandnagar Cross Road Prahladnagar, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.011090799999998,72.51569769999999,ChIJm5W625ebXjkRtrlAe7GuyFo,https://www.google.com/maps/place/?q=place_id:ChIJm5W625ebXjkRtrlAe7GuyFo,part_108,2026-09-20 16:40:15,1547
Gajanan Surgical,Surgical Equipment Supplier,Wholesaler,"Wholesaler, Pharmacy",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98989 81395,N/A,4.7,,"Shop No. A, SOMESHWAR COMPLEX, 104-105, Shyamal Cross Rd, opp. Medilink Hospital, Part 1, Shyamal, Ahmedabad, Gujarat 380015","Part 1, Shyamal",23.016887399999998,72.5298054,ChIJv8WAoNeEXjkRhXCtnt2wpDE,https://www.google.com/maps/place/?q=place_id:ChIJv8WAoNeEXjkRhXCtnt2wpDE,part_108,2026-09-20 16:40:16,1548
Ahmedabad Surgical Company,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98240 36931,N/A,2.2,,"Shop No. 5, Tulip Corpo's, Paldi Rd, opposite VS Hospital Neonatal Intensive Care Unit, Paldi, Ahmedabad, Gujarat 380006","Madalpur Gam, Paldi",23.0207241,72.5700584,ChIJYxiJyFWEXjkRJtVxaKiXUjs,https://www.google.com/maps/place/?q=place_id:ChIJYxiJyFWEXjkRJtVxaKiXUjs,part_108,2026-09-20 16:40:16,1549
Jupiter Surgical Co,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98246 61719,N/A,3.8,,"COMMERCE CENTER, 3, Railway Station Rd, near ARYA SAMAJ, Ganesh Chokdi, Sardar Ganj, Anand, Gujarat 388001","Ganesh Chokdi, Sardar Ganj",22.5553134,72.9635739,ChIJu6tqJpxOXjkRx-xWIx7R0YQ,https://www.google.com/maps/place/?q=place_id:ChIJu6tqJpxOXjkRx-xWIx7R0YQ,part_108,2026-09-20 16:40:17,1550
Neel Surgical,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94260 64248,N/A,5.0,,"Heera Panna Trade Centre, S T Road, Nehru Park Society, Aabetkar nagar, Junagadh, Gujarat 362001","Nehru Park Society, Aabetkar nagar",21.5221347,70.4578015,ChIJV-533pIBWDkRfw4ABJLiEBA,https://www.google.com/maps/place/?q=place_id:ChIJV-533pIBWDkRfw4ABJLiEBA,part_108,2026-09-20 16:40:17,1551
Shree Ganesh surgical house,Surgical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79907 78721,N/A,5.0,,"gajanand masala, Prabhat Chowk, A:3 SHREEKUNJ SHOPPING CENTER Near, opp. manjushree co op soci, Ranna Park, Ahmedabad, Gujarat 380061","Ranna Park, Ghatlodiya, Nirnay Nagar",23.067463999999998,72.5456915,ChIJQ-dcYruDXjkRU2ZxGMvQ060,https://www.google.com/maps/place/?q=place_id:ChIJQ-dcYruDXjkRU2ZxGMvQ060,part_108,2026-09-20 16:40:17,1552
