business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"SK Mission, Tuition Classes",Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.5,2.0,"FQVW+4V3, Petlad - Sunav Rd, Ashoka Society, Rangaipura, Petlad, Gujarat 388450","Ashoka Society, Rangaipura",22.4927618,72.7971871,ChIJH4_mKHhVXjkRs71NOx4QNgY,https://www.google.com/maps/place/?q=place_id:ChIJH4_mKHhVXjkRs71NOx4QNgY,part_108,2026-09-20 16:40:38,3506
Tuition Classes,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,,,"Aadypark Society, opposite of PBM Colony, Israma, Petlad, Gujarat 388465",Israma,22.4979822,72.79393859999999,ChIJ7zKbINZVXjkRzA0b3APT9jE,https://www.google.com/maps/place/?q=place_id:ChIJ7zKbINZVXjkRzA0b3APT9jE,part_108,2026-09-20 16:40:38,3507
Sterling education institute,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 91066 72455,N/A,5.0,1.0,"2nd floor, Shubham arcade, b/s s s hospital, Dharam Nagar Society, Rangaipura, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.4874187,72.801684,ChIJ9X68P9tVXjkRf2vk3_NYQhc,https://www.google.com/maps/place/?q=place_id:ChIJ9X68P9tVXjkRf2vk3_NYQhc,part_108,2026-09-20 16:40:38,3508
Future Classes,Tuition Center,Coaching Center,Coaching Center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,1.0,"First floor, Aashirvad anklev, GIDC road, Dharam Nagar Society, Rangaipura, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.4911648,72.8027014,ChIJo1-ScSpVXjkR5zTAQoKENKY,https://www.google.com/maps/place/?q=place_id:ChIJo1-ScSpVXjkR5zTAQoKENKY,part_108,2026-09-20 16:40:38,3509
The Shine,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,http://www.theshine.co.in/,4.6,9.0,"FQJX+XCG Bage Maula Ali Society, Old, Station Rd, behind Apna Hospital, Sherpura, Pathanwada, Petlad, Gujarat 388450","Sherpura, Pathanwada",22.4824375,72.7985625,ChIJ4yTHRo1VXjkRRchJJflkL5Q,https://www.google.com/maps/place/?q=place_id:ChIJ4yTHRo1VXjkRRchJJflkL5Q,part_108,2026-09-20 16:40:38,3510
Atharva international,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.4,7.0,"101/02, shivay arcade, road, near collage, Police Quarters, Dantali, Petlad, Gujarat 388450","Police Quarters, Dantali",22.4766175,72.81052799999999,ChIJpT8ejQJTXjkRGJdHs7TLjC8,https://www.google.com/maps/place/?q=place_id:ChIJpT8ejQJTXjkRGJdHs7TLjC8,part_108,2026-09-20 16:40:38,3511
3DB Tution Classes,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,2.0,"Ashi Surkuva, Road, Ashi, Gujarat 388130",388450,22.473068299999998,72.8725377,ChIJ5THwefdTXjkRwtkEzVZe-4s,https://www.google.com/maps/place/?q=place_id:ChIJ5THwefdTXjkRwtkEzVZe-4s,part_108,2026-09-20 16:40:38,3512
G.S.D.I. EDUCATION,Tuition Center,Education center,Education center,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 78199 65210,http://www.gsdieducation.co.in/,5.0,3.0,"Shop no-1, Ankina Complex, College Rd, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4769611,72.8056103,ChIJl4ZTOgBTXjkRblU1buAZzrw,https://www.google.com/maps/place/?q=place_id:ChIJl4ZTOgBTXjkRblU1buAZzrw,part_108,2026-09-20 16:40:38,3513
Gurukul Academy,Tuition Center,Education center,"Education center, Coaching Center",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 75728 13888,N/A,4.6,121.0,"Ganga Baa Panchal Chhatralay, Karamsad Rd, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.548052199999997,72.9196924,ChIJbxEWLi5PXjkR9LcKi2HwYMc,https://www.google.com/maps/place/?q=place_id:ChIJbxEWLi5PXjkR9LcKi2HwYMc,part_108,2026-09-20 16:40:38,3514
Naineshbhai b patel classes,Tuition Center,Educational institution,Educational institution,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99746 48041,http://www.nbpseducation.com/,4.7,35.0,"Kirtan-1 Anand park society, gopi, Akshar Farm Rd, Anand, Gujarat 388120",Vivekanand Wadi,22.5508147,72.9490667,ChIJvf4FNv9NXjkRQlVU5v3dohs,https://www.google.com/maps/place/?q=place_id:ChIJvf4FNv9NXjkRQlVU5v3dohs,part_108,2026-09-20 16:40:38,3515
