business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.2,444,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_108,2026-09-20 16:40:36
N.S. Patel Arts College (Autonomous),Junior College and Degree College,University,University,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 250 640,http://www.nspac.edu.in/,4.4,293,"Bhalej Rd, Ganesh Colony, Anand, Gujarat 388001",Ganesh Colony,22.5606409,72.9589791,ChIJU69OIZtOXjkRQ9yXY42StKM,https://www.google.com/maps/place/?q=place_id:ChIJU69OIZtOXjkRQ9yXY42StKM,part_108,2026-09-20 16:40:38
Anand Commerce College,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 250 769,https://acc.ac.in/,4.3,201,"HX32+VHX, Opp Anand Town Hall, Rahtlav, Mathiya Chora, Anand, Gujarat 388001","Rahtlav, Mathiya Chora",22.5547266,72.9514712,ChIJs_5Ve4FOXjkRe8t8igahw-U,https://www.google.com/maps/place/?q=place_id:ChIJs_5Ve4FOXjkRe8t8igahw-U,part_108,2026-09-20 16:40:38
Shri Bhikhabhai Patel Arts College,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 244 043,http://www.bpac.ac.in/,4.3,85,"behind D. N. High School, Anand, Gujarat 388001",388450,22.5522885,72.9625551,ChIJ650mw4NOXjkRXwcqgJnzjno,https://www.google.com/maps/place/?q=place_id:ChIJ650mw4NOXjkRXwcqgJnzjno,part_108,2026-09-20 16:40:38
Natubhai V. Patel College of Pure & Applied Sciences,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 235 500,http://www.nvpas.edu.in/,4.4,288,"GWXG+W8C, Near Mota Bazar, Anand, Vallabh Vidhyanagar, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.549822,72.9257662,ChIJ9xFgnnVOXjkR2vU5nzLP2eY,https://www.google.com/maps/place/?q=place_id:ChIJ9xFgnnVOXjkR2vU5nzLP2eY,part_108,2026-09-20 16:40:38
Shri I.J.Patel B.Ed. College,Junior College and Degree College,Teachers college,"Teachers college, College",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 236 266,http://www.ijbed.ac.in/,4.8,76,"S.no 114/5 Elecon Company Road New Building, Mahatma Gandhi Vidyala Campus, Mogri, Gujarat 388120","Vithal Udyognagar, Mogri",22.5364023,72.93430529999999,ChIJl4vixc-EXjkRKDZevJ4TmMg,https://www.google.com/maps/place/?q=place_id:ChIJl4vixc-EXjkRKDZevJ4TmMg,part_108,2026-09-20 16:40:38
M.B. Patel Science College,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 243 102,http://www.mbpatelscience.ac.in/,4.4,719,"Sardar Gunj Road, Gamdi Vad, Sardar Ganj, Anand, Gujarat 388001","Gamdi Vad, Sardar Ganj",22.552782999999998,72.9625269,ChIJTSsa8Z1OXjkRVSHkqxhug2E,https://www.google.com/maps/place/?q=place_id:ChIJTSsa8Z1OXjkRVSHkqxhug2E,part_108,2026-09-20 16:40:38
MB Patel College of Education,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 236 545,https://www.spuvvn.edu/academics/departments/m-b-patel-college-of-education/,4.3,71,"Sardar Patel University, near University Circle, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.5560005,72.92632449999999,ChIJz_wldnNOXjkR8h3mrxnjN0E,https://www.google.com/maps/place/?q=place_id:ChIJz_wldnNOXjkR8h3mrxnjN0E,part_108,2026-09-20 16:40:38
ANAND COLLEGE EDUCATION Govt B.Ed આણંદ કોલેજ ઓફ એજ્યુકેશન બી.એડ આણંદ કોલેજ ઓફ એજ્યુકેશન બી.એડ,Junior College and Degree College,College,College,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 251 876,N/A,4.2,185,"Near, Grid Crossing, Rahtlav, Mathiya Chora, Anand, Gujarat 388001","Rahtlav, Mathiya Chora",22.5559469,72.9507366,ChIJowFPW4FOXjkRO0Wza8Wjuoo,https://www.google.com/maps/place/?q=place_id:ChIJowFPW4FOXjkRO0Wza8Wjuoo,part_108,2026-09-20 16:40:38
Shree Bhaikaka Government Arts and Commerce College,Junior College and Degree College,Government college,Government college,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2697 296 799,http://www.sbgaccsojitra.edu.in/,4.7,10,"GPPV+3P5, M.M High School Rd, Gujarat 387240",388450,22.5351429,72.7443459,ChIJ7YEWvrZXXjkRwc4_2W9bBvM,https://www.google.com/maps/place/?q=place_id:ChIJ7YEWvrZXXjkRwc4_2W9bBvM,part_108,2026-09-20 16:40:38
