business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jaquar Authorized Dealer - Dave Sanitary Fitting Co,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 8071 935 157,https://dealers.jaquar.com/jaquar/bath-and-light-in-anand/bath-and-light-in-sardar-ganj/jaquar-authorised-dealer-dave-sanitary-fitting-co-in-sardar-ganj-anand--f003f23d-9da9-4557-a567-a221243cb7b7/home,4.1,,"Dave Chamber, Subhash Rd, opposite Apna Bazzar, Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.5563531,72.9592376,ChIJCyDjvTRPXjkRNj1WoGvT_BA,https://www.google.com/maps/place/?q=place_id:ChIJCyDjvTRPXjkRNj1WoGvT_BA,part_108,2026-09-20 16:40:22
"Kohler Authorized Dealer, M.R.ENTERPRISE",Sanitaryware and Bathroom Fittings,Bathroom remodeler,"Bathroom remodeler, Bathroom supply store, Building materials store, Kitchen remodeler",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 79 4929 1660,"https://stores.kohler.co.in/kohler-exclusive-showroom-m-r-enterprise,-anand-vallabh-vidya-nagar-anand-12433/overview",4.8,,"Shop No 313 3rd floor, H.R. Prime, Vidyanagar Road, near Gold Cinema, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5520635,72.9394618,ChIJk2RWkylMXjkRqnlSwGBBV3k,https://www.google.com/maps/place/?q=place_id:ChIJk2RWkylMXjkRqnlSwGBBV3k,part_108,2026-09-20 16:40:22
H.R Enterprises- Tile Dealers| Bathroom Fitting| Sanitary Dealers| Building Materials in Anand,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Bathroom remodeler, Building materials supplier, Sanitation service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99798 66704,N/A,4.8,,"9, Radha Swami Sumit, opp. Gopi Cinema Road, Raghuvir Nagar, Vivekanand Wadi, Anand, Gujarat 388001","Raghuvir Nagar, Vivekanand Wadi",22.5495175,72.9536743,ChIJ54Sw7_dNXjkRi9tlhzjjXYA,https://www.google.com/maps/place/?q=place_id:ChIJ54Sw7_dNXjkRi9tlhzjjXYA,part_108,2026-09-20 16:40:22
OSIAN SANITARYWARE,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98250 25297,N/A,3.8,,"Azad maidan, Mathiya Chora, Anand, Gujarat 388001",Mathiya Chora,22.5540786,72.9552341,ChIJQ6uPV45PXjkRhY8skscnRP0,https://www.google.com/maps/place/?q=place_id:ChIJQ6uPV45PXjkRhY8skscnRP0,part_108,2026-09-20 16:40:22
gujrat hardware and sanitary shop,Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 83475 04552,N/A,5.0,,"Shop no 3, shyam plaza, central hub, 100 Feet Rd, Ganesh Colony, Anand, Gujarat 388001",Ganesh Colony,22.5638628,72.9557327,ChIJW42YvH5PXjkRWco3WRT64-M,https://www.google.com/maps/place/?q=place_id:ChIJW42YvH5PXjkRWco3WRT64-M,part_108,2026-09-20 16:40:22
Vijay tiles and sanitary,Sanitaryware and Bathroom Fittings,Tile store,Tile store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 356 333,http://vijaytiles.in/,4.6,,"Indira Gandhi Statue, 100 Feet Rd, Ganesh Colony, Anand, Gujarat 388001",Ganesh Colony,22.5612857,72.9476708,ChIJC4ouOF5PXjkR_l1pi_CPGbQ,https://www.google.com/maps/place/?q=place_id:ChIJC4ouOF5PXjkR_l1pi_CPGbQ,part_108,2026-09-20 16:40:22
Mahavir Metal Industries,Sanitaryware and Bathroom Fittings,Building materials supplier,"Building materials supplier, Bathroom supply store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 96626 42473,http://www.oriobathfittings.com/,4.0,73.0,"Contact Person Mr. Pritam Gupta 208, 209. Rafaleshwar GIDC, NH 27, Rafaleshwar, Morbi, Gujarat 363642",Rafaleshwar,22.7675962,70.9069464,ChIJy_wXl-KNWTkRSZnU1NMuN8U,https://www.google.com/maps/place/?q=place_id:ChIJy_wXl-KNWTkRSZnU1NMuN8U,part_108,2026-09-20 16:40:23
Uma Marble,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Building materials supplier, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Home improvement store, Jaguar dealer, Marble supplier, Tile manufacturer",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 83474 22440,https://wa.me/+918347422440,4.9,14.0,"Janta Crossing, Near, Anand - Sojitra Rd, opp. D-Mart, Vithal Udyognagar, GIDC, Anand, Gujarat 388120","Vithal Udyognagar, GIDC",22.5406199,72.9261401,ChIJaVRhRdxNXjkRm-iuwoKaP7Q,https://www.google.com/maps/place/?q=place_id:ChIJaVRhRdxNXjkRm-iuwoKaP7Q,part_108,2026-09-20 16:40:23
7Sky Ritaj Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Building materials supplier, Interior fitting contractor, Tile store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98481 35242,http://www.7sky.us/,5.0,406.0,"Bathroom fiiting, Reliance Complex, 7sky, Troop Bazaar, Koti, Hyderabad, Telangana 500001","Troop Bazaar, Koti",17.3851697,78.4771548,ChIJoyxn4dWZyzsRAI1UhwXuP-E,https://www.google.com/maps/place/?q=place_id:ChIJoyxn4dWZyzsRAI1UhwXuP-E,part_108,2026-09-20 16:40:23
Decor Impression (ડેકોર ઇમ્પ્રેશન),Sanitaryware and Bathroom Fittings,Hardware store,"Hardware store, Plywood supplier, Wood supplier",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97277 53118,N/A,4.6,42.0,"Shop-18, Sahajanand elegance, Anand - Sojitra Rd, opp. J.V.Patel ITI, Karamsad, Anand, Gujarat 388325",Karamsad,22.540545299999998,72.9156864,ChIJ1Tnd_ylMXjkRVLHwzi06F0w,https://www.google.com/maps/place/?q=place_id:ChIJ1Tnd_ylMXjkRVLHwzi06F0w,part_108,2026-09-20 16:40:23
Jaquar Authorized Dealer - Shree Imarat Trading,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Lighting store, Tile store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 8071 935 155,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-vadodara/sanitaryware-store-in-buddh-dev-colony/jaquar-authorised-dealer-shree-imarat-trading-company-in-buddh-dev-colony-vadodara--60c61063-31dc-4c3b-a15e-5c8e23f115de/home,4.6,585.0,"bus stop, Shop No A1-A4, Swapanalok Flats, nearby Muktanand Road, Karelibagh, Vadodara, Gujarat 390015","Kalyan Nagar, Karelibagh",22.3217552,73.1970867,ChIJh3_Ed0fPXzkR9bXV9PDdr_w,https://www.google.com/maps/place/?q=place_id:ChIJh3_Ed0fPXzkR9bXV9PDdr_w,part_108,2026-09-20 16:40:23
Anupam Enterprise,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Appliance store, Building materials store, Kitchen remodeler, Kitchen supply store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88665 58844,https://anupamenterprise.in/,4.4,100.0,"L 202, nr. Umiya Campus, opp. Agrwal Mall, Sola, Gota, Ahmedabad, Gujarat 380060","Sola, Gota",23.092051299999998,72.5288028,ChIJn7qeMxaDXjkRmCv_X3n-n0M,https://www.google.com/maps/place/?q=place_id:ChIJn7qeMxaDXjkRmCv_X3n-n0M,part_108,2026-09-20 16:40:23
