business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Roopali beauty parlour || Best Makeup Artist | Hair And Skin Salon | Ladies Beauty Salon,Salon,Beauty Parlour,"Beauty Parlour, Hairdresser, Make-up artist",388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 90998 44522,N/A,4.9,,"Kansara Bazar, near tower, Lambi Oty, Khambhat, Gujarat 388620",Lambi Oty,22.3158146,72.6235854,ChIJxfxiPq8HXzkRDthYheEQcoA,https://www.google.com/maps/place/?q=place_id:ChIJxfxiPq8HXzkRDthYheEQcoA,part_108,2026-09-20 16:53:39
Vinus hair & beauty saloon,Salon,Hairdresser,"Hairdresser, Beautician, Make-up artist",388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 99742 62683,https://www.instagram.com/vinus_saloon_khambhat?igsh=N3pmZ2VreHExY2ox&utm_source=qr,4.8,,"Vinus Hair And Beauty Saloon, Zanda Chowk, Jawahar Rd, beside Jagruti Karyalay, Rana Chakla, Khambhat, Gujarat 388620",Rana Chakla,22.3169771,72.6210881,ChIJtaGOxCAHXzkRHAT0arY25xU,https://www.google.com/maps/place/?q=place_id:ChIJtaGOxCAHXzkRHAT0arY25xU,part_108,2026-09-20 16:53:39
Priya Hair & Beauty care,Salon,Beauty Parlour,Beauty Parlour,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 77779 65198,https://priya-hair-beauty.grexa.site/,4.9,,"Gopal Tokies Complex, G-9, near Trikoniya, Shakarpur, Khambhat, Gujarat 388620",Shakarpur,22.3155735,72.6249279,ChIJs3UkVbAHXzkRTXhvsWSgR5c,https://www.google.com/maps/place/?q=place_id:ChIJs3UkVbAHXzkRTXhvsWSgR5c,part_108,2026-09-20 16:53:39
Payal Beauty Care,Salon,Beauty Parlour,Beauty Parlour,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",N/A,N/A,4.8,,"Shop no 09, Gopal cinema, Teen Limdi, Khambhat, Gujarat 388620",Teen Limdi,22.3180817,72.6189845,ChIJ4dqc368HXzkR5UdNYxNaujg,https://www.google.com/maps/place/?q=place_id:ChIJ4dqc368HXzkR5UdNYxNaujg,part_108,2026-09-20 16:53:39
Aashvi Mackover,Salon,Beauty Parlour,Beauty Parlour,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 75758 87686,N/A,5.0,,"Vivekanand Society, F-426, Vivekandand Society, Khambhat, Gujarat 388620",Vivekandand Society,22.3201721,72.6313737,ChIJa0xmti8HXzkRKWqN9IlnAyM,https://www.google.com/maps/place/?q=place_id:ChIJa0xmti8HXzkRKWqN9IlnAyM,part_108,2026-09-20 16:53:39
Mr. Parekh Hair Salon,Salon,Barber shop,Barber shop,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 95121 74161,N/A,4.9,,"Besides Bhathiji Temple, near GEB, G.I.D.C, Kansari, Khambhat, Gujarat 388630",G.I.D.C,22.3303138,72.6374107,ChIJU_ae9gYHXzkRLnxnt-PmUWc,https://www.google.com/maps/place/?q=place_id:ChIJU_ae9gYHXzkRLnxnt-PmUWc,part_108,2026-09-20 16:53:39
RADHE KRISHNA SALONS,Salon,Hair salon,Hair salon,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 96646 73265,N/A,5.0,,"1st floor, stambh Tirth Complex, sardar, Tower Rd, Lambi Oty, Khambhat, Gujarat 388620",Lambi Oty,22.3165099,72.6239707,ChIJvfOkdl8HXzkRB9dW-8Ls2BU,https://www.google.com/maps/place/?q=place_id:ChIJvfOkdl8HXzkRB9dW-8Ls2BU,part_108,2026-09-20 16:53:39
Akshar Hair Saloon,Salon,Barber shop,Barber shop,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 90816 44326,https://www.instagram.com/akshar_hair_saloon111?igsh=Y212YjY4cG8waHQ1,4.8,,"moti kharikui, Rajputvada Road, Rana Chakla, Khambhat, Gujarat 388620",Rana Chakla,22.3189256,72.62201619999999,ChIJ67v8xa4HXzkRadVtBTeAwhk,https://www.google.com/maps/place/?q=place_id:ChIJ67v8xa4HXzkRadVtBTeAwhk,part_108,2026-09-20 16:53:39
NEW YORK HAIR SALON,Salon,Hairdresser,Hairdresser,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",+91 99247 96488,N/A,4.7,,"A-1/2, RONAK PLAZA COMPLEX, Station Rd, Vasda Wad, Rana Chakla, Khambhat, Gujarat 388620","Vasda Wad, Rana Chakla",22.318054,72.62449579999999,ChIJzZKUcqUGXzkRHHO15o646k8,https://www.google.com/maps/place/?q=place_id:ChIJzZKUcqUGXzkRHHO15o646k8,part_108,2026-09-20 16:53:39
Harshita Beauty parlour,Salon,Beauty Parlour,Beauty Parlour,388620,Gujarat Circle,Vadodara Region,Kheda Division,"Chitari Bazar SO, Khambhat SO, Pith Baza Khambhat SO",N/A,N/A,5.0,,"Nani chunarvad, ramji mandir, Lambi Oty, Khambhat, Gujarat 388620",Lambi Oty,22.310817,72.6218871,ChIJ58rFklkHXzkRI0Twpu0qhEw,https://www.google.com/maps/place/?q=place_id:ChIJ58rFklkHXzkRI0Twpu0qhEw,part_108,2026-09-20 16:53:39
