business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lionic Digital,Digital Marketing Agencies,Marketing agency,Marketing agency,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 88492 97643,https://www.lionicdigital.com/,5.0,,"Rosevill Sky, A-406, opp. Croma Showroom, New Naroda, Nikol, Ahmedabad, Gujarat 382350","New Naroda, Nikol",23.0545586,72.6642063,ChIJRfQvWDUfAUcRjQhUvj2RbeM,https://www.google.com/maps/place/?q=place_id:ChIJRfQvWDUfAUcRjQhUvj2RbeM,part_108,2026-09-20 16:56:35
GO DIGITAL || Digital Marketing Agency || Website,Digital Marketing Agencies,Marketing agency,"Marketing agency, E-commerce service, Service establishment, Website designer",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",N/A,N/A,5.0,,"GO DIGITAL || Digital Marketing Agency || Website, 388710, India",388710,21.7961793,84.2720033,ChIJpakgS9EVIToRWae-bRcTcu0,https://www.google.com/maps/place/?q=place_id:ChIJpakgS9EVIToRWae-bRcTcu0,part_108,2026-09-20 16:56:35
Digital maham,Digital Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 87380 47298,https://www.digitalmaham.in/,4.6,,"Digital maham, 388710, India",388710,27.06468,80.229291,ChIJc0BAhmxut4oR0t5Vc46oE9s,https://www.google.com/maps/place/?q=place_id:ChIJc0BAhmxut4oR0t5Vc46oE9s,part_108,2026-09-20 16:56:35
Digital marketing agency,Digital Marketing Agencies,Website designer,"Website designer, Service establishment",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 84294 80015,https://digitalanandverma.com/,,,"Digital marketing agency, 388710, India",388710,21.0680074,82.7525294,ChIJyZGuyE9lpQMRWzNEEWtxFeg,https://www.google.com/maps/place/?q=place_id:ChIJyZGuyE9lpQMRWzNEEWtxFeg,part_108,2026-09-20 16:56:35
ElevateProDigital,Digital Marketing Agencies,Marketing agency,Marketing agency,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 97271 24737,https://elevateprodigital.com/,5.0,,"GF-07, Swarnim Stone, Ahmedabad, Gujarat 382481",388710,23.1204891,72.5358346,ChIJ7YFN5msdOC0R0R2PHAHtAMc,https://www.google.com/maps/place/?q=place_id:ChIJ7YFN5msdOC0R0R2PHAHtAMc,part_108,2026-09-20 16:56:35
Multifolders - Best Digital Marketing Company Branding Digital Graphics Web Devlopment Agency in Jamshedpur Jharkhand India,Digital Marketing Agencies,Marketing consultant,"Marketing consultant, Service establishment",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 62024 89553,https://www.multifolders.com/,5.0,,"Multifolders - Best Digital Marketing Company Branding Digital Graphics Web Devlopment Agency in Jamshedpur Jharkhand India, 388710, India",388710,21.0680074,82.7525294,ChIJQ8CI0f_KKocRmhAvb2D0BHw,https://www.google.com/maps/place/?q=place_id:ChIJQ8CI0f_KKocRmhAvb2D0BHw,part_108,2026-09-20 16:56:35
Bee Farms Products,Digital Marketing Agencies,Honey farm,"Honey farm, Agricultural service",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 94095 31877,https://beefarm.co.in/,4.6,,"At: Dolatpura, Ta:, Dist:, Desar, Gujarat 391774",388710,22.6976983,73.35254549999999,ChIJv2U40zAlXjkRXnLPSaDh_-U,https://www.google.com/maps/place/?q=place_id:ChIJv2U40zAlXjkRXnLPSaDh_-U,part_108,2026-09-20 16:56:35
Handlebuzz Media | Social Media Marketing Agency in Noida,Digital Marketing Agencies,Marketing consultant,"Marketing consultant, Business development service, Design agency, Service establishment, Internet marketing service, Market researcher, Marketing agency, Software company, Video editing service, Web hosting company, Website designer",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 97163 41459,N/A,4.9,54.0,"Handlebuzz Media | Social Media Marketing Agency in Noida, 388710, India",388710,21.0680074,82.7525294,ChIJe7HdNsDlDDkRCbj-Xn5JekI,https://www.google.com/maps/place/?q=place_id:ChIJe7HdNsDlDDkRCbj-Xn5JekI,part_108,2026-09-20 16:56:36
BR Digitals - India's Leading Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Service establishment, Internet marketing service, Advertising agency, Website designer",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",N/A,N/A,5.0,,"BR Digitals - India's Leading Digital Marketing Agency, 388710, India",388710,24.0727157,75.9577138,ChIJM1ET4Z1bhTkRGop5Ky_b3dY,https://www.google.com/maps/place/?q=place_id:ChIJM1ET4Z1bhTkRGop5Ky_b3dY,part_108,2026-09-20 16:56:36
Prosmit®,Digital Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 90330 08020,https://www.prosmit.in/di-pro,4.7,,"Prosmit®, 388710, India",388710,20.8584951,79.57774049999999,ChIJ85EbcdWEXjkR0bRp0s2Rnl0,https://www.google.com/maps/place/?q=place_id:ChIJ85EbcdWEXjkR0bRp0s2Rnl0,part_108,2026-09-20 16:56:36
