business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sumeet Menswear,Readymade Garments Shop,Men's clothing store,Men's clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 94292 92924,https://www.instagram.com/sumeet_menswear,4.9,975.0,"Chitra Cinema Road, MG Rd, near Punjab National Bank, Gandhi Nagar, Kalal Darwaja, Godhra, Gujarat 389001","Gandhi Nagar, Kalal Darwaja",22.7739704,73.62046939999999,ChIJW3gE4pGbYDkRjxNF_H04BxI,https://www.google.com/maps/place/?q=place_id:ChIJW3gE4pGbYDkRjxNF_H04BxI,part_108,2026-09-20 16:56:03
Shivam Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 76983 41994,N/A,,,"Cross Road, Udalpur, Gujarat 388710",388710,22.8051201,73.3938687,ChIJQw47shYhXjkRmg1pOoYjOeE,https://www.google.com/maps/place/?q=place_id:ChIJQw47shYhXjkRmg1pOoYjOeE,part_108,2026-09-20 16:56:03
Mahendra Cloth Stores,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 99246 24428,N/A,5.0,2.0,"01, Main Bazar, Sevaliya, Gujarat 388245",388710,22.8112147,73.34405129999999,ChIJt0VwKwQjXjkRlW_WNICX_AA,https://www.google.com/maps/place/?q=place_id:ChIJt0VwKwQjXjkRlW_WNICX_AA,part_108,2026-09-20 16:56:03
Sapna Selection,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 98980 91799,N/A,4.7,136.0,"Molana Azad Rd, Patel Wad, Shera, Godhra, Gujarat 389001","Patel Wad, Shera",22.774109499999998,73.6146347,ChIJlSM9T4WbYDkRBG7VtaxvtE0,https://www.google.com/maps/place/?q=place_id:ChIJlSM9T4WbYDkRBG7VtaxvtE0,part_108,2026-09-20 16:56:03
Noorani rumal center,Readymade Garments Shop,Clothing store,"Clothing store, Clothing wholesaler, Garment Exporter, Lingerie store, Men's clothing store, Underwear store",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 83201 81681,N/A,4.8,16.0,"burhani MASJID Vorhwad tower, Near, opp. alvani hospital, Godhra, Gujarat 389001","Jahapura, Shera",22.7736497,73.6133943,ChIJ6a8xbz6bYDkR2SDBVAXWMOc,https://www.google.com/maps/place/?q=place_id:ChIJ6a8xbz6bYDkR2SDBVAXWMOc,part_108,2026-09-20 16:56:03
Shree Mangalam Sales,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 88665 39902,N/A,4.0,263.0,"Super Market, MG Rd, Panjarapole, Kalal Darwaja, Godhra, Gujarat 389001","Panjarapole, Kalal Darwaja",22.7745632,73.6221374,ChIJkxwD6USaYDkR-GN0VvNTAkU,https://www.google.com/maps/place/?q=place_id:ChIJkxwD6USaYDkR-GN0VvNTAkU,part_108,2026-09-20 16:56:03
BHAGYALAXMI READYMADE AND FOOTWEAR STORE,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",N/A,N/A,5.0,1.0,"Morva, Gujarat 389210",388710,22.915065499999997,73.4680059,ChIJk-m66wqhYDkREvbbFD3uAa4,https://www.google.com/maps/place/?q=place_id:ChIJk-m66wqhYDkREvbbFD3uAa4,part_108,2026-09-20 16:56:03
GUJJU COLLECTION,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",N/A,N/A,4.8,282.0,"Vinchhiya Rd, Vinchhiya, Gujarat 360055",388710,22.208378699999997,71.37913139999999,ChIJGxzehSb9WDkRbVl_EYw-VKw,https://www.google.com/maps/place/?q=place_id:ChIJGxzehSb9WDkRbVl_EYw-VKw,part_108,2026-09-20 16:56:03
Laxmi Family shop,Readymade Garments Shop,Clothing store,"Clothing store, Showroom",388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",+91 88661 81004,N/A,4.6,42.0,"GJ SH 175, Vitthalpura, Adarsh Society, Halol, Gujarat 389350","Vitthalpura, Adarsh Society",22.5041157,73.4725414,ChIJ8zf1Pfp_YDkRvbfKpztrEU0,https://www.google.com/maps/place/?q=place_id:ChIJ8zf1Pfp_YDkRvbfKpztrEU0,part_108,2026-09-20 16:56:03
Laxmi Readymade Stores,Readymade Garments Shop,Clothing store,Clothing store,388710,Gujarat Circle,Vadodara Region,Panchmahals Division,"Timba Road SO, Juni Dhari BO, Kalyana BO",N/A,N/A,3.7,3.0,"near Ranchodji mandir, Kachiawad, Bhagol, Shera, Godhra, Gujarat 389001","Kachiawad, Bhagol, Shera",22.7773133,73.6146436,ChIJB3yK8FybYDkREXnZ7wOHpWI,https://www.google.com/maps/place/?q=place_id:ChIJB3yK8FybYDkREXnZ7wOHpWI,part_108,2026-09-20 16:56:03
