business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Phonefix,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 77779 73973,N/A,4.9,,"Pramukh Arcade, B-50, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.183766499999997,72.6291297,ChIJU10fCaUrXDkRPYaAt3fwB5M,https://www.google.com/maps/place/?q=place_id:ChIJU10fCaUrXDkRPYaAt3fwB5M,part_108,2026-09-20 16:57:05
Galaxy Mobile Accessories,Mobile Phone Sales and Repair,Cell phone accessory store,Cell phone accessory store,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 96012 12006,https://www.instagram.com/galaxy_mobile_rajkott?igsh=MTNsMzI1ODV5YWxmYQ==,4.5,,"First Floor, 27, opp. Jay Ambe Tea Stall, behind Rajkot central Bus Stand, Rajkot, Gujarat 360003",Karanpara,22.291372799999998,70.8027591,ChIJqTHF9gzLWTkRdWyIszuF6Bg,https://www.google.com/maps/place/?q=place_id:ChIJqTHF9gzLWTkRdWyIszuF6Bg,part_108,2026-09-20 16:57:05
Jasmin Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",N/A,https://www.jasminmobile.com/,4.7,,"Garden Rd, opposite Bus Stand, Brahma Society, Soniwada, Shera, Godhra, Gujarat 389001","Brahma Society, Soniwada, Shera",22.7785998,73.6206131,ChIJZZsaeEaaYDkRL6oADkzE6Rk,https://www.google.com/maps/place/?q=place_id:ChIJZZsaeEaaYDkRL6oADkzE6Rk,part_108,2026-09-20 16:57:05
Rajal cell point,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 96387 92662,N/A,4.9,,"Umiya Nagar, Mundra, Baroi, Gujarat 370421",Umiya Nagar,22.8474178,69.7285864,ChIJievJckvVUDkR4Nj_LcCXFGs,https://www.google.com/maps/place/?q=place_id:ChIJievJckvVUDkR4Nj_LcCXFGs,part_108,2026-09-20 16:57:05
4 U Mobiles Shop,Mobile Phone Sales and Repair,Store,Store,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 99985 10447,N/A,4.1,,"near rani maszid maulana azad road godhra 389001, Gujarat 389001","Gayatry society, Jahapura, Shera",22.774390399999998,73.61131759999999,ChIJYS-vzk2aYDkRv_b9nxjmc8w,https://www.google.com/maps/place/?q=place_id:ChIJYS-vzk2aYDkRv_b9nxjmc8w,part_108,2026-09-20 16:57:05
New World Of Mobile,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop, Phone repair service",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 88661 28080,N/A,4.8,,"RELINCE CIRCLE, RADHE SQUARE, GF - 62-63, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.183961699999998,72.6296416,ChIJ6S4sIhQrXDkRjyjFx2uBAKs,https://www.google.com/maps/place/?q=place_id:ChIJ6S4sIhQrXDkRjyjFx2uBAKs,part_108,2026-09-20 16:57:05
Poojara Telecom - Thara,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 98984 44306,https://www.poojaratele.com/,5.0,,"near Nilkanth medical, Mainbazar, Thara, Sadujivas, Gujarat 385555",Mainbazar,23.9685824,71.8228227,ChIJH2AiWEp7WzkR4MH3khgS4is,https://www.google.com/maps/place/?q=place_id:ChIJH2AiWEp7WzkR4MH3khgS4is,part_108,2026-09-20 16:57:06
Myphone vadgam,Mobile Phone Sales and Repair,Cell phone accessory store,Cell phone accessory store,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 82382 77577,N/A,5.0,,"panchayat ni same, 39 Sukan plaza nr taluka panchayat palanpur road 39 Shukan Plaza Taluka, Palanpur Rd, Vadgam, Gujarat 385421",388713,24.068014899999998,72.4910151,ChIJQ8Orbh_vXDkRWKEVrpUKjTQ,https://www.google.com/maps/place/?q=place_id:ChIJQ8Orbh_vXDkRWKEVrpUKjTQ,part_108,2026-09-20 16:57:06
I SHREE MOBILE,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 99096 48004,https://www.ishreemobile.in/,5.0,,"Gujarat State Highway 712, Vadgam, Gujarat 385410",388713,24.0819211,72.4884635,ChIJpSVArtPvXDkRfAhix47b53g,https://www.google.com/maps/place/?q=place_id:ChIJpSVArtPvXDkRfAhix47b53g,part_108,2026-09-20 16:57:06
Vishwa telecom,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Cell phone store",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 85118 59555,N/A,4.7,,"Vishwa telecom, MARUTINANDAN COMPLEX, Than road, Popatpara, Chotila, Gujarat 363520",Popatpara,22.4271544,71.19981729999999,ChIJsYLmA4gHWTkR3hiGiRPiyEA,https://www.google.com/maps/place/?q=place_id:ChIJsYLmA4gHWTkR3hiGiRPiyEA,part_108,2026-09-20 16:57:06
