business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa hospital & maternity home,Nursing Home and Maternity Hospital,Hospital,Hospital,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 92744 77040,N/A,5.0,,"1sf floor, narmada avenue complex, sinor chokdi, Yamuna Nagar, Dabhoi, Gujarat 391110",Yamuna Nagar,22.126952499999998,73.4112531,ChIJi9hD8ofhXzkRCCl7Jlxi_Zk,https://www.google.com/maps/place/?q=place_id:ChIJi9hD8ofhXzkRCCl7Jlxi_Zk,part_108,2026-09-20 16:56:47
Anitha Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 86782 73242,N/A,4.0,,"Kanchikacherla, Andhra Pradesh 521180",388713,16.6906912,80.3903217,ChIJB7uuUSC-NToRlH5zPjCV69w,https://www.google.com/maps/place/?q=place_id:ChIJB7uuUSC-NToRlH5zPjCV69w,part_108,2026-09-20 16:56:47
Mothercare Maternity And Laproscopy Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 83208 30788,N/A,5.0,,"1st/2nd Floor, Vrushti Complex, Kuber Baug, 176-A, Bus Stand Road, opp. to Union Bank, Nootan Nagar, Mahuva, Gujarat 364290",Nootan Nagar,21.0927704,71.7645881,ChIJlzqGsfcl4jsRX36aOhQ18bM,https://www.google.com/maps/place/?q=place_id:ChIJlzqGsfcl4jsRX36aOhQ18bM,part_108,2026-09-20 16:56:47
Bhakti Maternity & Surgical Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",N/A,N/A,4.8,,"Gokul Dham, Rajkot SH, 322, Gundala Rd, Gujarat 360311",Radhakrishna Nagar,21.9575648,70.7973116,ChIJkWRt5vI5WDkRk4ms4YSqjKQ,https://www.google.com/maps/place/?q=place_id:ChIJkWRt5vI5WDkRk4ms4YSqjKQ,part_108,2026-09-20 16:56:47
Bhakti Maternity hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 93285 66914,N/A,4.7,,"Sureliya Circle, 3rd floor Pushparaj Arcade, opposite metro pillar 84, Ahmedabad, Gujarat 380026","Rita Nagar, Amraiwadi",23.0046306,72.6404919,ChIJE3XO4WqGXjkRQT0fGldDASE,https://www.google.com/maps/place/?q=place_id:ChIJE3XO4WqGXjkRQT0fGldDASE,part_108,2026-09-20 16:56:47
Shah Maternity & Nursing Home Dr.Shital Shah,Nursing Home and Maternity Hospital,Doctor,"Doctor, Fertility clinic, Maternity Centre, Medical diagnostic imaging center",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 79 2660 6602,http://www.shahmaternity.in/,5.0,,"bus stand, 55/A, Shree Manubhai Jadhani Marg, behind sukhipura, Sukhipura, Vasantkunj Society, Paldi, Ahmedabad, Gujarat 380007","Sukhipura, Vasantkunj Society, Paldi",23.012517,72.5536326,ChIJ_____wKFXjkRM4lCEyEiuLw,https://www.google.com/maps/place/?q=place_id:ChIJ_____wKFXjkRM4lCEyEiuLw,part_108,2026-09-20 16:56:47
Maa Hospital Maternity & Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Animal hospital",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",N/A,N/A,,,"Vaid House, Akota Padra Road, Near R C Patel Estate, Akota Road, Padra Road, Vadodara, Gujarat 390007","Madhav Nagar, Akota",22.282482899999998,73.1650102,ChIJO4g53xvGXzkRVjv7BrkYFFY,https://www.google.com/maps/place/?q=place_id:ChIJO4g53xvGXzkRVjv7BrkYFFY,part_108,2026-09-20 16:56:47
RAAVI MATERNITY HOSPITAL,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Obstetrician-gynecologist, Hospital, Maternity Centre",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 84016 05490,N/A,5.0,10.0,"Raavi Maternity Hospital, First Floor Raj Orthopaedic Hospital, opposite Police Head Quarters, near Ami Studio, Godhra, Gujarat 389001",Kalal Darwaja,22.7771701,73.62158629999999,ChIJry6f2lmbYDkRHB3lDNpjuUM,https://www.google.com/maps/place/?q=place_id:ChIJry6f2lmbYDkRHB3lDNpjuUM,part_108,2026-09-20 16:56:48
Royal Maternity & Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Obstetrician-gynecologist, Gynecologist",388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 98253 84477,http://royalmaternity.in/,4.7,,"1st Floor, Bopal Rd, opposite Bhavya Park, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.0307224,72.4727137,ChIJT_ln0Z-bXjkR3rYpemmDPmE,https://www.google.com/maps/place/?q=place_id:ChIJT_ln0Z-bXjkR3rYpemmDPmE,part_108,2026-09-20 16:56:48
Burhani Maternity Home,Nursing Home and Maternity Hospital,Maternity Centre,Maternity Centre,388713,Gujarat Circle,Vadodara Region,Panchmahals Division,"Kakanpur SO, Dhanol BO, Manipur C BO",+91 81602 46447,N/A,4.9,27.0,"1st Floor, Gurukrupa Complex, MG Rd, above HDFC Bank, Gandhi Nagar, Kalal Darwaja, Godhra, Gujarat 389001","Gandhi Nagar, Kalal Darwaja",22.7736114,73.6198189,ChIJBRrOLSWbYDkRmo9jAFCqnw0,https://www.google.com/maps/place/?q=place_id:ChIJBRrOLSWbYDkRmo9jAFCqnw0,part_108,2026-09-20 16:56:48
