business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
C K Auto spares,Auto Spare Parts Shop,Store,Store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 98795 53019,N/A,4.5,6.0,"municipal shopping centre, 3/18, opp. Garden, Utsav Bunglows, Bamroli Road Area, Godhra, Gujarat 389001","Utsav Bunglows, Bamroli Road Area",22.770832199999997,73.6448818,ChIJAeVoqUiaYDkRA7M3MCuFD2Y,https://www.google.com/maps/place/?q=place_id:ChIJAeVoqUiaYDkRA7M3MCuFD2Y,part_108,2026-09-20 16:57:29
Asian Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 94287 78052,N/A,4.1,76.0,"SH 5, Lunawada Rd, opposite G.I.D.C. Industrial Estate, G.I.D.C. Industrial Estate, Godhra, Gujarat 389001",G.I.D.C. Industrial Estate,22.796443399999998,73.6168546,ChIJ1VyV2GSbYDkR20XyZPLTegA,https://www.google.com/maps/place/?q=place_id:ChIJ1VyV2GSbYDkR20XyZPLTegA,part_108,2026-09-20 16:57:29
Sandeep Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",N/A,N/A,5.0,3.0,"Municipal shooping center, opposite Nehru Garden, Godhra, Gujarat 389001","Soniwada, Shera",22.778754799999998,73.6187599,ChIJP5pGEribYDkRTaFzMjthTXU,https://www.google.com/maps/place/?q=place_id:ChIJP5pGEribYDkRTaFzMjthTXU,part_108,2026-09-20 16:57:29
NEW INDIAN AUTO PARTS,Auto Spare Parts Shop,Auto machine shop,Auto machine shop,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 97222 04610,N/A,5.0,4.0,"Evrest complex, Railway Station Rd, Godhra, Gujarat 389001","Bhagol, Shera",22.7760177,73.6081607,ChIJY6gBMh-bYDkRleMHh9xhAx8,https://www.google.com/maps/place/?q=place_id:ChIJY6gBMh-bYDkRleMHh9xhAx8,part_108,2026-09-20 16:57:29
Eshwar Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 97260 68331,N/A,4.7,9.0,"MG Rd, opp. Hdfc Bank Chitra Road, Gandhi Nagar, Kalal Darwaja, Godhra, Gujarat 389001","Gandhi Nagar, Kalal Darwaja",22.773705,73.6199628,ChIJQ6UBOUWaYDkRCiIE441x5dk,https://www.google.com/maps/place/?q=place_id:ChIJQ6UBOUWaYDkRCiIE441x5dk,part_108,2026-09-20 16:57:29
Bhranti Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",N/A,N/A,4.2,14.0,"6, Railway Station Rd, near police choki, Bhagol, Shera, Godhra, Gujarat 389001","Bhagol, Shera",22.776612399999998,73.6094581,ChIJyXoLiFSaYDkRpzVPuylNU18,https://www.google.com/maps/place/?q=place_id:ChIJyXoLiFSaYDkRpzVPuylNU18,part_108,2026-09-20 16:57:29
New Samir Auto Spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 98257 80123,N/A,4.2,30.0,"Dr Gidwani Road, Road, near City Bank, Bhagol, Shera, Godhra, Gujarat 389001","Bhagol, Shera",22.778333699999997,73.61311409999999,ChIJyXoLiFSaYDkRwvfAbxg9r2A,https://www.google.com/maps/place/?q=place_id:ChIJyXoLiFSaYDkRwvfAbxg9r2A,part_108,2026-09-20 16:57:29
Gauri Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 88665 63607,N/A,4.1,29.0,"FCI Godown, Sapa Rd, Near, Satkeval Society, Godhra, Gujarat 389002","Near, Satkeval Society",22.7901477,73.61875409999999,ChIJTz3Ix2ibYDkRLCYtM9Na_e4,https://www.google.com/maps/place/?q=place_id:ChIJTz3Ix2ibYDkRLCYtM9Na_e4,part_108,2026-09-20 16:57:29
ROYAL AUTOMOBILES (AUTO PARTS),Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 70697 94000,N/A,,,"road Vejalpur road, near kothi steel, Vejalpur, Godhra, Gujarat 389001",389001,22.7565049,73.6010163,ChIJkyNTSgCbYDkRtYqBMhCz1zE,https://www.google.com/maps/place/?q=place_id:ChIJkyNTSgCbYDkRtYqBMhCz1zE,part_108,2026-09-20 16:57:29
Welcome Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,389001,Gujarat Circle,Vadodara Region,Panchmahals Division,"Godhra HO, Godhra City SO, Godhra Civil Lines SO",+91 76009 92044,N/A,5.0,3.0,"Railway, Railway Station Rd, Bhagol, Shera, Godhra, Gujarat 389001","Bhagol, Shera",22.776184,73.60821,ChIJQ66e-NKbYDkRwu2shMryPso,https://www.google.com/maps/place/?q=place_id:ChIJQ66e-NKbYDkRwu2shMryPso,part_108,2026-09-20 16:57:29
